9412995,19971101,article,mesh,"Animals,Butadienes,Dose-Response Relationship, Drug,Epoxy Compounds,Mice,Mice, Inbred BALB C,Micronuclei, Chromosome-Defective,Micronucleus Tests,Mutagens,Sister Chromatid Exchange,Spleen,Time Factors","administration &amp; dosage,cytology,drug effects,metabolism,toxicity","D013154 Q000187 NY,D004852 Q000008 NN,D048629 Q000187 NY,D004852 Q000633 NY,D013154 Q000166 NN,D002070 Q000378 NN,D009153 Q000633 NY,D012854 Q000187 NY",NULL,NULL,"Induction of micronuclei and sister chromatid exchange in mouse splenocytes after exposure to the butadiene metabolite 3,4-epoxy-1-butene.","3,4-Epoxy-1-butene (EB) is one of the main metabolites of 1,3 butadiene, a widely used industrial chemical. The mutagenic potential of 1,3 butadiene and its metabolites have been studied in different test systems. In this work the genotoxic effects of EB were studied by estimating micronuclei (MN) and sister chromatid exchange (SCE) frequencies in stimulated mouse splenocytes. Mice were treated in vivo with various doses of EB (24.4, 48.8 and 73.2 mg/kg). The antikinetochore antibody technique (CREST) was a",Mutagenesis,"G Stephanou, C Andrianopoulos, D Vlastos, N A Demopoulos, A Russo"," Department of Biology, University of Patras, Greece. ndemop@biology.upatras.gr",1997 Nov;12(6):425-9,10.1093/mutage/12.6.425
16094661,20060101,article,"xref,mesh","Animals,Benzo(a)pyrene,DNA,DNA Adducts,DNA Repair,DNA-Binding Proteins,Epoxy Compounds,Genes, Reporter,Hypoxanthine Phosphoribosyltransferase,Mice,Mice, Knockout,Mutagens,Mutation","deficiency,genetics,toxicity","D004268 Q000235 NN,D004852 Q000633 NY,D017930 Q000235 NN,D004268 Q000172 NY,D004247 Q000235 NN,D007041 Q000235 NY,D009153 Q000633 NY,D001564 Q000633 NN","2336,7845,13586,160438,12617527,44135672","53790775,123071374,127523511,127868578,128018930,128353953","3,4-Epoxy-1-butene, a reactive metabolite of 1,3-butadiene, induces somatic mutations in Xpc-null mice.","Xpc-null (Xpc-/-) mice, deficient in the global genome repair subpathway of nucleotide excision repair (NER-GGR), were exposed by intraperitoneal (i.p.) injection to a 300 mg/kg mutagenic dose of 3,4-epoxy-1-butene (EB), to investigate NER's potential role in repairing butadiene (BD) epoxide DNA lesions. Mutagenic sensitivity was assessed using the Hprt assay. Xpc-/- mice were significantly more sensitive to EB exposure, exhibiting an average 2.8-fold increase in Hprt mutant frequency (MF) relative to those",Environmental and molecular mutagenesis,"J K Wickliffe, L A Galbert, M M Ammenheuser, S M Herring, J Xie, O E Masters, E C Friedberg, R S Lloyd, J B Ward"," Department of Preventive Medicine and Community Health, University of Texas Medical Branch, Galveston, Texas, USA. jkwickli@utmb.edu",2006 Jan;47(1):67-70,10.1002/em.20169
10477349,19990721,article,mesh,"Cell Cycle,Chromosome Aberrations,Cytarabine,DNA,DNA Repair,Epoxy Compounds,Humans,In Vitro Techniques,Lymphocytes,Mutagens,Resting Phase, Cell Cycle,Sister Chromatid Exchange","biosynthesis,cytology,drug effects,genetics,metabolism,pharmacology,toxicity","D004247 Q000096 NN,D004247 Q000187 NN,D008214 Q000378 NN,D004852 Q000633 NY,D003561 Q000494 NN,D004260 Q000187 NN,D012854 Q000187 NN,D008214 Q000166 NN,D004247 Q000235 NN,D009153 Q000633 NY,D008214 Q000187 NN","596,6252,6253,13586,114682,5351180,12358851,12617527,44135672,69621045,124080914",NULL,"Cell cycle specificity of cytogenetic damage induced by 3,4-epoxy-1- butene.","3,4-epoxy-1-butene (EB), a primary metabolite of butadiene, is a direct-acting ""S-dependent"" genotoxicant that can induce sister chromatid exchanges (SCEs) and chromosome aberrations (CAs) in cycling cells in vitro. However, EB is almost inactive when splenic or peripheral blood lymphocytes are exposed at the G(0) stage of the cell cycle. To investigate whether repair of DNA lesions is responsible for the lack of cytogenetic responses seen after G(0) treatments, we used cytosine arabinoside (ara-C) to inhib",Mutation research,"A D Kligerman, C L Doerr, A H Tennant"," Genetics and Cellular Toxicology Branch, Mail Drop 68, Environmental Carcinogenesis Division, U.S. Environmental Protection Agency, Research Triangle Park, NC 27711, USA. kligerman.andrew@epa.gov",1999 Jul;444(1):151-8,10.1016/s1383-5718(99)00077-7
22285587,20120830,article,"xref,mesh","Alkenes,Butadienes,Comet Assay,Epoxy Compounds,HL-60 Cells,Hemiterpenes,Humans,Leukocytes, Mononuclear,Mutagens,Pentanes","drug effects,toxicity","D010420 Q000633 NN,D007963 Q000187 NY,D045782 Q000633 NN,D004852 Q000633 NY,D018922 Q000187 NY,D002070 Q000633 NN,D009153 Q000633 NY,D000475 Q000633 NN","6557,7845,11254,160438,54277882,57271697,123446892","127523511,128353953,129159778,129170463,129894555,136237359,324157522",Genotoxicity of alkene epoxides in human peripheral blood mononuclear cells and HL60 leukaemia cells evaluated with the comet assay.,"Volatile organic compounds (VOCs) exert their carcinogenic activity through the production of epoxide metabolites. Because of their high reactivity some epoxides are also produced in the chemical industry for the synthesis of other compounds. Therefore, human exposure to VOCs epoxides does occur and may be an important human health concern. In this study, the in vitro genotoxic potential of epoxides originating from 1,3-butadiene (3,4-epoxy-1-butene: EB; 1,2:3,4-diepoxybutane: DEB), isoprene (3,4-epoxy-2-me",Mutation research,"Roberto Fabiani, Patrizia Rosignoli, Angelo De Bartolomeo, Raffaela Fuccelli, Guido Morozzi"," Dipartimento di Specialità Medico-Chirurgiche e Sanità Pubblica, Università di Perugia, via del Giochetto, Perugia, Italy. fabirob@unipg.it",2012 Aug;747(1):1-6,10.1016/j.mrgentox.2012.01.004
6627227,19831001,article,mesh,"Allyl Compounds,DNA,DNA Repair,Dose-Response Relationship, Drug,HeLa Cells,Humans,Mutagenicity Tests","biosynthesis,pharmacology","D000498 Q000494 NY,D004247 Q000096 NY",44135672,NULL,Induction of unscheduled DNA synthesis in HeLa cells by allylic compounds.,"Thirteen allylic compounds, mostly with close structural relationship, were tested for their ability to induce unscheduled DNA synthesis (UDS) in HeLa cells and mutations in the Ames test; 11 induced UDS in dose dependence. Allyl isothiocyanate was negative in UDS (borderline in the Ames test) and acrolein (positive in the Ames test) proved toxic to HeLa cells, therefore UDS measurement was excluded. In general, positive qualitative and quantitative correlation between UDS, Ames test and alkylating properti",Cancer letters,"D Schiffmann, E Eder, T Neudecker, D Henschler",NULL,1983 Oct;20(3):263-9,10.1016/0304-3835(83)90023-x
19764821,20090901,article,"xref,mesh","Animals,Butadienes,Carcinogens,Chromatography, High Pressure Liquid,Epoxy Compounds,Humans,Kinetics,Rats,Ribosomal Proteins,Spectrometry, Mass, Electrospray Ionization,Vitamin B 12","chemistry,metabolism","D002070 Q000737 NN,D004852 Q000378 NY,D014805 Q000378 NY,D012269 Q000378 NY,D014805 Q000737 NN,D004852 Q000737 NN,D002273 Q000737 NN,D002273 Q000378 NY,D002070 Q000378 NY","7834,7845,10338,11254,13586,92270,108199,160438,184933,233706,4289526,5311498,5460135,6442967,6474318,10887743,11366878,11378364,11970261,22836442,24892734,25102581,25195380,44176380,46853873,54605677,56840966,70678590,73357424,91820207,118701016,118701720,123134034,124080944,129627537,129627679,131709170,134691994","127523511,128018930,128218187,128353953,128422480,129894555,136075849",Cob(I)alamin for trapping butadiene epoxides in metabolism with rat S9 and for determining associated kinetic parameters.,"The reduced state of vitamin B(12), cob(I)alamin, acts as a supernucleophile that reacts ca. 10(5) times faster than standard nucleophiles, for example, thiols. Methods have been developed for trapping electrophilically reactive compounds by exploiting this property of cob(I)alamin. 1,3-Butadiene (BD) has recently been classified as a group 1 human carcinogen by the International Agency for Research on Cancer (IARC). The carcinogenicity of BD is considered to be dependent on the activation or deactivation o",Chemical research in toxicology,"Hitesh V Motwani, Charlotta Fred, Johanna Haglund, Bernard T Golding, Margareta Törnqvist"," Department of Environmental Chemistry, Stockholm University, SE-106 91 Stockholm, Sweden.",2009 Sep;22(9):1509-16,10.1021/tx900088w
22698567,20120918,article,"xref,mesh","Butadienes,Butylene Glycols,Carcinogens,Cell Line, Transformed,Comet Assay,DNA Breaks, Single-Stranded,DNA Damage,Epoxy Compounds,Hepatocytes,Humans,Mutagens","drug effects,metabolism,therapeutic use,toxicity","D002273 Q000633 NY,D004852 Q000633 NY,D009153 Q000627 NY,D002072 Q000633 NY,D022781 Q000187 NY,D002070 Q000378 NY,D009153 Q000633 NY","7845,10338,11254,12220,13586,92270,108199,160438,233706,12617527","127523511,128018930,128140457,128218187,128353953,128422480,129894555,136075849","DNA damage induced by three major metabolites of 1,3-butadiene in human hepatocyte L02 cells.","1,3-Butadiene (BD) is a carcinogenic air pollutant. Its bioactivation produces four major metabolites, i.e., 3,4-epoxy-1-butene (EB), 3,4-epoxy-1,2-butanediol (EBD), 1,2,3,4-diepoxybutane (DEB), and 3-butene-1,2-diol (BDD). Studies have been mostly focused on DEB due to its strong mutagenicity/carcinogenicity. In contrast, studies of genotoxicity of EB, EBD, and BDD have been limited. In particular, genotoxicity of EBD and BDD using strand breaks as the endpoint has not been investigated. To obtain a more c",Mutation research,"Pan-Pan Zhang, Ying Wen, Jing An, Ying-Xin Yu, Ming-Hong Wu, Xin-Yu Zhang"," School of Environmental and Chemical Engineering, Shanghai University, Shanghai, People's Republic of China.",2012 Sep;747(2):240-5,10.1016/j.mrgentox.2012.06.001
24531806,20140601,article,mesh,"Animals,Biomarkers,Butadienes,Carcinogens,Chromatography, High Pressure Liquid,DNA Adducts,Dose-Response Relationship, Drug,Female,Humans,Inhalation,Liver,Male,Metabolic Networks and Pathways,Occupational Exposure,Rats,Smoking,Tandem Mass Spectrometry","administration &amp; dosage,chemistry,drug effects,metabolism,urine","D002070 Q000737 NN,D018736 Q000187 NN,D002070 Q000008 NN,D015415 Q000652 NN,D018736 Q000378 NN,D002070 Q000652 NN,D002273 Q000737 NN,D008099 Q000378 NN,D002273 Q000008 NN,D002273 Q000378 NY,D015415 Q000378 NN,D002070 Q000378 NY,D008099 Q000187 NN",7845,NULL,Bis-butanediol-mercapturic acid (bis-BDMA) as a urinary biomarker of metabolic activation of butadiene to its ultimate carcinogenic species.,"Human carcinogen 1,3-butadiene (BD) undergoes metabolic activation to 3,4-epoxy-1-butene (EB), hydroxymethylvinyl ketone (HMVK), 3,4-epoxy-1,2-butanediol (EBD) and 1,2,3,4-diepoxybutane (DEB). Among these, DEB is by far the most genotoxic metabolite and is considered the ultimate carcinogenic species of BD. We have shown previously that BD-exposed laboratory mice form 8- to 10-fold more DEB-DNA adducts than rats exposed at the same conditions, which may be responsible for the enhanced sensitivity of mice to",Carcinogenesis,"Srikanth Kotapati, Dewakar Sangaraju, Amanda Esades, Lance Hallberg, Vernon E Walker, James A Swenberg, Natalia Y Tretyakova"," Department of Medicinal Chemistry and the Masonic Cancer Center, University of Minnesota, Minneapolis, MN 55455, USA, Sealy Center for Environmental Health and Medicine (SCEHM) and the Department of Preventive Medicine and Community Health, University of Texas Medical Branch at Galveston, Galveston, TX 77555, USA, Department of Pathology, University of Vermont, Burlington, VT 05405, USA and Department of Environmental Sciences and Engineering, University of North Carolina at Chapel Hill, Chapel Hill, NC 27",2014 Jun;35(6):1371-8,10.1093/carcin/bgu047
8603387,19960401,article,mesh,"Adult,Aged,Aged, 80 and over,Animals,Culture Techniques,DNA Adducts,DNA Damage,Endometrium,Estrogen Antagonists,Female,Humans,Middle Aged,Rats,Tamoxifen","analysis,drug effects,toxicity","D013629 Q000633 NY,D004717 Q000187 NY,D018736 Q000032 NN,D004965 Q000633 NY","2733525,2733526",NULL,Lack of genotoxicity of tamoxifen in human endometrium.,"The potential for the anti-breast cancer drug tamoxifen [(Z)-1-[4-[2-( dimethylamino)ethoxy]phenyl]-1,2-diphenyl-1-butene] to induce genotoxic damage (DNA adducts) in the human endometrium was investigated in vivo and in vitro. Endometria from hysterectomy patients who were not on tamoxifen were sectioned and maintained in short-term organ culture. The cultures were treated with either solvent vehicle (DMSO), tamoxifen, alpha-hydroxytamoxifen [(E)-1-[4-[2-(dimethylamino)ethoxy]phenyl]-1,2-diphenyl-1-buten-3",Cancer research,"P L Carmichael, A H Ugwumadu, P Neven, A J Hewer, G K Poon, D H Phillips"," The Institute of Cancer Research, Haddow Laboratories, Sutton, Surrey, United Kingdom.",1996 Apr;56(7):1475-9,NULL
8901921,19961028,article,mesh,"Animals,Cell Cycle,Cells, Cultured,Chromosome Aberrations,Epoxy Compounds,Male,Mice,Mutagens,Rats,Sister Chromatid Exchange,Species Specificity,Spleen","cytology,drug effects,toxicity","D013154 Q000187 NN,D004852 Q000633 NY,D013154 Q000166 NN,D002453 Q000187 NN,D009153 Q000633 NY","11254,13586,92270,233706,12617527",NULL,Cytogenetic effects of butadiene metabolites in rat and mouse splenocytes following in vitro exposures.,"As a first step in investigating the genotoxic effects of the principal metabolites of 1,3-butadiene (BD) in both rats and mice, splenocytes (which have little mixed function oxidase activity) from each specimen were exposed to a series of concentrations of either 3,4-epoxy-1-butene (EB) (20 to 931 microM) or 1,2:3,4-diepoxybutane (DEB) (2.5 to 160 microM) for 1 h. The splenocytes were then washed, cultured, and stimulated to divide with concanavalin A, and metaphases were analyzed for the induction of sist",Toxicology,"A D Kligerman, C L Doerr, V S Milholland, A H Tennant"," U.S. Environmental Protection Agency, Environmental Carcinogenesis Division, Research Triangle Park, NC 27711, USA.",1996 Oct;113(?):336-40,10.1016/0300-483x(96)03469-5
9250412,19970701,article,mesh,"Carcinogens,Chromatography, High Pressure Liquid,DNA,Epoxy Compounds,Guanine,Guanosine,Ilizarov Technique,Magnetic Resonance Spectroscopy,Mass Spectrometry,Spectrophotometry, Ultraviolet","analogs &amp; derivatives,chemical synthesis,chemistry","D006151 Q000737 NN,D006147 Q000031 NY,D004852 Q000737 NN,D002273 Q000737 NN,D002273 Q000138 NY,D004247 Q000737 NN,D004852 Q000138 NY,D006147 Q000737 NN","764,6802,11254,92270,233706,44135672",NULL,"Synthesis, characterization, and in vitro quantitation of N-7-guanine adducts of diepoxybutane.","Diepoxybutane (DEB) is an important metabolite of 1,3-butadiene (BD), a high-volume industrial chemical classified as a probable human carcinogen. Rodent inhalation studies show strikingly high sensitivity of mice to carcinogenic effects of butadiene compared to rats, which has been linked to differences in metabolism. Both species convert BD to 3,4-epoxy-1-butene (EB), but mice further oxidize a significantly greater part of EB to DEB. DEB is a potent bifunctional genotoxic agent which is 100-fold more mut",Chemical research in toxicology," Tretyakova NYu, R Sangaiah, T Y Yen, J A Swenberg"," Department of Environmental Sciences and Engineering, University of North Carolina, Chapel Hill 27599-7400, USA.",1997 Jul;10(7):779-85,10.1021/tx970004q
