3516434,19860501,article,mesh,"2-Acetylaminofluorene,Animals,Bile Acids and Salts,Colonic Neoplasms,Drug Synergism,Feces,Fluorenes,Male,Methylnitronitrosoguanidine,Mutagenicity Tests,Mutagens,Rats,Rats, Inbred Strains,Risk,Salmonella typhimurium","analysis,drug effects,etiology,toxicity","D001647 Q000633 NY,D003110 Q000209 NN,D008769 Q000633 NY,D005243 Q000032 NN,D001647 Q000032 NN,D005449 Q000633 NY,D012486 Q000187 NN,D015073 Q000633 NY","5897,11831,439520,9562060,20331539",NULL,"Effects of secondary biliary acids on the mutagenicity of N-methyl-N'-nitro-N-nitrosoguanidine, 2-acetylaminofluorene and 2-nitrofluorene towards Salmonella typhimurium strains.","The two secondary biliary acids (lithocholic and deoxycholic acids) were co-mutagenic when they were each co-incubated with dimethylhydrazine in the presence of Salmonella typhimurium TA 100. These observations were extended to other toxic chemicals, acting as direct (N-methyl-N'nitro-N-nitrosoguanidine and 2-nitrofluorene) or indirect (2-acetylaminofluorene) mutagens. Lithocholic and deoxycholic acids show a similar behavior towards genotoxic molecules. Nevertheless two differences must be noted. Lithochol",Carcinogenesis,"M Wilpart, M Roberfroid",NULL,1986 May;7(5):703-6,10.1093/carcin/7.5.703
2185422,19900501,article,mesh,"Administration, Oral,Air Pollutants,Animals,Aroclors,Benzo(a)pyrene,DNA Repair,DNA, Bacterial,Dimethylnitrosamine,Dose-Response Relationship, Drug,Escherichia coli,Fluorenes,Injections, Intraperitoneal,Kidney,Liver,Lung,Male,Mice,Mice, Inbred BALB C,Spleen","drug effects,genetics,toxicity","D004128 Q000633 NN,D008168 Q000187 NN,D007668 Q000187 NN,D013154 Q000187 NN,D004926 Q000235 NN,D005449 Q000633 NY,D004269 Q000187 NY,D000393 Q000633 NY,D001564 Q000633 NY,D001140 Q000633 NN,D008099 Q000187 NN","2336,6124",NULL,"Genotoxicity of benzo[a]pyrene, 2-nitrofluorene and airborne particulates in the DNA-repair host-mediated assay.","The genotoxic activity of benzo[a]pyrene (BAP), 2-nitrofluorene (NF) and airborne particulate matter was evaluated in the DNA-repair host-mediated assay after intraperitoneal or intratracheal administration. Dimethylnitrosamine (DMNA), used as a positive control, showed a genotoxic effect after both intraperitoneal and intratracheal administration, the strongest effect being found in liver, followed by lungs and kidneys, whereas a weak effect was observed in the spleen. In general no difference in genotoxic",Mutation research,"G A Heussen, J G Post, G M Alink"," Department of Toxicology, Agricultural University, Wageningen, The Netherlands.",1990 May;241(1):83-93,10.1016/0165-1218(90)90111-e
3059181,19881101,article,mesh,"Animals,Biotransformation,Cell Line,Cell Survival,Cricetinae,Dose-Response Relationship, Drug,Fluorenes,Microsomes, Liver,Mitosis,Mutagenicity Tests,Mutagens,Mutation,Nitro Compounds,Salmonella typhimurium,Sister Chromatid Exchange,Structure-Activity Relationship","drug effects,metabolism,toxicity","D009574 Q000633 NY,D002470 Q000187 NN,D008862 Q000378 NN,D008938 Q000187 NN,D005449 Q000633 NY,D009154 Q000187 NY,D012854 Q000187 NN,D012486 Q000187 NN",NULL,NULL,The structure-function relationships of nitrofluorenes and nitrofluorenones in the Salmonella mutagenicity and CHO sister-chromatid exchange assays.,"Nitrofluorenes and nitrofluorenones are bacterial mutagens and are detected in a variety of environmental pollution sources. We tested a series of nitrosubstituted fluorenes and fluorenones for their genotoxicity using both Salmonella bacteria and Chinese hamster ovary (CHO) cells to determine if structure-function relationships observed in bacteria for mutation induction are similar to those for mutations and SCE induction in mammalian (CHO) cells. The compounds studied were 2-nitrofluorene (2-NF), 2,7-din",Mutation research,"R M Kitchin, W E Bechtold, A L Brooks"," Department of Zoology and Physiology, University of Wyoming, Laramie 82071.",1988 Nov;206(3):367-77,10.1016/0165-1218(88)90123-1
1383753,19921001,article,mesh,"Cloning, Molecular,Deoxyribonuclease BamHI,Genes, Bacterial,Mutagenicity Tests,Nitro Compounds,Nitroreductases,SOS Response (Genetics),Salmonella typhimurium,Sensitivity and Specificity","drug effects,enzymology,genetics,metabolism,toxicity","D009574 Q000633 NY,D015245 Q000378 NN,D009601 Q000235 NN,D013014 Q000235 NN,D012486 Q000201 NN,D012486 Q000235 NN,D009601 Q000378 NY,D012486 Q000187 NY",NULL,NULL,A sensitive umu test system for the detection of mutagenic nitroarenes in Salmonella typhimurium NM1011 having a high nitroreductase activity.,"A sensitive umu test system for the detection of mutagenic nitroarenes has been developed using a new tester strain Salmonella typhimurium NM1011 having a high nitroreductase activity. The new strain was constructed by subcloning the bacterial nitroreductase gene into a plasmid pACYC184 and introducing the plasmid into the original strain S. typhimurium TA1535/pSK1002 harboring a fusion gene umuC'-'lacZ (pSK1002). Thus, the tester strain enabled us to monitor the genotoxic activities of various nitroarene c",Mutation research,"Y Oda, T Shimada, M Watanabe, M Ishidate, T Nohmi"," Osaka Prefectural Institute of Public Health, Japan.",1992 Oct;272(2):91-9,10.1016/0165-1161(92)90037-m
3821774,19870201,article,mesh,"Animals,Cells, Cultured,DNA Damage,DNA Repair,Liver,Mice,Mutagenicity Tests,Nitro Compounds,Rats,Species Specificity,Structure-Activity Relationship","drug effects,pharmacology","D009574 Q000494 NY,D008099 Q000187 NY",NULL,NULL,Genotoxicity of a variety of nitroarenes and other nitro compounds in DNA-repair tests with rat and mouse hepatocytes.,"Genotoxicity of a variety of nitroarenes and other compounds was examined in DNA-repair tests with rat or mouse hepatocytes. Out of 15 nitroarenes tested, 9 compounds, i.e., 1-nitropyrene, 1,3-dinitropyrene, 1,6-dinitropyrene, 1,8-dinitropyrene, 1-nitro-3-acetoxypyrene, 3-nitrofluoranthene, 2-nitrofluorene, 2,7-di-nitrofluorene and 5-nitroacenaphthene elicited positive response of DNA repair in the tests with rat and mouse hepatocytes. Among the positive chemicals, the DNA-repair level of the 3 dinitropyren",Mutation research,"H Mori, S Sugie, N Yoshimi, T Kinouchi, Y Ohnishi",NULL,1987 Feb;190(2):159-67,10.1016/0165-7992(87)90049-2
11044902,20000101,article,mesh,"Antimutagenic Agents,Ascorbic Acid,Bacteriophage lambda,Diet,Humans,Mutagenicity Tests,Mutagens,Virus Activation,Vitamin A,Vitamin E,beta Carotene","drug effects,methods,pharmacology,physiology","D009152 Q000379 NY,D014801 Q000494 NY,D010582 Q000187 NN,D001205 Q000494 NY,D014775 Q000187 NY,D014810 Q000494 NY,D016587 Q000494 NY,D010582 Q000502 NY,D009153 Q000494 NY,D019207 Q000494 NY","14985,445354,5280382,5280489,23667548,54603957,54670067,54682511,86763295,101033550",NULL,Effect of five dietary antimutagens on the genotoxicity of six mutagens in the microscreen prophage-induction assay.,"Dietary antimutagens have been studied extensively in the last two decades, using mainly bacterial and mammalian cells. These studies have shown that certain dietary antimutagens, acting individually or as mixtures, are useful in counteracting the effects of certain mutagens and/or carcinogens to which humans are commonly exposed. However, there are some inconsistencies among publications using different bioassays. The general purpose of the research presented here was to conduct a comparative study of the ",Environmental and molecular mutagenesis,G Cabrera," Department of Biological Sciences, Illinois State University, Normal, Illinois, USA. gcabrera@sunserver.uaq.mix",2000 Jan;36(3):206-20,10.1002/1098-2280(2000)36:3&lt;206::aid-em4&gt;3.0.co;2-u|10.1002/1098-2280(2000)36:3&lt;206::aid-em4&gt;3.3.co;2-l
9393616,19971024,article,mesh,"4-Nitroquinoline-1-oxide,Amino Acid Sequence,Base Sequence,Chromosome Mapping,Coloring Agents,DNA Repair,DNA-Formamidopyrimidine Glycosylase,Fluorenes,Genetic Markers,Guanine,Methylene Blue,Molecular Sequence Data,Mutagenesis, Insertional,Mutagenicity Tests,Mutagens,N-Glycosyl Hydrolases,Neutral Red,Salmonella typhimurium","analogs &amp; derivatives,deficiency,drug effects,enzymology,genetics,metabolism,methods,toxicity","D006147 Q000031 NN,D009499 Q000633 NN,D005449 Q000633 NN,D008751 Q000633 NN,D009699 Q000172 NY,D012486 Q000201 NN,D015112 Q000633 NN,D012486 Q000235 NN,D009152 Q000379 NN,D004396 Q000633 NY,D012486 Q000187 NY,D009153 Q000633 NY,D006147 Q000378 NN","764,5955,6099,11105,11831,65154,104827",NULL,Construction of mutants of Salmonella typhimurium deficient in 8-hydroxyguanine DNA glycosylase and their sensitivities to oxidative mutagens and nitro compounds.,"8-Hydroxyguanine (8-OH-G) DNA glycosylase is an enzyme involved in repair of oxidative DNA damage, e.g., 8-OH-G in DNA. In order to assess the roles of 8-OH-G in spontaneous and chemically-induced mutagenesis, the mutMST gene encoding 8-OH-G DNA glycosylase of Salmonella typhimurium was disrupted in several Ames tester strains, i.e., S. typhimurium TA1535 (hisG46, uvrB-, rfa), TA1975 (hisG46, uvr+, rfa) and TA102 (hisG428, uvr+, rfa). The spontaneous mutation frequencies were increased 2.4 and 1.6 times, re",Mutation research,"M Suzuki, K Matsui, M Yamada, H Kasai, T Sofuni, T Nohmi"," Division of Genetics and Mutagenesis, National Institute of Health Sciences, Tokyo, Japan.",1997 Oct;393(3):233-46,10.1016/s1383-5718(97)00108-3
14600272,20040101,article,xref,"Animals,Carcinogens,Gene Expression Profiling,Gene Expression Regulation, Neoplastic,Liver,Liver Neoplasms, Experimental,Male,Oligonucleotide Array Sequence Analysis,Rats,Rats, Wistar,Toxicogenetics","chemically induced,drug effects,genetics,metabolism,pathology,toxicity","D008099 Q000187 NY,D002273 Q000633 NY,D008114 Q000139 NN,D008099 Q000378 NN,D008114 Q000235 NN,D008114 Q000473 NN,D015972 Q000187 NY","6124,11831,47289,186907","53787202,53788269,53788714,53790203,127862642,129388467,129681761",Characteristic expression profiles induced by genotoxic carcinogens in rat liver.,"When applied in toxicological studies, the recently developed gene expression profiling techniques using microarrays, which brought forth the new field of toxicogenomics, facilitate the interpretation of a toxic compound's mechanism of action. In this study, we investigated whether genotoxic carcinogens at doses known to induce liver tumors in the 2-year rat bioassay deregulate a common set of genes in a short-term in vivo study and, if so, whether these deregulated genes represent defined biological pathwa",Toxicological sciences : an official journal of the Society of Toxicology,"Heidrun Ellinger-Ziegelbauer, Barry Stuart, Brad Wahle, Werner Bomann, Hans-Jurgen Ahr"," Department of Molecular and Genetic Toxicology, Bayer AG, Wuppertal, Germany. heidrun.ellinger-zigelbauer@bayerhealthcare.com",2004 Jan;77(1):19-34,10.1093/toxsci/kfh016
23052194,20121101,article,"xref,mesh","Aflatoxin B1,Animals,Carcinogens,Cells, Cultured,DNA Damage,Epigenesis, Genetic,Fluorenes,Gene Expression Profiling,Hepatocytes,Male,Mutagenicity Tests,Mutagens,Nitrosamines,Oligonucleotide Array Sequence Analysis,Rats,Rats, Wistar,Toxicogenetics","drug effects,methods,physiology,toxicity","D043922 Q000379 NY,D005449 Q000633 NN,D002273 Q000633 NN,D016604 Q000633 NN,D004249 Q000187 NN,D022781 Q000187 NY,D009602 Q000633 NN,D009153 Q000633 NY,D022781 Q000502 NN","11831,14403,47289,186907,129852253","53787202,53788714,53790203,129681761",Comparison of genotoxicant-modified transcriptomic responses in conventional and epigenetically stabilized primary rat hepatocytes with in vivo rat liver data.,The concept of mechanistic toxicogenomics implies that compound-induced changes in gene expression profiles provide valuable information about their mode of action. A growing number of research groups have presented evidence that whole-genome gene expression profiling techniques might be used as tools for in vivo and in vitro generation of gene signatures and elucidation of molecular mechanisms after exposure to toxic compounds. An important issue to be investigated is the in vivo relevance of in vitro-obta,Archives of toxicology,"Tatyana Y Doktorova, Heidrun Ellinger-Ziegelbauer, Mathieu Vinken, Tamara Vanhaecke, Joost van Delft, Jos Kleinjans, Hans-Juergen Ahr, Vera Rogiers"," Department of Toxicology, Center for Pharmaceutical Research (CePhar), Vrije Universiteit Brussel (VUB), Laarbeeklaan 103, Brussels, Belgium. tatyana.yordanova.doktorova@vub.ac.be",2012 Nov;86(11):1703-15,10.1007/s00204-012-0946-8
30590776,20181224,article,NULL,NULL,NULL,NULL,NULL,NULL,An Adaption of Human-Induced Hepatocytes to In Vitro Genetic Toxicity Tests.,"Metabolic activation is essential in standard in vitro genotoxicity test systems. At present, there is a lack of suitable cell models that can express the major characteristics of liver function for predicting substance toxicity in humans. Human-induced hepatocytes (hiHeps), which have been generated from fibroblasts by lentiviral expression of liver transcription factors, can express hepatic gene programs and can be expanded in vitro and display functional characteristics of mature hepatocytes, including c",Mutagenesis,"Weiying Liu, Jing Xi, Yiyi Cao, Xinyue You, Ruixue Chen, Xinyu Zhang, Li Han, Guoyu Pan, Yang Luan"," Hongqiao International Institute of Medicine, Shanghai Tong Ren Hospital and Faculty of Public Health, Shanghai Jiao Tong University School of Medicine, Shanghai, China. Hongqiao International Institute of Medicine, Shanghai Tong Ren Hospital and Faculty of Public Health, Shanghai Jiao Tong University School of Medicine, Shanghai, China. Hongqiao International Institute of Medicine, Shanghai Tong Ren Hospital and Faculty of Public Health, Shanghai Jiao Tong University School of Medicine, Shanghai, China. H",2018 Dec;?(?):?,NULL
