2720650,19890601,article,mesh,"Animals,Aroclors,Biotransformation,Bronchi,Chromatography, High Pressure Liquid,Chrysenes,DNA,Humans,Liver,Male,Methylcholanthrene,Oxidation-Reduction,Phenanthrenes,Phenobarbital,Rats,Rats, Inbred Strains","drug effects,metabolism,pharmacokinetics,pharmacology","D010634 Q000494 NN,D001980 Q000187 NN,D008099 Q000378 NY,D002911 Q000493 NY,D001980 Q000378 NY,D001140 Q000494 NN,D004247 Q000378 NY,D008748 Q000494 NN,D010616 Q000493 NY,D008099 Q000187 NN","1674,4763,24121,23674889,44135672",NULL,Metabolic activation of 6-nitrochrysene in explants of human bronchus and in isolated rat hepatocytes.,"It has previously been shown that 6-nitrochrysene can be activated to electrophilic species capable of reacting with DNA through metabolic pathways that form N-hydroxy-6-aminochrysene or trans-1,2-dihydroxy-1,2-dihydro-6-aminochrysene as critical intermediates. Since the lung is a known target tissue for the carcinogenic action of polycyclic nitroaromatic hydrocarbons, we investigated the metabolism and DNA binding of [3H]6-nitrochrysene in 11 specimens of human bronchus. Analysis of medium from [3H]6-nitro",Cancer research,"K B Delclos, K el-Bayoumy, D A Casciano, R P Walker, F F Kadlubar, S S Hecht, N Shivapurkar, S Mandal, G D Stoner"," Division of Biochemical Toxicology, National Center for Toxicological Research, Jefferson, Arkansas 72079.",1989 Jun;49(11):2909-13,NULL
12115519,20020801,article,"xref,mesh","Breast,Chrysenes,DNA,DNA Adducts,Environmental Pollutants,Humans,Tumor Cells, Cultured","cytology,drug effects,metabolism,pharmacology","D004247 Q000187 NY,D001940 Q000166 NN,D004785 Q000494 NY,D018736 Q000378 NN,D004247 Q000378 NN,D001940 Q000187 NY,D002911 Q000378 NN,D002911 Q000494 NY,D004785 Q000378 NN","16317,24121,187790,44135672,90787699,135398592","128134628,129342069,129806984,243391437","Metabolism and DNA binding of the environmental pollutant 6-nitrochrysene in primary culture of human breast cells and in cultured MCF-10A, MCF-7 and MDA-MB-435s cell lines.","The environmental pollutant 6-nitrochrysene (6-NC) is a potent mammary carcinogen in the rat. To determine if the results obtained in 6-NC-treated rodents can be applicable to humans, we examined its metabolic activation in primary cultures of human breast cells prepared from tissues obtained from reduction mammoplasty from 3 women and in a cultured, immortalized human mammary epithelial cell line (MCF-10A), as well as estrogen-dependent (MCF-7) and estrogen-independent (MDA-MB-435s) human breast cancer cel",International journal of cancer,"Telih Boyiri, Joanna Leszczynska, Dhimant Desai, Shantu Amin, Daniel W Nixon, Karam El-Bayoumy"," American Health Foundation, Valhalla, NY 10595, USA.",2002 Aug;100(4):395-400,10.1002/ijc.10505
21114286,20110114,article,"xref,mesh","Animals,Benzo(a)pyrene,Chromatography, High Pressure Liquid,Chrysenes,DNA Adducts,DNA Repair,Deoxyguanosine,HeLa Cells,Humans,Imidazoles,Mass Spectrometry,Oligonucleotides,Rats","analogs &amp; derivatives,chemistry,metabolism,toxicity","D002911 Q000737 NY,D018736 Q000737 NY,D007093 Q000633 NN,D003849 Q000031 NY,D001564 Q000737 NN,D002911 Q000633 NN,D003849 Q000737 NN,D007093 Q000737 NN,D009841 Q000378 NN,D001564 Q000633 NN","1530,2336,24121,115225,187790,53881859,54129049,71352340,135398592,136203513,136238395","127717915,127868578,128073380,128750552,129342069,129407608,129806984,323316068",Inefficient nucleotide excision repair in human cell extracts of the N-(deoxyguanosin-8-yl)-6-aminochrysene and 5-(deoxyguanosin-N(2)-yl)-6-aminochrysene adducts derived from 6-nitrochrysene.,"Ubiquitous environmental agents [e.g., polynuclear aromatic hydrocarbons (PAHs) and their nitrated derivatives (NO(2)-PAHs)] that are known to induce mammary cancer in rodents are regarded as potential human risk factors for inducing analogous human cancers. Although 6-nitrochrysene (6-NC) is less abundant than other NO(2)-PAHs in the environment, it is the most potent mammary carcinogen in the rat; its carcinogenic potency is not only higher than that of the carcinogenic PAH, benzo[a]pyrene (B[a]P), but al",Chemical research in toxicology,"Jacek Krzeminski, Konstantin Kropachev, Marina Kolbanovskiy, Dara Reeves, Alexander Kolbanovskiy, Byeong-Hwa Yun, Nicholas E Geacintov, Shantu Amin, Karam El-Bayoumy"," Department of Biochemistry and Molecular Biology, College of Medicine, Pennsylvania State University, Hershey, Pennsylvania 17033, USA.",2011 Jan;24(1):65-72,10.1021/tx100284h
8313502,19940201,article,mesh,"Adenoma,Animals,Biotransformation,Carcinogens,Chrysenes,DNA Damage,Energy Intake,Food Deprivation,Liver Neoplasms, Experimental,Male,Mice","chemically induced,pharmacokinetics,prevention &amp; control","D002273 Q000493 YN,D002911 Q000493 YN,D008114 Q000517 NY,D000236 Q000517 NY,D008114 Q000139 NN,D000236 Q000139 NN",24121,NULL,Caloric restriction profoundly inhibits liver tumor formation after initiation by 6-nitrochrysene in male mice.,"Caloric restriction (CR) inhibited strongly the incidence of chemically-induced tumors in the neonatal B6C3F1 mouse tumorigenicity bioassay, when begun 3 months after treatment with the potent carcinogen 6-nitrochrysene. These data indicate that CR can have a profound inhibitory effect on tumor development even long after metabolic activation and DNA repair have occurred. ",Carcinogenesis,"P P Fu, K L Dooley, L S Von Tungeln, T Bucci, R W Hart, F F Kadlubar"," National Center for Toxicological Research, Jefferson, AR 72079.",1994 Feb;15(2):159-61,10.1093/carcin/15.2.159
10802392,20000519,article,mesh,"Aflatoxin B1,Animals,Biotransformation,Carbolines,Carcinogenicity Tests,Carcinogens,Cell Culture Techniques,Cell Death,Chrysenes,Epidermis,Humans,Keratinocytes,Microsomes,Mutagens,Rats","cytology,drug effects,methods,physiology,toxicity","D016604 Q000633 NN,D002273 Q000633 NY,D015603 Q000187 NY,D008861 Q000502 NN,D002911 Q000633 NN,D002243 Q000633 NN,D004817 Q000166 NN,D015197 Q000379 NN,D015603 Q000502 NN,D008861 Q000187 NY,D009153 Q000633 NN","14403,24121,186907,5284474,5284476",NULL,Cytotoxicity and keratinocyte microsome-mediated mutagenic activation of carcinogens in cultured epidermal cells.,"Four model carcinogens (aflatoxin B(1), 6-nitrochrysene, 3-amino-1-dimethyl-5H-pyrido[4,3-b]indole (Trp-P-1), 3-amino-1-methyl-5H-pyrido[4,3-b]indole (Trp-P-2)) were examined for their ability to inhibit the growth of cultured human and rat epidermal cells. To find a basis for observed differences in growth inhibition, aflatoxin B(1), Trp-P-1 and Trp-P-2 were tested for activation by microsomes isolated from these cells in a bacterial mutagenesis assay. Treated rat cultures exhibited sensitivity to Trp-P-1 ",Toxicology letters,"H S Chun, P A Kuzmicky, L Rucoba, N Y Kado, R H Rice"," Department of Environmental Toxicology, 1 Shields Avenue, University of California, Davis, CA 95616-8588, USA.",2000 May;115(2):165-72,10.1016/s0378-4274(00)00190-9
7523883,19941001,article,mesh,"Alkylating Agents,Benzo(a)pyrene,Biotransformation,Cells, Cultured,Chrysenes,DNA Damage,Ethyl Methanesulfonate,Ethylnitrosourea,Humans,Hypoxanthine Phosphoribosyltransferase,Mutagenesis,Mutagens","genetics,toxicity","D002911 Q000633 NN,D007041 Q000235 NY,D005038 Q000633 NN,D009153 Q000633 NY,D005020 Q000633 NN,D000477 Q000633 NN,D001564 Q000633 NN","2336,6113,12967,17534,24121",NULL,Induction of mutations at the hypoxanthine phosphoribosyl transferase (HPRT) locus in AHH-1 human lymphoblastoid cells.,"Cells from the human lymphoblastoid cell line, AHH-1, were exposed to two direct-acting mutagens, ethyl methanesulfonate (EMS) and ethyl nitrosourea (ENU), and to three carcinogens that require metabolic activation to an electrophile, benzo[a]pyrene (B(a)P), 6-aminochrysene (6-AC), and 6-nitrochrysene (6-NC); mutation induction at the HPRT locus was quantified by resistance to 6-thioguanine (6-TGr). Exposure of AHH-1 cells to either EMS or ENU resulted in a concentration-dependent increase in mutant frequen",Mutation research,"S M Morris, O E Domon, K B Delclos, J J Chen, D A Casciano"," Division of Genetic Toxicology, US Public Health Service, Food and Drug Administration, National Center for Toxicological Research, Jefferson, AR 72079.",1994 Oct;310(1):45-54,10.1016/0027-5107(94)90007-8
24112095,20131118,article,mesh,"Adenine,Animals,Benzo(a)pyrene,Cattle,Chrysenes,DNA,DNA Adducts,DNA Repair,Guanine,HeLa Cells,Humans,Mice,Oligonucleotides,Oxidation-Reduction,Rats,Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization","analysis,chemistry,metabolism","D002911 Q000737 NY,D004247 Q000378 NN,D018736 Q000378 NY,D001564 Q000737 NN,D000225 Q000737 NY,D009841 Q000737 NN,D018736 Q000737 NN,D018736 Q000032 NN,D004247 Q000737 NN,D009841 Q000378 NN,D006147 Q000737 NY","190,764,2336,24121,44135672",NULL,Adenine-DNA adduct derived from the nitroreduction of 6-nitrochrysene is more resistant to nucleotide excision repair than guanine-DNA adducts.,"Previous studies in rats, mice, and in vitro systems showed that 6-NC can be metabolically activated by two major pathways: (1) the formation of N-hydroxy-6-aminochrysene by nitroreduction to yield three major adducts, N-(dG-8-yl)-6-AC, 5-(dG-N(2)-yl)-6-AC, and N-(dA-8-yl)-6-AC, and (2) the formation of trans-1,2-dihydroxy-1,2-dihydro-6-hydroxylaminochrysene (1,2-DHD-6-NHOH-C) by a combination of nitroreduction and ring oxidation pathways to yield N-(dG-8-yl)-1,2-DHD-6-AC, 5-(dG-N(2)-yl)-1,2-DHD-6-AC and N-",Chemical research in toxicology,"Jacek Krzeminski, Konstantin Kropachev, Dara Reeves, Aleksandr Kolbanovskiy, Marina Kolbanovskiy, Kun-Ming Chen, Arun K Sharma, Nicholas Geacintov, Shantu Amin, Karam El-Bayoumy"," Department of Biochemistry and Molecular Biology, and ‡Department of Pharmacology, College of Medicine, Pennsylvania State University , Hershey, Pennsylvania 17033, United States.",2013 Nov;26(11):1746-54,10.1021/tx400296x
8222062,19931001,article,mesh,"Animals,Base Sequence,CHO Cells,Chrysenes,Cricetinae,DNA,Deoxyguanosine,Hypoxanthine Phosphoribosyltransferase,Methylcholanthrene,Microsomes, Liver,Molecular Sequence Data,Mutation","genetics,metabolism","D003849 Q000378 NY,D002911 Q000378 NY,D008862 Q000378 NN,D004247 Q000378 NY,D007041 Q000235 NY","1674,107900,187790,3025891,44135672",NULL,"Trans-1,2-dihydro-1,2-dihydroxy-6-aminochrysene is metabolized to form a major adduct with deoxyguanosine and produces mutations in the hprt gene of Chinese hamster ovary cells at G:C basepairs.","6-Nitrochrysene can be activated to genotoxic derivatives by two major metabolic pathways: nitroreduction to N-hydroxy-6-aminochrysene, and a combination of ring-oxidation and nitroreduction that involves the intermediate formation of trans-1,2-dihydro-1,2-dihydroxy-6-aminochrysene (6-AC-1,2-dihydrodiol). The DNA adduct formed from this latter pathway was evaluated by reacting individual deoxynucleoside 5'-monophosphates with 6-AC-1,2-dihydrodiol in the presence of liver microsomal enzymes from 3-methylchol",Carcinogenesis,"E E Li, R H Heflich, K B Delclos"," Division of Biochemical, National Center for Toxicological Research, Jefferson, AR 72079.",1993 Oct;14(10):2109-14,10.1093/carcin/14.10.2109
8598575,19960209,article,mesh,"Aminobiphenyl Compounds,Animals,Base Sequence,Benzo(a)pyrene,Chrysenes,Genes, ras,Liver Neoplasms, Experimental,Male,Mice,Molecular Sequence Data,Mutation","chemically induced,genetics,toxicity","D000611 Q000633 NN,D008114 Q000235 NY,D002911 Q000633 NN,D008114 Q000139 NN,D001564 Q000633 NN","2336,7102,24121,5284341",NULL,H- and K-ras mutational profiles in chemically induced liver tumors from B6C3F1 and CD-1 mice.,"Liver tumors from mice treated with genotoxic carcinogens often possess mutations in ras protooncogenes, and these sequence alterations in ras frequently reflect the mutational specificity of the carcinogen. Previous studies suggest that the mouse model used for tumor induction may affect ras mutational patterns. In order to explore this possibility, H- and K-ras mutational profiles were established in liver tumors from male B6C3f1 and CD-1 mice administered benzo[a]pyrene (BaP), 6-nitrochrysene (6-NC), and",Journal of toxicology and environmental health,"M G Manjanatha, E E Li, P P Fu, R H Heflich"," Department of Health and Human Services, Food and Drug Administration, National Center for Toxicological Research, Jefferson, Arkansas, USA.",1996 Feb;47(2):195-208,10.1080/009841096161898
10465341,19990823,article,mesh,"Adenoma,Animals,Animals, Newborn,Carcinogenicity Tests,Carcinogens,Chrysenes,Dimethylnitrosamine,Imidazoles,Liver Neoplasms, Experimental,Male,Mice,Mice, Inbred C57BL,Mice, Knockout,Mice, Transgenic,Tumor Suppressor Protein p53","chemically induced,deficiency,genetics,pathology,toxicity","D000236 Q000139 NY,D004128 Q000633 NN,D000236 Q000235 NN,D007093 Q000633 NN,D016159 Q000172 NY,D002273 Q000633 NY,D002911 Q000633 NN,D016159 Q000235 NN,D008114 Q000235 NN,D008114 Q000473 NN,D000236 Q000473 NN,D008114 Q000139 NY","1530,6124,24121",NULL,Evaluation of the transgenic p53+/- mouse for detecting genotoxic liver carcinogens in a short-term bioassay.,"The transgenic p53-deficient heterozygous (p53+/-) mouse is prone to both spontaneous and induced tumors and has been proposed for use in a sensitive, short-term (6 months) assay for identifying genotoxic, multispecies carcinogens. It is not clear, however, if a short-term assay with p53+/- mice detects agents that target certain organs, in particular, the liver. In this study, we treated neonatal male p53+/- and p53+/+ mice with the genotoxic carcinogens dimethylnitrosamine (DMN), 2-amino-1-methyl-6-phenyl",Cancer letters,"S B Dass, T J Bucci, R H Heflich, D A Casciano"," Division of Genetic and Reproductive Toxicology, National Center for Toxicological Research, Jefferson, AR 72079, USA.",1999 Aug;143(1):81-5,10.1016/s0304-3835(99)00196-2
