29195668,20171001,review,mesh,"Acetaldehyde,Carcinogenesis,Ethanol,Gastrointestinal Neoplasms,Humans","adverse effects,genetics,pathology","D000079 Q000009 NY,D005770 Q000235 NY,D000431 Q000009 NY,D005770 Q000473 NN","177,702",NULL,Key role of local acetaldehyde in upper GI tract carcinogenesis.,"Ethanol is neither genotoxic nor mutagenic. Its first metabolite acetaldehyde, however, is a powerful local carcinogen. Point mutation in ALDH2 gene proves the causal relationship between acetaldehyde and upper digestive tract cancer in humans. Salivary acetaldehyde concentration and exposure time are the two major and quantifiable factors regulating the degree of local acetaldehyde exposure in the ideal target organ, oropharynx. Instant microbial acetaldehyde formation from alcohol represents >70% of total",Best practice & research. Clinical gastroenterology,Mikko Salaspuro," Research Unit on Acetaldehyde and Cancer, University of Helsinki, Helsinki, Finland. Electronic address: mikko.salaspuro@helsinki.fi.",2017 Oct;31(5):491-499,10.1016/j.bpg.2017.09.016
24867320,20140101,article,mesh,"Acetaldehyde,Antifungal Agents,Biofilms,Candida albicans,Candidiasis,Caproates,Cell Proliferation,In Vitro Techniques,Microbial Sensitivity Tests,Microscopy, Electron, Scanning,Mutagens,Real-Time Polymerase Chain Reaction","drug effects,drug therapy,growth &amp; development,metabolism,microbiology,pathology,pharmacology","D000935 Q000494 NY,D018441 Q000187 NY,D009153 Q000378 NY,D002176 Q000187 NY,D018441 Q000254 NN,D002177 Q000188 NY,D049109 Q000187 NN,D002208 Q000494 NY,D002177 Q000382 NN,D002177 Q000473 NN,D000079 Q000378 NY","177,92779",NULL,A novel antifungal is active against Candida albicans biofilms and inhibits mutagenic acetaldehyde production in vitro.,"The ability of C. albicans to form biofilms is a major virulence factor and a challenge for management. This is evident in biofilm-associated chronic oral-oesophageal candidosis, which has been shown to be potentially carcinogenic in vivo. We have previously shown that most Candida spp. can produce significant levels of mutagenic acetaldehyde (ACH). ACH is also an important mediator of candidal biofilm formation. We have also reported that D,L-2-hydroxyisocaproic acid (HICA) significantly inhibits planktoni",PloS one,"Mikko T Nieminen, Lily Novak-Frazer, Vilma Rautemaa, Ranjith Rajendran, Timo Sorsa, Gordon Ramage, Paul Bowyer, Riina Rautemaa"," Research Unit on Acetaldehyde and Cancer, University of Helsinki, Helsinki, Finland; Department of Periodontology, Institute of Dentistry, University of Helsinki, Helsinki, Finland; Department of Bacteriology and Immunology, Haartman Institute, University of Helsinki, Helsinki, Finland; The University of Manchester, Institute of Inflammation and Repair, Manchester Academic Health Science Centre, University Hospital of South Manchester, Wythenshawe Hospital, Manchester, United Kingdom. The University of Man",2014 Jan;9(5):e97864,10.1371/journal.pone.0097864
27687866,20170101,article,mesh,"Acetaldehyde,Adaptation, Physiological,Cell Cycle Checkpoints,DNA Adducts,DNA Damage,DNA Repair,DNA Replication,DNA, Fungal,Epistasis, Genetic,Fanconi Anemia,Genes, Fungal,Homologous Recombination,Inactivation, Metabolic,Models, Biological,Schizosaccharomyces,Schizosaccharomyces pombe Proteins","biosynthesis,cytology,drug effects,genetics,metabolism,toxicity","D004261 Q000187 NN,D004249 Q000235 NY,D000222 Q000187 NN,D059765 Q000187 NN,D018736 Q000378 NN,D000079 Q000633 NY,D029702 Q000235 NN,D012568 Q000235 NY,D059447 Q000187 NN,D012568 Q000166 NN,D004260 Q000187 NN,D005199 Q000235 NN,D008658 Q000187 NN,D012568 Q000187 NN,D004843 Q000187 NN,D004271 Q000096 NN,D029702 Q000378 NN",177,NULL,Genetic controls of DNA damage avoidance in response to acetaldehyde in fission yeast.,"Acetaldehyde, a primary metabolite of alcohol, forms DNA adducts and disrupts the DNA replication process, causing genomic instability, a hallmark of cancer. Indeed, chronic alcohol consumption accounts for approximately 3.6% of all cancers worldwide. However, how the adducts are prevented and repaired after acetaldehyde exposure is not well understood. In this report, we used the fission yeast Schizosaccharomyces pombe as a model organism to comprehensively understand the genetic controls of DNA damage avo","Cell cycle (Georgetown, Tex.)","Chiaki Noguchi, Grant Grothusen, Vinesh Anandarajan, Marta Martínez-Lage García, Daniel Terlecky, Krysten Corzo, Katsunori Tanaka, Hiroshi Nakagawa, Eishi Noguchi"," a Department of Biochemistry and Molecular Biology , Drexel University College of Medicine , Philadelphia , PA , USA. a Department of Biochemistry and Molecular Biology , Drexel University College of Medicine , Philadelphia , PA , USA. a Department of Biochemistry and Molecular Biology , Drexel University College of Medicine , Philadelphia , PA , USA. a Department of Biochemistry and Molecular Biology , Drexel University College of Medicine , Philadelphia , PA , USA. a Department of Biochemistry and Molecu",2017 Jan;16(1):45-58,10.1080/15384101.2016.1237326
8781337,19960901,article,mesh,"Acetaldehyde,Animals,Endothelium, Vascular,Ethanol,Liver Circulation,Male,Rats,Rats, Sprague-Dawley,Serum Albumin, Bovine,Time Factors","cytology,metabolism,pharmacology","D004730 Q000166 NN,D000431 Q000494 NY,D012710 Q000378 NN,D004730 Q000378 NY,D000079 Q000378 NY","177,702",NULL,Long-term ethanol administration alters the degradation of acetaldehyde adducts by liver endothelial cells.,"Previous reports have shown that long-term ethanol administration alters receptor-mediated endocytosis (RME) of a variety of macromolecules by liver endothelial cells (LEC). Acetaldehyde is the major metabolic product of ethanol metabolism and has been shown to bind to proteins to form adducts. In this study, the level of protein modification by acetaldehyde necessary for the uptake and degradation of acetaldehyde-modified proteins by LEC was investigated. Bovine serum albumin (BSA) acetaldehyde adducts wer","Hepatology (Baltimore, Md.)","G M Thiele, J A Miller, L W Klassen, D J Tuma"," University of Nebraska Medical Center, Omaha, USA.",1996 Sep;24(3):643-8,10.1002/hep.510240329|10.1053/jhep.1996.v24.pm0008781337
16025520,20050801,article,"xref,mesh","Acetaldehyde,Cells, Cultured,Collagen,Collagen Type I,DNA-Binding Proteins,Humans,Hydrogen Peroxide,Liver,Liver Cirrhosis,Promoter Regions, Genetic,RNA, Messenger,Smad3 Protein,Sp1 Transcription Factor,Trans-Activators,Transforming Growth Factor beta","analysis,chemically induced,drug effects,genetics,metabolism,physiology,toxicity","D012333 Q000032 NN,D008099 Q000187 NY,D008103 Q000139 NY,D016329 Q000378 NN,D000079 Q000633 NY,D003094 Q000235 NY,D004268 Q000378 NN,D008099 Q000378 NN,D006861 Q000378 NN,D016212 Q000502 NY,D015534 Q000378 NN,D016212 Q000235 NN","177,702,784,56842206","53790039,128180287,128482492",Early response of alpha2(I) collagen to acetaldehyde in human hepatic stellate cells is TGF-beta independent.,Acetaldehyde is fibrogenic and induces the expression of type I collagen genes in hepatic stellate cells. Some of these acetaldehyde-dependent events are mediated by H(2)O(2) and thus establish a direct connection between oxidative stress and collagen upregulation. We localized to the -378 to -183 region of the alpha2(I) collagen (COL1A2) promoter an acetaldehyde-responsive element (AcRE) functional in human hepatic stellate cells (HHSCs) and investigated molecular mechanisms whereby acetaldehyde stimulates,"Hepatology (Baltimore, Md.)","Gianluca Svegliati-Baroni, Yutaka Inagaki, Ana-Rosa Rincon-Sanchez, Cindy Else, Stefania Saccomanno, Antonio Benedetti, Francesco Ramirez, Marcos Rojkind"," Clinica di Gastroenterologia, Universita Politecnica delle Marche, Ancona, Italy.",2005 Aug;42(2):343-52,10.1002/hep.20798
20506324,20101201,article,"xref,mesh","Acetaldehyde,Alcohol-Induced Disorders, Nervous System,Amygdala,Animals,Central Nervous System Depressants,Ethanol,Extracellular Signal-Regulated MAP Kinases,Male,Nucleus Accumbens,Phosphorylation,Rats,Rats, Sprague-Dawley","drug effects,enzymology,metabolism,pharmacology,physiology","D010766 Q000502 NN,D000079 Q000378 NN,D020268 Q000201 NN,D000431 Q000494 NY,D002492 Q000378 NN,D009714 Q000201 NN,D000431 Q000378 NN,D000679 Q000201 NN,D002492 Q000494 NN,D020268 Q000378 NN,D000679 Q000187 NY,D010766 Q000187 NN,D009714 Q000187 NY,D048049 Q000378 NY,D000079 Q000494 NY","177,702,3406,5852","128180287,128482492,129133828,129533113",Acetaldehyde elicits ERK phosphorylation in the rat nucleus accumbens and extended amygdala.,"Recent advances suggest that acetaldehyde mediates some of the neurobiological properties of ethanol. In a recent study, we have shown that ethanol elicits the phosphorylation of extracellular signal-regulated kinase (pERK) in the nucleus accumbens and extended amygdala, via a dopamine D(1) receptor-mediated mechanism. The aim of this study was to determine whether acetaldehyde and ethanol-derived acetaldehyde elicit the activation of ERK in the nucleus accumbens and extended amygdala. The effects of acetal","Synapse (New York, N.Y.)","Stefania Vinci, Federico Ibba, Rosanna Longoni, Liliana Spina, Saturnino Spiga, Elio Acquas"," Department of Toxicology, University of Cagliari, 09124 Cagliari, Italy.",2010 Dec;64(12):916-27,10.1002/syn.20811
10906435,20000801,article,mesh,"Acetaldehyde,Cell Survival,Colon,Comet Assay,DNA,DNA Damage,DNA Repair,Dose-Response Relationship, Drug,Ethanol,Formaldehyde,Gastric Mucosa,Humans,Intestinal Mucosa,Lymphocytes,Mutagens","cytology,drug effects,toxicity","D002470 Q000187 NN,D000431 Q000633 NY,D003106 Q000187 NY,D004247 Q000187 NN,D005753 Q000187 NY,D000079 Q000633 NY,D005557 Q000633 NN,D008214 Q000187 NY,D008214 Q000166 NN,D007413 Q000166 NN,D007413 Q000187 NY,D005753 Q000166 NN,D009153 Q000633 NY,D003106 Q000166 NN","177,702,712,44135672",NULL,In vitro genotoxicity of ethanol and acetaldehyde in human lymphocytes and the gastrointestinal tract mucosa cells.,"The influence of ethanol and acetaldehyde on DNA in human lymphocytes, gastric mucosa (GM) and colonic mucosa (CM) was investigated by using the comet assay. All kinds of cells were exposed to ethanol and acetaldehyde in two regimens: the cells were incubated with either chemical and analysed or they were exposed first to ethanol, washed and then exposed to acetaldehyde and analysed. Lymphocytes were exposed to ethanol at final concentrations of 30 mM and acetaldehyde at 3 mM. GM cells were incubated with e",Toxicology in vitro : an international journal published in association with BIBRA,"J Blasiak, A Trzeciak, E Malecka-Panas, J Drzewoski, M Wojewódzka"," Department of Molecular Genetics, University of Lodz, 12/16, 90-237 Lodz, Banacha, Poland. januszb@biol.uni.lodz.pl",2000 Aug;14(4):287-95,10.1016/s0887-2333(00)00022-9
14722101,20040319,article,"xref,mesh","Acetaldehyde,Aldehyde Dehydrogenase,Antioxidants,Apoptosis,Cell Line,Cells, Cultured,Endothelium,Gene Expression Regulation, Enzymologic,Humans,Mitogen-Activated Protein Kinases,Oxidative Stress,Reactive Oxygen Species,Spectrometry, Fluorescence,Transgenes,Umbilical Veins,alpha-Tocopherol","cytology,drug effects,enzymology,genetics,metabolism,pharmacology,toxicity","D014471 Q000201 NN,D014471 Q000187 NY,D000079 Q000633 NY,D004727 Q000166 NN,D000975 Q000494 NN,D004727 Q000201 NN,D014471 Q000166 NN,D020928 Q000378 NY,D000444 Q000235 NY,D004727 Q000187 NY,D024502 Q000494 NN","176,177,702,2117,14985,86472,176155,425400,443968,3006531,11305985,91151401","53787417,53788760,53790039,53790929,127350601,128011809,128180287,128482492,129071275,245968284",Overexpression of aldehyde dehydrogenase-2 (ALDH2) transgene prevents acetaldehyde-induced cell injury in human umbilical vein endothelial cells: role of ERK and p38 mitogen-activated protein kinase.,"Acetaldehyde, the major ethanol metabolite that is far more toxic and reactive than ethanol, has been postulated to be responsible for alcohol-induced tissue and cell injury. This study was to examine whether facilitated acetaldehyde metabolism affects acetaldehyde-induced oxidative stress and apoptosis. Transgene-encoding human aldehyde dehydrogenase-2 (ALDH2), which converts acetaldehyde into acetate, was constructed under chicken beta-actin promoter and transfected into human umbilical vein endothelial c",The Journal of biological chemistry,"Shi-Yan Li, Mark Gomelsky, Jinhong Duan, Zhaojie Zhang, Larissa Gomelsky, Xiaochun Zhang, Paul N Epstein, Jun Ren"," Division of Pharmaceutical Sciences, Department of Molecular Biology and Microscopic Facilities, University of Wyoming, Laramie, Wyoming 82071-3375.",2004 Mar;279(12):11244-52,10.1074/jbc.m308011200
27958326,20160101,article,mesh,"Acetaldehyde,Alcohol Dehydrogenase,Aldehyde Dehydrogenase, Mitochondrial,Caco-2 Cells,Calcium Channels,Cells, Cultured,Ethanol,Humans,Oxidative Stress,Tight Junctions,Zonula Occludens-1 Protein","drug effects,metabolism,pharmacology","D000079 Q000494 NN,D062826 Q000378 NN,D000431 Q000378 NY,D000431 Q000494 NN,D018384 Q000187 NY,D000071396 Q000378 NN,D019108 Q000378 NY,D019108 Q000187 NY,D015220 Q000378 NY,D000426 Q000378 NN,D000079 Q000378 NY","177,702",NULL,Calcium Channels and Oxidative Stress Mediate a Synergistic Disruption of Tight Junctions by Ethanol and Acetaldehyde in Caco-2 Cell Monolayers.,"Ethanol is metabolized into acetaldehyde in most tissues. In this study, we investigated the synergistic effect of ethanol and acetaldehyde on the tight junction integrity in Caco-2 cell monolayers. Expression of alcohol dehydrogenase sensitized Caco-2 cells to ethanol-induced tight junction disruption and barrier dysfunction, whereas aldehyde dehydrogenase attenuated acetaldehyde-induced tight junction disruption. Ethanol up to 150 mM did not affect tight junction integrity or barrier function, but it dose",Scientific reports,"Geetha Samak, Ruchika Gangwar, Avtar S Meena, Roshan G Rao, Pradeep K Shukla, Bhargavi Manda, Damodaran Narayanan, Jonathan H Jaggar, RadhaKrishna Rao"," Department of Physiology, University of Tennessee Health Science Center, 894 Union Avenue, Memphis TN 38163, USA. Department of Physiology, University of Tennessee Health Science Center, 894 Union Avenue, Memphis TN 38163, USA. Department of Physiology, University of Tennessee Health Science Center, 894 Union Avenue, Memphis TN 38163, USA. Department of Physiology, University of Tennessee Health Science Center, 894 Union Avenue, Memphis TN 38163, USA. Department of Physiology, University of Tennessee Healt",2016 Jan;6(?):38899,10.1038/srep38899
15550448,20050101,article,"xref,mesh","Acetaldehyde,Animals,I-kappa B Proteins,Liver,Male,NF-KappaB Inhibitor alpha,NF-kappa B,Rats,Rats, Sprague-Dawley,Tumor Necrosis Factor-alpha","antagonists &amp; inhibitors,cytology,drug effects,metabolism,pharmacology","D016328 Q000037 NY,D014409 Q000494 NY,D016328 Q000378 NY,D008099 Q000378 NY,D020672 Q000378 NY,D008099 Q000187 NN,D008099 Q000166 NY,D000079 Q000494 NY","177,702","128180287,128482492",Effects of acetaldehyde and TNF alpha on the inhibitory kappa B-alpha protein and nuclear factor kappa B activation in hepatic stellate cells.,"AIMS: Increased plasma tumour necrosis alpha (TNFalpha) and elevated monocyte nuclear factor kappa B (NF-kappaB) are associated with liver injury and inflammation in models of alcoholic liver disease and are found to be elevated in monocytes of patients with alcoholic hepatitis. Acetaldehyde enhances, whereas TNFalpha inhibits, transcription of the type I collagen promoters and type I collagen production. NF-kappaB, an inhibitor of the type I collagen promoters, is increased by both acetaldehyde and TNFalph","Alcohol and alcoholism (Oxford, Oxfordshire)","Gennadiy Novitskiy, Rajani Ravi, James J Potter, Lynda Rennie-Tankersley, Lan Wang, Esteban Mezey"," Department of Medicine, 921 Ross Research Building, The Johns Hopkins University School of Medicine, 720 Rutland Avenue, Baltimore, MD 21205-2195, USA.",2005 Jan;40(2):96-101,10.1093/alcalc/agh116
