15868488,20050101,article,"xref,mesh","Acetone,Acid Phosphatase,Animals,Aspartate Aminotransferases,Erythrocyte Count,Erythrocytes,Hemolysis,L-Lactate Dehydrogenase,Male,Oxidative Stress,Rats,Rats, Wistar,Thiobarbituric Acid Reactive Substances,Vitamin E","blood,drug effects,metabolism,pathology,pharmacology","D004912 Q000187 NY,D000135 Q000097 NN,D014810 Q000378 NN,D001219 Q000097 NN,D004912 Q000378 NN,D014810 Q000494 NY,D018384 Q000187 NY,D000096 Q000494 NY,D007770 Q000097 NN,D017392 Q000378 NN,D004912 Q000473 NN,D006461 Q000187 NN","180,612,5960,14985,1268265","127638306,127669892,128334455,129287822",Vitamin E protects against acetone-induced oxidative stress in rat red blood cells.,"Acetone may induce oxidative stress leading to disturbance of the biochemical and physiological functions of red blood cells (RBCs) thereby affecting membrane integrity. Vitamin E (vit E) is believed to function as an antioxidant in vivo protecting membranes from lipid peroxidation. The aim of the present study was the evaluation of possible protective effects of vit E treatment against acetone-induced oxidative stress in rat RBCs. Thirty healthy male Wistar albino rats, weighing 200-230 g and averaging 12 ",Cell biology and toxicology,"F Armutcu, O Coskun, A Gürel, S Sahin, M Kanter, A Cihan, K Varim Numanoglu, C Altinyazar"," Department of Biochemistry, Faculty of Medicine, Zonguldak Karaelmas University, Zonguldak, Turkey. drferah@yahoo.com",2005 Jan;21(1):53-60,10.1007/s10565-005-1781-y
20213598,20100601,article,"xref,mesh","Acetone,Adipose Tissue,Animals,Antioxidants,Cholesterol,Lipid Peroxidation,Liver,Male,Oxidative Stress,Rats,Rats, Wistar,Triglycerides","anatomy &amp; histology,blood,drug effects,metabolism,pharmacology,urine","D000975 Q000378 NY,D000096 Q000097 NN,D002784 Q000097 NN,D018384 Q000187 NN,D000273 Q000033 NN,D014280 Q000097 NN,D000096 Q000494 NY,D000096 Q000652 NN,D015227 Q000187 NY,D000273 Q000187 NN,D008099 Q000187 NN,D008099 Q000033 NN","180,304,5793,5997,124886,1268265,5283629","127669892,128121087,129192846,129287822,129621433",Lipid peroxidation and antioxidant system in rats acutely treated with acetone.,Cascades of metabolic changes leading to acetone production are induced in states of energy catabolism such as starvation or the use of a ketogenic diet. The reduced capacity for cell detoxification or the increased generation of free radicals is responsible for the toxic effect of acetone. The objective of the present study was to determine the effects of acute treatment (AT) with acetone on the oxidative and metabolic status of rats. The AT group (n=16) was treated by gavage with a single administration o,"Experimental and clinical endocrinology & diabetes : official journal, German Society of Endocrinology [and] German Diabetes Association","M G Mathias, B B de Almeida, J E Bueno, G V Portari, A A Jordao"," Nutrition and Metabolism Laboratory, Faculty of Medicine of Ribeirao Preto, University of Sao Paulo, Brazil.",2010 Jun;118(6):368-70,10.1055/s-0029-1224122
18224287,20071101,article,"xref,mesh","Acetone,Administration, Cutaneous,Afferent Pathways,Animals,Anti-Inflammatory Agents, Non-Steroidal,Antibodies,Capsaicin,Diterpenes,Drug Synergism,Ear,Edema,Ibuprofen,Interleukin-1beta,Male,Mice,Mice, Inbred C57BL,Mice, Knockout,Peroxidase,Sensory Receptor Cells,TRPV Cation Channels,Tetradecanoylphorbol Acetate","administration &amp; dosage,chemically induced,genetics,immunology,innervation,metabolism,pathology,pharmacology,physiology,physiopathology","D009195 Q000378 NN,D013755 Q000494 NN,D004423 Q000294 NN,D000906 Q000494 NN,D000894 Q000494 NN,D050916 Q000235 NN,D053583 Q000378 NN,D004423 Q000473 NY,D053583 Q000276 NN,D004224 Q000494 NN,D004487 Q000473 NN,D000096 Q000494 NY,D002211 Q000494 NN,D013755 Q000008 NN,D007052 Q000494 NN,D050916 Q000502 NY,D000096 Q000008 NN,D004487 Q000139 NN,D011984 Q000503 NN,D004487 Q000276 NY","180,774,2548,3672,4792,27924,104826,442070,499950,1548943,2733497,5148108,5702546,6324660,11973707,44564218,57090162,134688669","127669892,128048219,128754351,129021022,129809280,129922365,135923614",Topical acetone treatment induces neurogenic oedema on the sensitized mouse ear: an in vivo study using transient receptor potential vanilloid 1 (TRPV1) receptor knockout mice.,"OBJECTIVE: The participation of sensory neurons and transient receptor potential vanilloid 1 (TRPV1) receptors in phorbol 12-myristate 13-acetate (PMA)-induced nerve-sensitizing effect was examined. MATERIALS AND METHODS: PMA dissolved in acetone and acetone were applied to the ears of TRPV1 receptor knockout and wild-type mice. Different groups of animals received ibuprofen, anti-interleukin-1 beta (IL-1beta) antibody, resiniferatoxin (RTX) or capsaicin pretreatment. Ear thickness, myeloperoxidase activity",Inflammation research : official journal of the European Histamine Research Society ... [et al.],"G Pozsgai, K Sándor, A Perkecz, J Szolcsányi, Z Helyes, S D Brain, E Pintér"," Department of Pharmacology and Pharmacotherapy, Faculty of Medicine, University of Pécs, Pécs, Hungary.",2007 Nov;56(11):459-67,10.1007/s00011-007-7065-7
25935102,20150701,article,mesh,"Acetone,Animals,DNA Damage,Drug Synergism,Hemocytes,Imidazoles,Ionic Liquids,Lethal Dose 50,Mytilus,Oxidative Stress,Solvents,Water Pollutants, Chemical","drug effects,toxicity","D006434 Q000187 NN,D018384 Q000187 NN,D007093 Q000633 NY,D000096 Q000633 NY,D004249 Q000187 NN,D052578 Q000633 NY,D049878 Q000187 NY,D012997 Q000633 NN,D014874 Q000633 NN","180,2734162,10125280,11460221,12095227,15953398",NULL,"Investigation of toxic effects of imidazolium ionic liquids, [bmim][BF4] and [omim][BF4], on marine mussel Mytilus galloprovincialis with or without the presence of conventional solvents, such as acetone.","This study investigated the cytotoxic, oxidative and genotoxic effects of two commonly used imidazolium ionic liquids (ILs), [bmim][BF4] (1-butyl-3-methylimidazolium) and [omim][BF4] (1-methyl-3-octylimidazolium tetrafluoroborate), on the marine mussel Mytilus galloprovincialis, as well as whether acetone could mediate their toxic profile. In this context, mussels were firstly exposed to different concentrations of [bmim][BF4] or [omim][BF4], with or without the presence of acetone (at a final concentration","Aquatic toxicology (Amsterdam, Netherlands)","Vasiliki Tsarpali, Alexia Belavgeni, Stefanos Dailianis"," Department of Biology, Section of Animal Biology, School of Natural Sciences, University of Patras, Patras 26500, Greece. Department of Biology, Section of Animal Biology, School of Natural Sciences, University of Patras, Patras 26500, Greece. Department of Biology, Section of Animal Biology, School of Natural Sciences, University of Patras, Patras 26500, Greece. Electronic address: sdailianis@upatras.gr.",2015 Jul;164(?):72-80,10.1016/j.aquatox.2015.04.021
8136906,19940211,article,mesh,"Acetaldehyde,Acetone,Aldehydes,Animals,Chromatography, High Pressure Liquid,Formaldehyde,Gas Chromatography-Mass Spectrometry,In Vitro Techniques,Lipid Peroxidation,Male,Malondialdehyde,Myocardium,Oxidants,Rats,Rats, Sprague-Dawley,Thiobarbiturates","analysis,chemistry,metabolism,methods,pharmacology","D016877 Q000494 NN,D002851 Q000379 NY,D009206 Q000737 NY,D000096 Q000032 NY,D009206 Q000378 NN,D000079 Q000032 NN,D005557 Q000032 NN,D000447 Q000032 NY,D008315 Q000032 NN","177,180,527,712,10964,2723628",NULL,"High-performance liquid chromatographic method for the simultaneous detection of malonaldehyde, acetaldehyde, formaldehyde, acetone and propionaldehyde to monitor the oxidative stress in heart.","Lipid peroxidation (LPO) is the oxidative deterioration of polyunsaturated fatty acids (PUFA) with the production of lipid hydroperoxides, cyclic peroxides, cyclic endoperoxides, and finally fragmentation to ketones and aldehydes (including malonaldehyde, MDA). Estimation of LPO through MDA formation measured by assaying thiobarbituric acid (TBA) reactive products remains the method of choice to study the development of oxidative stress in tissues. However, MDA estimation by TBA reactive products is non-spe",Journal of chromatography. A,"G A Cordis, D Bagchi, N Maulik, D K Das"," University of Connecticut School of Medicine, Farmington 06030-1110.",1994 Feb;661(?):181-91,10.1016/0021-9673(94)85189-1
9833972,19981127,article,mesh,"Acetone,Administration, Inhalation,Animals,Benzene,Bone Marrow,Carbon Radioisotopes,Cytochrome P-450 CYP2E1,Enzyme Induction,Female,Hydroquinones,Hydroxylation,Liver,Male,Mice,Nasal Cavity,Phenol,Sex Factors,Solvents","administration &amp; dosage,analysis,biosynthesis,blood,drug effects,metabolism,pharmacology,urine","D019800 Q000652 NN,D001554 Q000032 NN,D012997 Q000378 NY,D001554 Q000008 NN,D012997 Q000494 NY,D008099 Q000378 NN,D001853 Q000378 NN,D006873 Q000097 NN,D000096 Q000494 NY,D006900 Q000187 NN,D004790 Q000187 NN,D019392 Q000096 NN,D001554 Q000378 NY,D006873 Q000652 NN,D019800 Q000097 NN","180,241,785,996,4445035,66602278",NULL,Influence of gender and acetone pretreatment on benzene metabolism in mice exposed by nose-only inhalation.,"Benzene (BZ) requires oxidative metabolism catalyzed by cytochrome P-450 2E1 (CYP 2E1) to exert its hematotoxic and genotoxic effects. We previously reported that male mice have a two-fold higher maximum rate of BZ oxidation compared with female mice; this correlates with the greater sensitivity of males to the genotoxic effects of BZ as measured by micronuclei induction and sister chromatid exchanges. The aim of this study was to quantitate levels of BZ metabolites in urine and tissues, and to determine wh",Journal of toxicology and environmental health. Part A,"E M Kenyon, M J Seaton, M W Himmelstein, B Asgharian, M A Medinsky"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina, USA. kenyon.elaina@epamail.epa.gov",1998 Nov;55(6):421-43,10.1080/009841098158340
11301292,20010401,article,"xref,mesh","Acetone,Animals,Fatty Acids,Male,Microsomes, Liver,Oxidative Stress,Peroxisomes,Rats,Rats, Wistar","drug effects,metabolism,toxicity","D020675 Q000378 NN,D008862 Q000187 NY,D008862 Q000378 NN,D020675 Q000187 NY,D000096 Q000633 NY,D005227 Q000378 NY","180,984,3893,10964,124886","127370325,127669892,128707670,128946789,129192846,129627858","Oxidative stress, microsomal and peroxisomal fatty acid oxidation in the liver of rats treated with acetone.","Parameters of oxidative stress, microsomal cytochrome P450 activity and peroxisomal fatty acid oxidation were studied in liver of rats following acetone (1% v/v) consumption for 7 days. Acetone treatment increased the activity of catalase and decreased the activities of superoxide dismutase (SOD) and glutathione peroxidase (GTPx), but did not significantly modify the liver content of malondialdehyde (MDA) and reduced glutathione. Also, acetone increased the total content of cytochrome P450, the microsomal l",Comparative biochemistry and physiology. Toxicology & pharmacology : CBP,"M Orellana B, V Guajardo, J Araya, L Thieleman, R Rodrigo"," ICBM Programa de Farmacología Molecular y Clínica, Facultad de Medicina, Universidad de Chile, Santiago 7 70086, Casilla, Chile. morellan@machi.med.uchile.cl",2001 Apr;128(4):503-9,10.1016/s1532-0456(01)00171-5
16517063,20070108,article,"xref,mesh","Acetone,Animals,Antineoplastic Agents,Apoptosis,Benzyl Compounds,Caspase 3,Caspase 8,Caspase Inhibitors,Caspases,Cell Cycle,Cell Line, Tumor,Coumarins,Cysteine Proteinase Inhibitors,Deoxyadenosines,Dose-Response Relationship, Drug,Drug Resistance, Neoplasm,Enzyme Activation,Flow Cytometry,Leukemia L1210,Mice,Mutation,NAD(P)H Dehydrogenase (Quinone),NADPH Dehydrogenase,Oligopeptides,Signal Transduction,Tumor Suppressor Protein p53","analogs &amp; derivatives,chemistry,drug effects,genetics,metabolism,pathology,pharmacology","D015853 Q000494 NN,D001593 Q000737 NN,D019008 Q000235 NN,D007939 Q000235 NN,D053181 Q000378 NN,D016159 Q000378 NY,D017209 Q000187 NY,D007939 Q000473 NN,D000970 Q000494 NN,D000096 Q000031 NY,D001593 Q000494 NY,D003839 Q000494 NN,D004789 Q000187 NN,D009252 Q000378 NN,D053148 Q000378 NN,D000970 Q000737 NN,D002453 Q000187 NN,D009842 Q000494 NN,D007939 Q000378 NN,D000096 Q000494 NN,D020169 Q000378 NY,D000096 Q000737 NN,D003374 Q000494 NN,D015398 Q000187 NY","180,1140,4650,5862,5884,60961,98176,124886,9896164","127481953,127669892,128814610,129192846,129254395,129742316,129822531,136210299","Bis(2-hydroxybenzylidene)acetone, a potent inducer of the phase 2 response, causes apoptosis in mouse leukemia cells through a p53-independent, caspase-mediated pathway.","Bis(2-hydroxybenzylidene)acetone is a potent inducer of the phase 2 response through the Keap1-Nrf2-ARE pathway. This double Michael reaction acceptor reacts directly with Keap1, the sensor protein for inducers, leading to enhanced transcription of phase 2 genes and protection against oxidant and electrophile toxicities. In our efforts to identify potent chemoprotective agents, we found that in rapidly growing murine leukemia cells (L1210) low concentrations (in the submicromolar range) of bis(2-hydroxybenz",Cancer letters,"Albena T Dinkova-Kostova, Ann H Cory, Richard E Bozak, Ronald J Hicks, Joseph G Cory"," Division of Clinical Pharmacology, Department of Medicine, The Lewis B. and Dorothy Cullman Cancer Chemoprotection Center, School of Medicine, Johns Hopkins University, 725 North Wolfe Street, Baltimore, MD 21205, USA. adkostov@jhmi.edu",2007 Jan;245(?):341-9,10.1016/j.canlet.2006.01.024
24311483,20131215,article,mesh,"Acetone,Coordination Complexes,Copper,Crystallography, X-Ray,Molecular Structure",chemistry,"D003300 Q000737 NY,D000096 Q000737 NY,D056831 Q000737 NY","180,23978,42626467",NULL,Building a two-dimensional network from mixed-valence copper units held together by acetone bridges.,"The mixed-valence supramolecular product di-μ2-acetone-di-μ3-trifluoroacetato-deca-μ2-trifluoroacetato-octacopper(I)dicopper(II), [Cu10(C2F3O2)12(C3H6O)2] or {[Cu(I)4(O2CCF3)4]2-{μ2-OC(CH3)2}2-[Cu(II)2(O2CCF3)4]}, was prepared by co-deposition of two building units, namely a bis-acetone adduct of [Cu(II)2(O2CCF3)4] and a very electrophilic tetranuclear [Cu(I)4(O2CCF3)4] complex. The asymmetric unit contains one molecule of the compound with a total of ten independent Cu atoms. Acetone molecules serve as bri","Acta crystallographica. Section C, Crystal structure communications","Oleksandr Hietsoi, Alexander S Filatov, Marina A Petrukhina"," Department of Chemistry, University at Albany, Albany, NY 12222, USA.",2013 Dec;69(?):1416-20,10.1107/s0108270113025559
28963948,20171201,article,mesh,"Acetone,Animals,Antioxidants,Diabetes Mellitus, Experimental,Diabetes Mellitus, Type 2,Free Radical Scavengers,Fruit,Male,Oxidative Stress,Plant Extracts,Random Allocation,Rats,Rats, Sprague-Dawley,Xylopia","chemically induced,drug effects,drug therapy,isolation &amp; purification,metabolism,physiology,therapeutic use","D003924 Q000188 NY,D016166 Q000302 NN,D018384 Q000187 NN,D010936 Q000302 NN,D000096 Q000627 NN,D000975 Q000302 NN,D003921 Q000188 NY,D010936 Q000627 NY,D018384 Q000502 NN,D003921 Q000378 NN,D000975 Q000627 NY,D003924 Q000378 NN,D016166 Q000627 NN,D003924 Q000139 NN",180,NULL,Antioxidant potential of Xylopia aethiopica fruit acetone fraction in a type 2 diabetes model of rats.,"The fruit decoction of Xylopia aethiopica (Dunal) A. Rich. is widely used for the treatment of diseases associated with oxidative stress such as diabetes, particularly in Africa. The present study was aimed to investigate the effects of X. aethiopica fruit acetone (XAFA) fraction in ameliorating oxidative stress in a type 2 diabetes (T2D) model of rats. The crude X. aethiopica fruit ethanolic extract was fractionated using solvents with increasing polarity and acetone fraction showed significantly (p<0.05) ",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,"Aminu Mohammed, Md Shahidul Islam"," Department of Biochemistry, School of Life Sciences, University of KwaZulu-Natal (Westville Campus), Durban 4000, South Africa; Department of Biochemistry, Faculty of Life Sciences, Ahmadu Bello University, Zaria, Nigeria. Department of Biochemistry, School of Life Sciences, University of KwaZulu-Natal (Westville Campus), Durban 4000, South Africa. Electronic address: islamd@ukzn.ac.za.",2017 Dec;96(?):30-36,10.1016/j.biopha.2017.09.116
