3049757,19880601,article,mesh,"Acetonitriles,Animals,Female,Fumarates,Male,Mice,Mice, Inbred Strains,Micronucleus Tests,Mixed Function Oxygenases,Mutagenicity Tests,Mutagens,Saccharomyces cerevisiae,Salmonella typhimurium","analysis,biosynthesis,drug effects,methods,toxicity","D012441 Q000187 NN,D000097 Q000633 NY,D009152 Q000379 NN,D006899 Q000032 NN,D005650 Q000633 NY,D012486 Q000187 NN,D006899 Q000096 NN","6342,637930",NULL,Mutagenic activity of acetonitrile and fumaronitrile in three short term assays with special reference to autoinduction.,"Two aliphatic nitriles, acetonitrile and fumaronitrile were tested for their genotoxic potential in three mutagenicity test systems: the Salmonella/microsome-assay, an assay using Saccharomyces cerevisiae (strain D7), and the bone marrow micronucleus test. Both compounds were tested with and without metabolic activation in the yeast and the bacterial test systems using S9 preparations from phenobarbitone-pretreated and autoinduced rats. Autoinduction was performed by chronic (7 days) application of a dose e",Journal of applied toxicology : JAT,"R Schlegelmilch, A Krug, H U Wolf"," Abteilung Pharmakologie und Toxikologie, Universität Ulm, Federal Republic of Germany.",1988 Jun;8(3):201-9,10.1002/jat.2550080308
26167888,20150818,article,mesh,"Acetaldehyde,Acetamides,Acetonitriles,Animals,CHO Cells,Carbonates,Cell Death,Chloramines,Cricetinae,Cricetulus,Disinfection,Drinking Water,Ethanol,Hydrogen-Ion Concentration,Kinetics,Mass Spectrometry,Mutagens,Oxidation-Reduction,Temperature","chemistry,drug effects,pharmacology,toxicity","D000079 Q000737 NY,D000081 Q000737 NY,D016923 Q000187 NN,D002700 Q000737 NY,D000431 Q000737 NN,D000097 Q000737 NY,D009153 Q000633 NN,D060766 Q000737 NN,D002254 Q000494 NN","177,702,6342,6580,25423",NULL,Acetonitrile and N-Chloroacetamide Formation from the Reaction of Acetaldehyde and Monochloramine.,"Nitriles and amides are two classes of nitrogenous disinfection byproducts (DBPs) associated with chloramination that are more cytotoxic and genotoxic than regulated DBPs. Monochloramine reacts with acetaldehyde, a common ozone and free chlorine disinfection byproduct, to form 1-(chloroamino)ethanol. Equilibrium (K1) and forward and reverse rate (k1,k-1) constants for the reaction between initial reactants and 1-(chloroamino)ethanol were determined between 2 and 30 °C. Activation energies for k1 and k-1 wer",Environmental science & technology,"Susana Y Kimura, Trang Nha Vu, Yukako Komaki, Michael J Plewa, Benito J Mariñas"," †Department of Civil and Environmental Engineering, ‡Department of Crop Science, and §Science and Technology Center for Advanced Materials for the Purification of Water with Systems, Safe Global Water Institute, University of Illinois at Urbana-Champaign, Champaign, Illinois 61801, United States. †Department of Civil and Environmental Engineering, ‡Department of Crop Science, and §Science and Technology Center for Advanced Materials for the Purification of Water with Systems, Safe Global Water Institute, U",2015 Aug;49(16):9954-63,10.1021/acs.est.5b01875
20496349,20100705,article,xref,NULL,NULL,NULL,"6342,84899","128825165,129571406",Electrophilicity versus electrofugality of tritylium ions in aqueous acetonitrile.,First-order rate constants k(w) for the reactions of a series of donor-substituted triphenylmethylium (tritylium) ions with water in aqueous acetonitrile have been determined photometrically at 20 degrees C using stopped-flow and laser-flash techniques. The rate constants follow the linear free energy relationship log k(20 degrees C)=s(N+E). The reactivities k(w) of the methyl- and methoxy-substituted tritylium ions towards water correlate linearly with the corresponding pK(R(+) ) values with a Leffler-Hamm,"Chemistry (Weinheim an der Bergstrasse, Germany)","Markus Horn, Herbert Mayr"," Department Chemie, Ludwig-Maximilians-Universität München, Butenandtstr. 5-13, 81377 München, Germany.",2010 Jul;16(25):7478-87,10.1002/chem.200902670
12444769,20021202,article,xref,NULL,NULL,NULL,"1474,6342","129157877,129571406",Reactions of acetonitrile coordinated to a nitrosylruthenium complex with H2O or CH(3)OH under mild conditions: structural characterization of imido-type complexes.,"The reaction of cis-[Ru(NO)(CH(3)CN)(bpy)(2)](3+) (bpy = 2,2'-bipyridine) in H(2)O at room temperature proceeded to afford two new nitrosylruthenium complexes. These complexes have been identified as nitrosylruthenium complexes containing the N-bound methylcarboxyimidato ligand, cis-[Ru(NO)(NH=C(O)CH(3))(bpy)(2)](2+), and methylcarboxyimido acid ligand, cis-[Ru(NO)(NH=C(OH)CH(3))(bpy)(2)](3+), formed by an electrophilic reaction at the nitrile carbon of the acetonitrile coordinated to the ruthenium ion. The",Inorganic chemistry,"Hirotaka Nagao, Toshiyuki Hirano, Naotoshi Tsuboya, Soni Shiota, Masao Mukaida, Takao Oi, Mikio Yamasaki"," Department of Chemistry, Faculty of Science and Technology, Sophia University, Tokyo 102-8554, Japan. h-nagao@sophia.ac.jp",2002 Dec;41(24):6267-73,10.1021/ic011241q
14988419,20040701,article,"xref,mesh","Acetonitriles,Animals,Benzothiazoles,Brain Ischemia,Disease Models, Animal,Gerbillinae,JNK Mitogen-Activated Protein Kinases,Lipopolysaccharides,Mice,Mice, Inbred C3H,Mitogen-Activated Protein Kinases,Neuroprotective Agents,Phosphorylation,Rats,Rats, Wistar,Thiazoles,Tumor Necrosis Factor-alpha","antagonists &amp; inhibitors,complications,drug effects,etiology,metabolism,pharmacology,prevention &amp; control,therapeutic use","D008070 Q000494 NN,D020928 Q000037 NY,D014409 Q000378 NN,D002545 Q000209 NN,D002545 Q000150 NN,D020928 Q000378 NN,D013844 Q000494 NY,D000097 Q000494 NY,D018696 Q000494 NY,D018696 Q000627 NN,D002545 Q000517 NY,D013844 Q000627 NN,D010766 Q000187 NN,D000097 Q000627 NN",10109823,247966940,"AS601245 (1,3-benzothiazol-2-yl (2-[[2-(3-pyridinyl) ethyl] amino]-4 pyrimidinyl) acetonitrile): a c-Jun NH2-terminal protein kinase inhibitor with neuroprotective properties.","Recent evidence suggests that activation of the c-Jun NH2-terminal protein kinase (JNK) signal transduction pathway may play a role in ischemia-induced cell death. Thus, preventing the activation of JNK, or c-Jun phosphorylation could be neuroprotective. In the current study, we report that a small molecule, AS601245 (1,3-benzothiazol-2-yl (2-[[2-(3-pyridinyl) ethyl] amino]-4 pyrimidinyl) acetonitrile), which has been shown to inhibit the JNK signaling pathway, promotes cell survival after cerebral ischemia",The Journal of pharmacology and experimental therapeutics,"Sonia Carboni, Agnes Hiver, Cedric Szyndralewiez, Pascale Gaillard, Jean-Pierre Gotteland, Pierre-Alain Vitte"," Department of Pharmacology, Serono Pharmaceutical Research Institute, Geneva, Switzerland.",2004 Jul;310(1):25-32,10.1124/jpet.103.064246
15999997,20050714,article,"xref,mesh,assay","Acetonitriles,Animals,Anti-Inflammatory Agents, Non-Steroidal,Antirheumatic Agents,Arthritis, Experimental,Benzothiazoles,Humans,JNK Mitogen-Activated Protein Kinases,Jurkat Cells,Male,Mice,Mice, Inbred C3H,Mice, Inbred DBA,Rats,Structure-Activity Relationship,Thiazoles,Tumor Necrosis Factor-alpha","antagonists &amp; inhibitors,biosynthesis,chemical synthesis,chemistry,drug therapy,pharmacology","D013844 Q000494 NN,D014409 Q000037 NN,D018501 Q000494 NN,D000894 Q000494 NN,D000097 Q000138 NY,D048031 Q000037 NY,D001169 Q000188 NN,D000894 Q000138 NY,D014409 Q000096 NN,D018501 Q000737 NN,D000894 Q000737 NN,D000097 Q000737 NN,D013844 Q000138 NY,D013844 Q000737 NN,D000097 Q000494 NN,D048031 Q000737 NN,D018501 Q000138 NN","7978,342465,10109823,11157555,11163160,11167647,11169172,11181791,11188431,11192854,11211074,11223199,11227435,11231887,11237377,11250243,11267622,11268256,11268452,11272650,11273201,11277640,11284854,11293880,11296470,11296537,11307585,11312908,11329298,11335138,11335608,11340394,11342234,11353763,11357629,11383271,11385422,11385715,11388066,11392782,11397898,11410442,11417884,11422034,11422035,11427333,11441434,11444688,11444826,11444846,11470754,11478422,11489772,11489920,11490408,11737998,11773813,44398","128499823,129926187,178102619,247966940","Design and synthesis of the first generation of novel potent, selective, and in vivo active (benzothiazol-2-yl)acetonitrile inhibitors of the c-Jun N-terminal kinase.","Several lines of evidence support the hypothesis that c-Jun N-terminal kinase (JNKs) plays a critical role in a wide range of diseases including cell death (apoptosis)-related disorders (neurodegenerative diseases, brain, heart, and renal ischemia, epilepsy) and inflammatory disorders (multiple sclerosis, rheumatoid arthritis, inflammatory bowel diseases). Screening of our internal compound collection for inhibitors of JNK3 led to the identification of (benzothiazol-2-yl)acetonitrile derivatives as potent a",Journal of medicinal chemistry,"Pascale Gaillard, Isabelle Jeanclaude-Etter, Vittoria Ardissone, Steve Arkinstall, Yves Cambet, Montserrat Camps, Christian Chabert, Dennis Church, Rocco Cirillo, Denise Gretener, Serge Halazy, Anthony Nichols, Cedric Szyndralewiez, Pierre-Alain Vitte, Jean-Pierre Gotteland"," Department of Chemistry, Serono Pharmaceutical Research Institute, Geneva, Switzerland.",2005 Jul;48(14):4596-607,10.1021/jm0310986
17642071,20070101,article,xref,NULL,NULL,NULL,"798,6342,78802","129240681,129571406,129794852,249129413",Superelectrophilicity of the nitroolefinic fragment of 4-nitrobenzodifuroxan in Michael-type reactions with indoles: a kinetic study in acetonitrile.,"The kinetics of the coupling of 4-nitrobenzodifuroxan (NBDF) with a series of indoles 8 a-e to give the expected Michael-type adducts 9 a-e have been investigated in acetonitrile solution. No significant influence of the nature of the isotopic substitution at C-3 of the indole ring has been found, indicating that the NBDF addition step is the rate limiting step of the SEAr substitution of the indole moiety. This implies that the measured second-order rate constants (k) for the reactions are identical to the","Chemistry (Weinheim an der Bergstrasse, Germany)","Sami Lakhdar, Régis Goumont, Guillaume Berionni, Taoufik Boubaker, Sergey Kurbatov, François Terrier"," Unité de Recherche de Physico-Chimie Moléculaire, Faculté des Sciences de Monastir, Avenue de l'Environnement, 5019 Monastir, Tunisia.",2007 Jan;13(29):8317-24,10.1002/chem.200700676
23494859,20130501,article,mesh,"Acetonitriles,Free Radicals,Methanol,Nitriles,Oxidation-Reduction,Peroxides,Solvents,Water",chemistry,"D009570 Q000737 NY,D005609 Q000737 NY,D012997 Q000737 NN,D014867 Q000737 NY,D000097 Q000737 NY,D000432 Q000737 NY,D010545 Q000737 NN","887,962,6342,6547,10942334",NULL,Direct evidence of 2-cyano-2-propoxy radical activity during AIBN-based oxidative stress testing in acetonitrile-water solvent systems.,"Oxidative susceptibility testing was performed on a drug substance containing a methoxy-naphthalene moiety. 2,2'-azobisisobutyronitrile (AIBN) was employed to initiate peroxy radical oxidation to mimic autoxidation processes. In acetonitrile (ACN)-water solvents, three major degradation products are formed. However, addition of small amounts of methanol to the solvent system completely eliminated the observed degradation products. To understand this effect, the structures of the three degradants have been e",Journal of pharmaceutical sciences,"Michael A Watkins, Steven Pitzenberger, Paul A Harmon"," Merck & Company, Merck Research Laboratories, West Point, Pennsylvania 19486, USA. watkins_michael_a@lilly.com",2013 May;102(5):1554-68,10.1002/jps.23500
23989062,20131201,article,mesh,"Acute Kidney Injury,Animals,Blood Urea Nitrogen,Brassica rapa,Cell Line,Cisplatin,Creatinine,Epithelial Cells,Glutathione,Heme Oxygenase-1,Indoles,Kidney Diseases,L-Lactate Dehydrogenase,Male,NF-E2-Related Factor 2,Oxidative Stress,Protective Agents,Rats, Sprague-Dawley,Reactive Oxygen Species","adverse effects,chemically induced,chemistry,drug effects,metabolism,pharmacology,prevention &amp; control","D029741 Q000737 NN,D003404 Q000378 NN,D051267 Q000378 NY,D007674 Q000378 NN,D051547 Q000378 NN,D004847 Q000187 NN,D007674 Q000517 NY,D018384 Q000187 NN,D007674 Q000139 NN,D017382 Q000378 NN,D007211 Q000494 NY,D007770 Q000378 NN,D058186 Q000139 NN,D058186 Q000517 NN,D020011 Q000494 NY,D005978 Q000378 NN,D002460 Q000187 NN,D002945 Q000009 NY","588,84691,124886,441203,73353383",NULL,Protective effects of 6-hydroxy-1-methylindole-3-acetonitrile on cisplatin-induced oxidative nephrotoxicity via Nrf2 inactivation.,"We previously demonstrated the ethanol extract of the roots of Brassica rapa protects against cisplatin-induced nephrotoxicity by attenuating oxidative stress. Here, we investigated the nephroprotective effects of 6-hydroxy-1-methylindole-3-acetonitrile (6-HMA), which was isolated from the roots of B. rapa, on cisplatin-induced toxicity in renal epithelial LLC-PK1 cells and in rats with acute renal injury. Pretreatment of LLC-PK1 cells with 6-HMA ameliorated cisplatin-induced cytotoxicity caused by oxidativ",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,"Ji Hee Moon, Ji-Sun Shin, Jong-Bin Kim, Nam-In Baek, Young-Wuk Cho, Yong Sup Lee, Hee Yeon Kay, Soo-dong Kim, Kyung-Tae Lee"," Department of Pharmaceutical Biochemistry, College of Pharmacy, Kyung Hee University, Seoul 130-701, Republic of Korea.",2013 Dec;62(?):159-66,10.1016/j.fct.2013.08.039
24092001,20131101,article,mesh,"Acetonitriles,Catalase,Free Radicals,Fungal Proteins,Oxidative Stress,Paracoccus,Superoxide Dismutase","drug effects,metabolism,toxicity","D010230 Q000187 NY,D005609 Q000378 NN,D005656 Q000378 NN,D000097 Q000633 NY,D010230 Q000378 NN,D013482 Q000378 NN,D002374 Q000378 NN",6342,NULL,The response of Paracoccus sp. SKG to acetonitrile-induced oxidative stress.,"Organic solvents enhance intracellular oxidative stress and induce various physiological responses in bacteria. The study shows the morphological changes in Paracoccus sp. SKG when exposed to higher concentrations of acetonitrile, which alter the composition of the membrane fatty acid that accompanies the increase in K(+) efflux. This enhances the oxidative stress with greater activities of catalase and super oxide dismutase (SOD). The increased oxidative stress results in the generation of free radicals, w",Extremophiles : life under extreme conditions,"B Kirankumar, B Kulkarni Guruprasad, M Santoshkumar, S Nayak Anand, T B Karegoudar"," Department of Biochemistry, Gulbarga University, Gulbarga, 585106, Karnataka, India.",2013 Nov;17(6):1037-44,10.1007/s00792-013-0585-x
