19039346,20081221,article,NULL,NULL,NULL,NULL,NULL,NULL,Generation of the organo-rare gas dications HCCRg2+ (Rg = Ar and Kr) in the reaction of acetylene dications with rare gases.,"Using doubly ionized acetylene as a superelectrophilic reagent, the new rare-gas compounds HCCAr2+ and HCCKr2+ have been prepared for the first time in hyperthermal collisions of mass-selected C2H2(2+) with neutral rare gases (Rg). However, electron transfer from the rare gas to the acetylene dication as well as proton transfer from C2H2(2+) to the rare gas efficiently compete with formation of HCCRg2+. The computational investigations show that the formation of HCCRg2+ from acetylene dication is endothermi",Physical chemistry chemical physics : PCCP,"Daniela Ascenzi, Paolo Tosi, Jana Roithová, Claire L Ricketts, Detlef Schröder, Jessica F Lockyear, Michael A Parkes, Stephen D Price"," Department of Physics, University of Trento, Via Sommarive 14, 38100 Povo, Trento, Italy. ascenzi@science.unitn.it",2008 Dec;10(47):7121-8,10.1039/b810398d
19136259,20090201,article,"xref,mesh,assay","Acetylene,Alkynes,Animals,Anti-Inflammatory Agents, Non-Steroidal,Chemistry, Pharmaceutical,Cyclooxygenase 1,Cyclooxygenase 2,Cyclooxygenase Inhibitors,Drug Design,Ibuprofen,Inflammation,Inhibitory Concentration 50,Isoenzymes,Lipoxygenase Inhibitors,Models, Chemical,Pyridones,Rats","analogs &amp; derivatives,chemical synthesis,chemistry,drug therapy,metabolism,methods,pharmacology","D000894 Q000494 NN,D051546 Q000378 NN,D000114 Q000138 NY,D016861 Q000494 NN,D002626 Q000379 NY,D051545 Q000378 NN,D000114 Q000031 NY,D007052 Q000494 NN,D007249 Q000188 NY,D011728 Q000138 NY,D007052 Q000737 NN,D000480 Q000737 NY,D000480 Q000138 NN","2244,2518,2662,3672,6326,689043,23054858,44570751,44570752,44570789,44570790","128048219,128994255,247675290","Synthesis of 1-(methanesulfonyl- and aminosulfonylphenyl)acetylenes that possess a 2-(N-difluoromethyl-1,2-dihydropyridin-2-one) pharmacophore: evaluation as dual inhibitors of cyclooxygenases and 5-lipoxygenase with anti-inflammatory activity.","A hitherto unknown class of linear acetylene regioisomers were designed such that a SO(2)Me or SO(2)NH(2) group was located at the ortho-, meta- or para-position of the acetylene C-1 phenyl ring, and a N-difluoromethyl-1,2-dihydropyridin-2-one moiety was attached via its C-5 position to the C-2 position on an acetylene template (scaffold). All three SO(2)Me regioisomers, and the 4-SO(2)NH(2) analog, were potent inhibitors of 5-lipoxygenase (5-LOX IC(50)=3.2-3.5 microM range) relative to the reference drug c",Bioorganic & medicinal chemistry letters,"Morshed Alam Chowdhury, Khaled R A Abdellatif, Ying Dong, Moshfiqur Rahman, Dipankar Das, Mavanur R Suresh, Edward E Knaus"," Faculty of Pharmacy and Pharmaceutical Sciences, University of Alberta, Edmonton, Alta., Canada T6G 2N8.",2009 Feb;19(3):584-8,10.1016/j.bmcl.2008.12.066
22513709,20120607,article,NULL,NULL,NULL,NULL,NULL,NULL,Electrophilic alkynylation: the dark side of acetylene chemistry.,"In addition to the well-established nucleophilic alkynylation, the use of electrophilic alkynes can expand tremendously the scope of acetylene transfer reactions. The use of metal catalysis has recently led to a rebirth of this research area. Halogenoalkynes, hypervalent alkynyliodoniums, acetylene sulfones and in situ oxidized terminal acetylenes are the most often used reagents for electrophilic alkynylation. Heteroatoms such as N, O, S and P can be now efficiently alkynylated. For C-C bond formation, ele",Chemical Society reviews,"Jonathan P Brand, Jérôme Waser"," Laboratory of Catalysis and Organic Synthesis, Ecole Polytechnique Fédérale de Lausanne, EPFL SB ISIC LCSO, BCH 4306, 1015 Lausanne (CH), Switzerland.",2012 Jun;41(11):4165-79,10.1039/c2cs35034c
12583724,20030220,article,"xref,mesh","Acetylene,Models, Molecular,Molecular Structure,Nucleosides,Ribose","chemical synthesis,chemistry","D000114 Q000737 NY,D012266 Q000737 NY,D009705 Q000138 NY","6326,9997,136381,5311110,9996708,10975657","127867997,127993693,128080983,129182355",Synthesis of nucleoside dimers bridged on ribose with a butadiynyl group.,[reaction: see text] The nucleoside dimer linked by a butadiynediyl group at C-3'beta may serve as a building block for the preparation of backbone-modified oligonucleotides for DNA repair or mutation in functional genomics. We prepared this type of dimer by an Eglington or Sonogashira coupling reaction. The unsymmetrical dimer was synthesized by coupling the acetylene with the bromoacetylene. Only marginal cytotoxicity was detected for one of the dimers. ,Organic letters,"Françoise Jung, Alain Burger, Jean-François Biellmann"," Laboratoire de Chimie Organique Biologique associé au CNRS (UMR 7509), Faculté de Chimie, Université Louis Pasteur, 1 rue Blaise Pascal, 67008 Strasbourg, France.",2003 Feb;5(4):383-5,10.1021/ol026584m
16220963,20030917,article,xref,NULL,NULL,NULL,241,127631469,Reaction of phenyl radicals with acetylene: quantum chemical investigation of the mechanism and master equation analysis of the kinetics.,The mechanism of the C(6)H(5) + C(2)H(2) reaction has been investigated by various quantum chemical methods. Electrophilic addition to the CC triple bond is found to be the only important mode of phenyl radical attack on acetylene. The initially formed chemically activated C(6)H(5)C(2)H(2) adducts may follow several isomerization pathways in competition with collisional stabilization and H-elimination. Thermochemistry of various decomposition and isomerization channels is evaluated by the G2M method. For ke,Journal of the American Chemical Society,"I V Tokmakov, M C Lin"," Department of Chemistry, Emory University, Atlanta, Georgia 30322, USA.",2003 Sep;125(37):11397-408,10.1021/ja0301121
16697988,20060724,article,"xref,mesh","Acetylene,Galectin 1,Lactose,Triazoles","analogs &amp; derivatives,antagonists &amp; inhibitors,chemical synthesis","D000114 Q000031 NN,D014230 Q000138 NN,D000114 Q000138 NN,D007785 Q000138 NY,D037483 Q000037 NY,D007785 Q000031 NY","1001,6134,6140,6326,79118,84571,440995,69301022","127515599,127654813,128006250,128436767","Synthesis of multivalent lactose derivatives by 1,3-dipolar cycloadditions: selective galectin-1 inhibition.","Acetylene derivatives of phenylalanine, phenethylamine and the multifunctional unnatural amino acids, phenyl-bis-alanine and phenyl-tris-alanine, were synthesized and functionalized with 2-azidoethyl beta-D-galactopyranosyl-(1-->4)-beta-D-glucopyranoside via regioselective copper(I)-mediated 1,3-dipolar cycloaddition to give a panel of mono-, di- and trivalent lactoside derivatives. Evaluation of the compounds as inhibitors against the tumour- and inflammation-related galectin-1, -3, -4N, -4C, -4, -7, -8N a",Carbohydrate research,"Johan Tejler, Erik Tullberg, Torbjörn Frejd, Hakon Leffler, Ulf J Nilsson"," Organic Chemistry, Lund University, PO Box 124, SE-221 00 Lund, Sweden.",2006 Jul;341(10):1353-62,10.1016/j.carres.2006.04.028
19524443,20090715,article,"xref,mesh,assay","Acetylene,Animals,Anti-Inflammatory Agents,Chemical and Drug Induced Liver Injury,Edema,Enzymes,Inflammation,Male,Mice,Oleanolic Acid","analogs &amp; derivatives,blood,chemical synthesis,chemically induced,chemistry,drug therapy,therapeutic use","D007249 Q000188 NN,D009828 Q000031 NY,D009828 Q000737 NN,D000114 Q000737 NY,D009828 Q000138 NN,D004798 Q000097 NN,D007249 Q000139 NN,D000114 Q000138 NN,D004487 Q000188 NN,D000114 Q000627 NY,D000893 Q000737 NY,D056486 Q000188 NY,D000893 Q000138 NN,D004487 Q000139 NN,D009828 Q000627 NN,D000893 Q000627 NY","471,3715,6326,10494,122844,45484343,45484344,45484345,101710279",128600272,Efficient synthesis of the first betulonic acid-acetylene hybrids and their hepatoprotective and anti-inflammatory activity.,"The Sonogashira reaction can be applied for the preparation of acetylenic derivatives of betulonic acid where the triterpenoid moiety can serve as either the halo- or the acetylenic component. This reaction opened access to the first derivatives of betulonic acid containing either the arylethynyl (C[triple bond]C-Ar(Het) or the ethynyl (C[triple bond]CH) moieties. From the fundamental perspective, this work illustrates the possibility of selective Pd-catalyzed cross-coupling at terminal acetylenes in the pr",Bioorganic & medicinal chemistry,"Sergey F Vasilevsky, Anastasiya I Govdi, El'vira E Shults, Makhmut M Shakirov, Irina V Sorokina, Tatyana G Tolstikova, Dmitry S Baev, Genrikh A Tolstikov, Igor V Alabugin"," Institute of Chemical Kinetics and Combustion, Siberian Branch of the Russian Academy of Sciences, 3 Institutskaya str., 630090 Novosibirsk, Russian Federation. vasilev@kinetics.nsc.ru",2009 Jul;17(14):5164-9,10.1016/j.bmc.2009.05.059
20814583,20100101,article,xref,NULL,NULL,NULL,"241,702,767,866,5962,6049,36462,136323,87503313","127410349,127573844,128364298,128368393,128368395,128482492,128913688,135867281,247232900",Intracellular DNA damage by lysine-acetylene conjugates.,"Previously, we reported the design and properties of alkyne C-lysine conjugates, a powerful and tunable family of DNA cleaving reagents. We also reported that, upon photoactivation, these molecules are capable of inducing cancer cells death. To prove that the cell death stems from DNA cleavage by the conjugates, we investigated intracellular DNA damage induced by these molecules in LNCap cancer cells using single cell gel electrophoresis (SCGE) assays. The observation of highly efficient DNA damage confirme",Journal of nucleic acids,"Wang-Yong Yang, Qiang Cao, Catherine Callahan, Catalina Galvis, Qing-Xiang Sang, Igor V Alabugin"," Department of Chemistry and Biochemistry, Florida State University, Tallahassee, FL 32306-4390, USA.",2010 Jan;2010(?):?,10.4061/2010/931394
3548814,19870113,article,mesh,"Alkynes,Animals,Cattle,Endopeptidases,Humans,Kinetics,Lactones,Leukocytes,Pancreas,Pancreatic Elastase,Protease Inhibitors,Serine Endopeptidases,Sputum,Structure-Activity Relationship,Swine","antagonists &amp; inhibitors,blood,chemical synthesis,enzymology,pharmacology","D007783 Q000494 NY,D007962 Q000201 NY,D010179 Q000201 NN,D007783 Q000138 NN,D000480 Q000494 NN,D010196 Q000097 NY,D013183 Q000201 NN,D010196 Q000037 NN,D000480 Q000138 NN",NULL,NULL,Kinetics and mechanism of human leukocyte elastase inactivation by ynenol lactones.,"Human leukocyte elastase (HLE), a serine protease involved in inflammation and tissue degradation, can be irreversibly inactivated in a time- and concentration-dependent manner by ynenol lactones. Ynenol lactones that are alpha-unsubstituted do not inactivate but are alternate substrate inhibitors that are hydrolyzed by the enzyme. Ynenol lactones that are both substituted alpha to to the lactone carbonyl and unsubstituted at the acetylene terminus are rapid inactivators of HLE and inactivate pancreatic ela",Biochemistry,"L J Copp, A Krantz, R W Spencer",NULL,1987 Jan;26(1):169-78,10.1021/bi00375a024
15898797,20050525,article,xref,NULL,NULL,NULL,23396783,"127350601,135727945",Facile preparation of various heteroaromatic compounds via azatitanacyclopentadiene intermediates.,"Coupling of acetylene, nitrile, and a titanium reagent, Ti(O-i-Pr)(4)/2 i-PrMgCl, generated new azatitanacyclopentadienes in a highly regioselective manner. Their subsequent reaction with sulfonylacetylene afforded pyridyltitanium compounds, which, upon reaction with electrophiles, gave substituted pyridines virtually as a single isomer. When optically active nitriles were used in this reaction, chiral pyridines were obtained without loss of the enantiopurity. Alternatively, the azatitanacyclopentadiene pre",Journal of the American Chemical Society,"Daisuke Suzuki, Youhei Nobe, Yuko Watai, Ryoichi Tanaka, Yuuki Takayama, Fumie Sato, Hirokazu Urabe"," Department of Biomolecular Engineering, Graduate School of Bioscience and Biotechnology, Tokyo Institute of Technology, Midori-ku, Yokohama, Kanagawa, Japan.",2005 May;127(20):7474-9,10.1021/ja0502730
