17655273,20070901,article,"xref,mesh","Acrolein,Amino Acid Sequence,Binding Sites,Enzyme Activation,Humans,Kinetics,Molecular Sequence Data,Protein Tyrosine Phosphatase, Non-Receptor Type 1,Spectrometry, Mass, Electrospray Ionization,Structure-Activity Relationship,Time Factors",chemistry,"D054562 Q000737 NY,D000171 Q000737 NY","177,527,5862,6057,7847,7860,20138,30819,61020,61671,54499104","53789692,53790718,127716469,128056944,128180287,128478271,128614243,128676645,128865459,129225032,129742316,129770500",Kinetics and mechanism of protein tyrosine phosphatase 1B inactivation by acrolein.,"Human cells are exposed to the electrophilic alpha,beta-unsaturated aldehyde acrolein from a variety of sources. The reaction of acrolein with functionally critical protein thiol residues can yield important biological consequences. Protein tyrosine phosphatases (PTPs) are an important class of cysteine-dependent enzymes whose reactivity with acrolein previously has not been well-characterized. These enzymes catalyze the dephosphorylation of phosphotyrosine residues on proteins via a phosphocysteine interme",Chemical research in toxicology,"Derrick R Seiner, Jason N LaButti, Kent S Gates"," Department of Chemistry, University of Missouri, Columbia, MO 65211, USA. gatesk@missouri.edu",2007 Sep;20(9):1315-20,10.1021/tx700213s
12487375,20021101,article,"xref,mesh","Acrolein,Animals,Aorta,Enzyme Activation,JNK Mitogen-Activated Protein Kinases,Mitogen-Activated Protein Kinase 1,Mitogen-Activated Protein Kinase 3,Mitogen-Activated Protein Kinases,Muscle, Smooth, Vascular,Myocytes, Smooth Muscle,Oxidative Stress,Phosphorylation,Protein Kinases,Rats,Rats, Sprague-Dawley,Reactive Oxygen Species,Signal Transduction,p38 Mitogen-Activated Protein Kinases","antagonists &amp; inhibitors,drug effects,metabolism,pharmacology","D011494 Q000378 NN,D020928 Q000037 NN,D032389 Q000187 NY,D000171 Q000494 NY,D004789 Q000187 NN,D020928 Q000378 NY,D019950 Q000378 NN,D019950 Q000037 NN,D009131 Q000187 NY,D009131 Q000378 NN,D010766 Q000187 NN,D032389 Q000378 NN,D015398 Q000187 NY","6057,7847,176155","53788760,53790718,128056944,128865459",Acrolein activates mitogen-activated protein kinase signal transduction pathways in rat vascular smooth muscle cells.,"Acrolein, a major component of cigarette smoke, an environmental pollutant and an endogenous lipid peroxidation product, has been implicated in the development of atherosclerosis. Although a link between vascular injury and acrolein has been indicated, the exact molecular mechanism of acrolein-induced toxicity to vasculature is unknown. In an effort to elucidate the molecular basis of acrolein-induced vascular toxicity, the possibility of the intracellular signaling system as one of the targets of acrolein-",Molecular and cellular biochemistry,"Kasturi Ranganna, Zivar Yousefipour, Rami Nasif, Frank M Yatsu, Shirlette G Milton, Barbara E Hayes"," College of Pharmacy and Health Sciences, Texas Southern University, Houston, TX 77004, USA. kranganna@hotmail.com",2002 Nov;240(?):83-98,10.1023/a:1020659808981
18089793,20071215,article,"xref,mesh","7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide,Acrolein,Animals,DNA Adducts,DNA Damage,Humans,Mice,Mutagenicity Tests,Mutagens,Ultraviolet Rays",pharmacology,"D000171 Q000494 NY,D015123 Q000494 NN,D018736 Q000494 NY,D009153 Q000494 NN","7847,25892,41322,91043037","128056944,129781888,245179081",Lack of mutagenicity of acrolein-induced DNA adducts in mouse and human cells.,"Acrolein is an endogenous metabolite and a ubiquitous environmental pollutant. Recently, it has been suggested that acrolein is a major etiologic agent for tobacco smoking-related lung cancer. Despite the known DNA-damaging effects of acrolein, its mutagenicity to mammalian cells remains uncertain. We have investigated acrolein-induced DNA damage in relation to mutagenesis, with special focus on DNA repair, in mouse and human cells. We mapped the formation of acrolein-induced DNA adducts and the kinetics of",Cancer research,"Sang-in Kim, Gerd P Pfeifer, Ahmad Besaratinia"," Division of Biology, Beckman Research Institute of the City of Hope National Medical Center, Duarte, California 91010-3000, USA.",2007 Dec;67(24):11640-7,10.1158/0008-5472.can-07-2528
26996390,20160701,article,mesh,"Acrolein,Adrenocorticotropic Hormone,Animals,Cells, Cultured,Corticosterone,Cyclic AMP,Male,Pregnenolone,Radioimmunoassay,Rats,Rats, Sprague-Dawley,Zona Fasciculata,Zona Reticularis","blood,drug effects,metabolism,pharmacology","D015383 Q000378 NN,D000242 Q000378 NN,D000171 Q000494 NY,D000324 Q000097 NY,D015385 Q000187 NN,D015383 Q000187 NN,D003345 Q000097 NY,D015385 Q000378 NN,D011284 Q000097 NN","5753,6076,7847,8955,7059571,16132265,57339642,90488848",NULL,Effects of acrolein on the production of corticosterone in male rats.,"Acrolein, an α, β-unsaturated aldehyde, exists in a wide range of sources. Acrolein can be not only generated from all types of smoke but also produced endogenously from the metabolism by lipid peroxidation. The cellular influence of acrolein is due to its electrophilic character via binding to and depleting cellular nucleophiles. Although the toxicity of acrolein has been extensively studied, there is relatively little information about its impact on hormone release. This study aimed at the effect of acrol",Steroids,"Yung-Hsing Yeh, Jou-Chun Chou, Ting-Chun Weng, Fu-Kong Lieu, Jou-Yu Lin, Chii-Chang Yeh, Sindy Hu, Paulus S Wang, Galina Idova, Shyi-Wu Wang"," Department of Physiology, School of Medicine, National Yang-Ming University, Taipei 11221, Taiwan, ROC. Medical Center of Aging Research, China Medical University Hospital, Taichung 40402, Taiwan, ROC; Department of Life Sciences, National Chung Hsing University, Taichung 40254, Taiwan, ROC. Medical Center of Aging Research, China Medical University Hospital, Taichung 40402, Taiwan, ROC. Department of Rehabilitation, Cheng-Hsin General Hospital, Taipei 11283, Taiwan, ROC. Department of Rehabilitation, Chen",2016 Jul;111(?):139-147,10.1016/j.steroids.2016.03.009
28301040,20170601,article,mesh,"Acrolein,Animals,Body Weight,Cell Death,Dimercaprol,Disease Models, Animal,Dose-Response Relationship, Drug,Drug Interactions,Free Radical Scavengers,L-Lactate Dehydrogenase,Magnetic Resonance Spectroscopy,Male,PC12 Cells,Rats,Spinal Cord,Spinal Cord Injuries","chemically induced,chemistry,drug effects,drug therapy,metabolism,pathology,pharmacology,therapeutic use,toxicity","D013119 Q000473 NN,D004112 Q000627 NY,D001835 Q000187 NN,D004112 Q000494 NN,D013116 Q000187 NN,D013119 Q000139 NY,D000171 Q000378 NN,D016923 Q000187 NN,D007770 Q000378 NN,D004112 Q000737 NN,D016166 Q000494 NN,D013116 Q000378 NN,D013119 Q000188 NY,D000171 Q000737 NN,D000171 Q000633 NY,D016166 Q000627 NY,D016716 Q000187 NN","3080,7847",NULL,Dimercaprol is an acrolein scavenger that mitigates acrolein-mediated PC-12 cells toxicity and reduces acrolein in rat following spinal cord injury.,"Acrolein is one of the most toxic byproducts of lipid peroxidation, and it has been shown to be associated with multiple pathological processes in trauma and diseases, including spinal cord injury, multiple sclerosis, and Alzheimer's disease. Therefore, suppressing acrolein using acrolein scavengers has been suggested as a novel strategy of neuroprotection. In an effort to identify effective acrolein scavengers, we have confirmed that dimercaprol, which possesses thiol functional groups, could bind and trap",Journal of neurochemistry,"Ran Tian, Riyi Shi"," Department of Basic Medical Sciences, College of Veterinary Medicine, Purdue University, West Lafayette, Indiana, USA. Weldon School of Biomedical Engineering, Purdue University, West Lafayette, Indiana, USA. Department of Basic Medical Sciences, College of Veterinary Medicine, Purdue University, West Lafayette, Indiana, USA. Weldon School of Biomedical Engineering, Purdue University, West Lafayette, Indiana, USA.",2017 Jun;141(5):708-720,10.1111/jnc.14025
9274807,19970926,article,mesh,"Acrolein,Adenocarcinoma,CCAAT-Enhancer-Binding Proteins,Cell Count,Cell Division,Cell Survival,DNA-Binding Proteins,Glutathione,Growth Inhibitors,HSP70 Heat-Shock Proteins,Humans,Lung Neoplasms,Nuclear Proteins,Transcription Factor CHOP,Transcription Factors,Tumor Cells, Cultured","biosynthesis,drug effects,metabolism,pathology,toxicity","D018840 Q000187 NN,D008175 Q000473 NY,D002455 Q000187 NN,D002470 Q000187 NN,D018840 Q000096 NN,D009687 Q000096 NN,D014157 Q000187 NN,D002452 Q000187 NN,D008175 Q000378 NN,D004268 Q000187 NN,D006131 Q000633 NN,D000230 Q000378 NN,D005978 Q000187 NY,D009687 Q000187 NN,D000230 Q000473 NY,D000171 Q000633 NY,D014157 Q000096 NN,D004268 Q000096 NN","7847,124886",NULL,"Relationships between cell density, glutathione and proliferation of A549 human lung adenocarcinoma cells treated with acrolein.","Acrolein is a highly electrophilic alpha,beta-unsaturated aldehyde to which humans are exposed in various situations. Acrolein reacts rapidly with and depletes cellular glutathione (GSH), and is toxic to various types of cells. In the current study, the ability of acrolein to alter proliferation of A549 cells was found to be dependent on cell density as well as total cell number. Thus, 'doses' must be expressed per cell rather than as a concentration, and all related studies need to be performed by plating ",Toxicology,"N D Horton, B M Mamiya, J P Kehrer"," Division of Pharmacology and Toxicology, College of Pharmacy, The University of Texas at Austin 78712-1074, USA. ndhorton@mail.utexas.edu",1997 Sep;122(?):111-22,10.1016/s0300-483x(97)00086-3
14504272,20031205,article,"xref,mesh","Acrolein,Antigens,Chromatography, High Pressure Liquid,Electrophoresis, Polyacrylamide Gel,Lysine,Spectrometry, Mass, Electrospray Ionization","analogs &amp; derivatives,biosynthesis,metabolism","D008239 Q000096 NY,D000171 Q000378 NY,D008239 Q000031 NN,D000941 Q000096 NY","866,5962,7847,12047,69568,92907,104152,641599","53790718,127350601,128056944,128368393,128368395,129465457","N(epsilon)-(3-methylpyridinium)lysine, a major antigenic adduct generated in acrolein-modified protein.","Acrolein, a representative carcinogenic aldehyde, that could be ubiquitously generated in biological systems under oxidative stress shows facile reactivity with a nucleophile such as a protein. In this study, to gain a better understanding of the molecular basis of acrolein modification of protein, we characterized the acrolein modification of a model peptide (the oxidized B chain of insulin) by electrospray ionization-liquid chromatography/mass spectrometry method and established a novel acrolein-lysine co",The Journal of biological chemistry,"Atsunori Furuhata, Takeshi Ishii, Shigenori Kumazawa, Tomoe Yamada, Tsutomu Nakayama, Koji Uchida"," Laboratory of Food and Biodynamics, Graduate School of Bioagricultural Sciences, Nagoya University, Nagoya 464-8601, Japan.",2003 Dec;278(49):48658-65,10.1074/jbc.m309401200
14742096,20040326,article,"xref,mesh","Acrolein,Animals,Biomarkers,Blood Proteins,Environmental Exposure,Environmental Monitoring,Environmental Pollutants,Enzyme-Linked Immunosorbent Assay,Male,Protein Binding,Rats,Rats, Sprague-Dawley","analysis,blood,methods","D004781 Q000032 NY,D000171 Q000097 NY,D001798 Q000032 NY,D004784 Q000379 NY,D004785 Q000032 NN,D015415 Q000097 NN","7847,10964","128056944,129627858",Quantitation of acrolein-protein adducts: potential biomarker of acrolein exposure.,"Acrolein, an alpha,beta-unsaturated aldehyde, is a ubiquitous environmental toxic pollutant. Because of potential human exposure, there is a need for a sensitive, reliable, and specific method to monitor acrolein exposure. Acrolein is a potent electrophile and reacts with proteins mainly through Michael addition reaction, leading to acrolein-protein adducts (APA). The present study aimed to develop a competitive enzyme-linked immunosorbent assay (ELISA) method for the quantitation of APA in biological sampl",Journal of toxicology and environmental health. Part A,"Hui Li, Jianling Wang, Bhupendra Kaphalia, G A S Ansari, M Firoze Khan"," Department of Pathology, University of Texas Medical Branch, Galveston, Texas 77555-0609, USA.",2004 Mar;67(6):513-24,10.1080/15287390490276539
25504014,20151001,article,mesh,"Acrolein,Apoptosis,Glutathione,Hep G2 Cells,Humans,Imidazoles,Lipid Peroxidation,Oleanolic Acid,Protective Agents,Protein Carbonylation,Thiobarbituric Acid Reactive Substances","analogs &amp; derivatives,drug effects,metabolism,pharmacology,physiology","D009828 Q000031 NY,D017209 Q000187 NN,D009828 Q000494 NN,D000171 Q000494 NY,D015227 Q000187 NN,D020011 Q000494 NY,D005978 Q000502 NY,D050050 Q000187 NN,D017392 Q000378 NN,D007093 Q000494 NY","7847,10494,124886,9958995,101710279",NULL,"Protection of HepG2 cells against acrolein toxicity by 2-cyano-3,12-dioxooleana-1,9-dien-28-imidazolide via glutathione-mediated mechanism.","Acrolein is an environmental toxicant, mainly found in smoke released from incomplete combustion of organic matter. Several studies showed that exposure to acrolein can lead to liver damage. The mechanisms involved in acrolein-induced hepatocellular toxicity, however, are not completely understood. This study examined the cytotoxic mechanisms of acrolein on HepG2 cells. Acrolein at pathophysiological concentrations was shown to cause apoptotic cell death and an increase in levels of protein carbonyl and thi","Experimental biology and medicine (Maywood, N.J.)","Halley Shah, Adam M Speen, Christina Saunders, Elizabeth A S Brooke, Palanisamy Nallasamy, Hong Zhu, Y Robert Li, Zhenquan Jia"," Department of Biology, The University of North Carolina at Greensboro, Greensboro, NC 27412, USA. Department of Biology, The University of North Carolina at Greensboro, Greensboro, NC 27412, USA. Department of Biology, The University of North Carolina at Greensboro, Greensboro, NC 27412, USA. Department of Biology, The University of North Carolina at Greensboro, Greensboro, NC 27412, USA. Department of Biology, The University of North Carolina at Greensboro, Greensboro, NC 27412, USA. Department of Pharmac",2015 Oct;240(10):1340-51,10.1177/1535370214563900
12807757,20030801,article,"xref,mesh","Acrolein,Adenocarcinoma,Antimetabolites, Antineoplastic,Benzo(a)pyrene,Blotting, Western,Buthionine Sulfoximine,DNA, Neoplasm,Electrophoretic Mobility Shift Assay,Glutathione,Humans,Luciferases,Lung Neoplasms,Precipitin Tests,Promoter Regions, Genetic,Tumor Cells, Cultured,Tumor Suppressor Protein p53","drug therapy,genetics,metabolism,pathology,pharmacology","D016159 Q000378 NY,D008156 Q000378 NN,D004273 Q000235 NN,D008175 Q000378 NN,D000230 Q000188 NY,D000964 Q000494 NN,D000171 Q000494 NY,D008175 Q000188 NY,D000230 Q000378 NN,D000230 Q000473 NN,D016159 Q000235 NN,D001564 Q000494 NY,D005978 Q000378 NN,D019328 Q000494 NN,D004273 Q000378 NY,D008175 Q000473 NN","2336,7847,21157,124886,53835817","53787229,53790718,53790775,53790918,127868578,127946759,128056944,129192846",Modulation of benzo[a]pyrene-induced p53 DNA activity by acrolein.,"Acrolein, a highly electrophilic alpha,beta-unsaturated aldehyde, is by far the most reactive amongst the aldehydes present in smoke. The relative contribution of acrolein to complex mixture toxicity of smoke at the molecular level remains unknown. The current study examines the ability of acrolein to modulate the effect of benzo[a]pyrene (B[a]P), a major carcinogen found in smoke, on p53. Exposure of human lung adenocarcinoma A549 cells to 1 mM B[a]P for 48 h strongly activated the expression of p53 as see",Carcinogenesis,"Shyam Biswal, Terrie Maxwell, Tirumalai Rangasamy, James P Kehrer"," Division of Toxicological Sciences, Department of Environmental Health Sciences, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, Maryland, USA. sbiswal@jhsph.edu",2003 Aug;24(8):1401-6,10.1093/carcin/bgg061
16480751,20060801,article,"xref,mesh","Acrolein,Air Pollutants,Animals,Blotting, Western,Cattle,Cell Survival,Dose-Response Relationship, Drug,Endothelial Cells,Enzyme Activation,Glutathione,Heme Oxygenase-1,MAP Kinase Kinase 4,NF-E2-Related Factor 2,Reactive Oxygen Species,Tobacco Smoke Pollution,Up-Regulation","adverse effects,analysis,biosynthesis,drug effects,enzymology,isolation &amp; purification,metabolism,toxicity","D048670 Q000378 NY,D002470 Q000187 NN,D051547 Q000096 NY,D017382 Q000378 NN,D042783 Q000378 YN,D042783 Q000187 YN,D004789 Q000187 NN,D051267 Q000378 NN,D014028 Q000032 NN,D014028 Q000009 NN,D000171 Q000302 NN,D000393 Q000633 NY,D042783 Q000201 YN,D005978 Q000378 NN,D000171 Q000633 NY","307,6057,6197,7847,8515,21157,124886,312145,457193,637511,5280961,53835817","53787054,53787267,53788302,53789895,53790538,53790718,53790918,127946759,128056944,128391806,128865459,129006930,129192846,129334556,135968306",Upregulation of endothelial heme oxygenase-1 expression through the activation of the JNK pathway by sublethal concentrations of acrolein.,"Acrolein is a highly electrophilic alpha,beta-unsaturated aldehyde that is present in cigarette smoke. Heme oxygenase-1 (HO-1) is a cytoprotective enzyme activated by various such electrophilic compounds. In this study, the regulatory effects of acrolein upon the expression of HO-1 were investigated in endothelial cells (ECs). We demonstrate that acrolein induces the elevation of HO-1 protein levels, and subsequent enzyme activity, at non-cytotoxic concentrations. An additional alpha,beta-unsaturated aldehy",Toxicology and applied pharmacology,"C C Wu, C W Hsieh, P H Lai, J B Lin, Y C Liu, B S Wung"," Institute of Biotechnology, National Chiayi University, Chiayi, Taiwan.",2006 Aug;214(3):244-52,10.1016/j.taap.2005.12.013
