6625601,19830901,article,mesh,"Aerobiosis,Animals,Carbon Tetrachloride,Chlorine,Cytochrome P-450 Enzyme System,Hydrocarbons, Halogenated,Kinetics,Male,Microsomes, Liver,Oxidation-Reduction,Rats,Rats, Inbred Strains,Structure-Activity Relationship",metabolism,"D008862 Q000378 NY,D002251 Q000378 NY,D002713 Q000378 NY,D006846 Q000378 NN,D003577 Q000378 NY","5943,24526,44150317",NULL,Reductive oxygenation of carbon tetrachloride: trichloromethylperoxyl radical as a possible intermediate in the conversion of carbon tetrachloride to electrophilic chlorine.,"Under aerobic conditions, rat liver microsomes convert carbon tetrachloride to an electrophilic form of chlorine that is trapped with 2,6-dimethylphenol to form 4-chloro-2,6-dimethylphenol. The mechanism of cytochrome P-450-catalyzed electrophilic chlorine formation from carbon tetrachloride was examined with structure-activity studies of electrophilic halogen formation and chemical and in vitro microsomal studies. 4-Chloro-2,6-dimethylphenol is not formed as a consequence of a reaction of 2,6-dimethylpheno",Archives of biochemistry and biophysics,"B A Mico, L R Pohl",NULL,1983 Sep;225(2):596-609,10.1016/0003-9861(83)90071-1
8160201,19940311,article,mesh,"Adjuvants, Immunologic,Animals,Antibody Formation,B-Lymphocytes,Carbon Tetrachloride,Cells, Cultured,Erythrocytes,Mice,Mice, Inbred Strains,Sheep,Spleen","blood,drug effects,immunology,pharmacology","D002251 Q000494 NY,D013154 Q000187 NN,D000276 Q000494 NN,D004912 Q000276 NN,D001402 Q000187 NY,D000276 Q000097 NY,D013154 Q000276 NN,D001402 Q000276 NN,D000917 Q000187 NY",5943,NULL,Induction of serum borne immunomodulatory factors in B6C3F1 mice by carbon tetrachloride. Exposure to carbon tetrachloride produces an increase in B-cell number and function.,Carbon tetrachloride exposure in mice induces a serum associated immunosuppressive factor(s) that inhibits T-cell dependent immune responses. The objective of the present studies was to characterize the immunomodulatory activity of serum isolated from carbon tetrachloride-treated mice on T-cell independent humoral immune responses. Direct addition of serum isolated from carbon tetrachloride-treated mice (500 mg/kg/day for 7 days) to naive spleen cell cultures enhanced the antibody forming cell response to l,Toxicology,"B Delaney, N E Kaminski"," Department of Pharmacology and Toxicology, Medical College of Virginia/Virginia Commonwealth University, Richmond 23298-0613.",1994 Mar;88(?):201-12,10.1016/0300-483x(94)90121-x
11586997,20010101,article,"xref,mesh","Administration, Inhalation,Animals,Ascitic Fluid,Carbon Tetrachloride,Disease Models, Animal,Lipid Peroxidation,Lipid Peroxides,Liver Cirrhosis, Experimental,Male,Oxidative Stress,Rats,Rats, Wistar","chemically induced,chemistry,metabolism,pathology,physiology","D008106 Q000378 NN,D008106 Q000473 NN,D018384 Q000502 NY,D001202 Q000737 NY,D015227 Q000502 NY,D008106 Q000139 NY,D008054 Q000378 NN","5943,1268265","129287822,129548391",[Experimental cirrhosis induced by carbon tetrachloride inhalation: adaptation of the technique and evaluation of lipid peroxidation].,"BACKGROUND: Long-term administration of carbon tetrachloride is an accepted experimental model to produce hepatic fibrosis. Oxidative stress has been postulated as a major molecular mechanism involved in carbon tetrachloride hepatotoxicity, where the reactive oxygen species play an important role in the pathogenesis of liver fibrosis. AIMS: This study was conducted to evaluate the effectiveness of an experimental model of hepatic cirrhosis induced by carbon tetrachloride inhalation as well as the importance",Arquivos de gastroenterologia,"R V Cremonese, A A Pereira-Filho, R Magalhães, A A de Mattos, C A Marroni, C G Zettler, N P Marroni"," Departamento de Fisiologia, Universidade Federal do Rio Grande do Sul-UFRGS, no Hospital Irmandade Santa Casa de Misericórdia de Porto Alegre (ISCMPA), Porto Alegre, RS.",2001 Jan;38(1):40-7,10.1590/s0004-28032001000100008
11880177,20020508,article,"xref,mesh","Animals,Bromodeoxyuridine,Carbon Tetrachloride,Carcinogens,DNA,DNA Damage,DNA Primers,DNA-Formamidopyrimidine Glycosylase,Glutathione Transferase,Guanosine,Immunoenzyme Techniques,Liver,Liver Neoplasms, Experimental,Male,N-Glycosyl Hydrolases,Nitric Oxide Synthase,Nitric Oxide Synthase Type II,Placenta,Quinoxalines,Rats,Rats, Inbred F344,Reverse Transcriptase Polymerase Chain Reaction,Transaminases","administration &amp; dosage,analogs &amp; derivatives,blood,chemically induced,chemistry,drug effects,enzymology,genetics,injuries,metabolism,pharmacology,toxicity","D002251 Q000008 NN,D000637 Q000097 NN,D008099 Q000187 NY,D008114 Q000201 NN,D002251 Q000633 NY,D019001 Q000235 NN,D008099 Q000201 NN,D004247 Q000378 NN,D002273 Q000633 NY,D004249 Q000187 NY,D011810 Q000494 NY,D019001 Q000378 NN,D006151 Q000031 NY,D002273 Q000008 NN,D008099 Q000293 NY,D006151 Q000378 NN,D009699 Q000378 NN,D010920 Q000201 NY,D017931 Q000737 NN,D008114 Q000139 NY,D009699 Q000235 NN,D005982 Q000378 NY","5943,6035,6802,62275,65131,73318,124886,259811,6918942,9882223,44135672,57186438,92132193,135398635,135406132,135433642,135440064","127791287,127879911,128039096,128771931,129192846,129548391,135790204,136216744",Role of oxidative DNA damage caused by carbon tetrachloride-induced liver injury -- enhancement of MeIQ-induced glutathione S-transferase placental form-positive foci in rats.,"The strong association between chronic inflammation and development of cancer is well-established in chronic inflammatory states. Nitric oxide (NO) is generated by inflammatory cytokines due to the action of inducible nitric oxide (iNOS), oxidizing DNA to form 8-hydroxy-2'-deoxyguanosine (8-OHdG) adducts, a major species of oxidative DNA damage. In the present study, we investigated the enhancing effect of carbon tetrachloride, a typical hepatotoxic chemical, on rat 2-amino-3,8-dimethylimidazo[4,5-f]quinoxa",Cancer letters,"Shuji Iwai, Rezaul Karim, Mitsuaki Kitano, Toshio Sukata, Wei Min, Keiichirou Morimura, Hideki Wanibuchi, Shuichi Seki, Shoji Fukushima"," Department of Pathology, Osaka City University Medical School, 1-4-3 Asahi-machi, Abeno-ku, Osaka 545-8585, Japan.",2002 May;179(1):15-24,10.1016/s0304-3835(01)00855-2
12235922,20020101,article,"xref,mesh","Blotting, Northern,Carbon Tetrachloride,Carcinoma, Hepatocellular,Cell Line, Transformed,Cytochrome P-450 CYP2E1,Gene Expression Regulation, Neoplastic,Humans,Tumor Cells, Cultured","biosynthesis,drug effects,enzymology,pharmacology","D002251 Q000494 NY,D014407 Q000201 NN,D015972 Q000187 NN,D006528 Q000201 NY,D019392 Q000096 NY,D014407 Q000187 NN",5943,129548391,Increased cytotoxicity of carbon tetrachloride in a human hepatoma cell line overexpressing cytochrome P450 2E1.,"Cytotoxic free radicals generated during the metabolism of carbon tetrachloride by cytochrome P450 2E1 (CYP2E1) are thought to cause hepatotoxicity. Here, the cytotoxic effects of carbon tetrachloride in a liver cell line expressing CYP2E1 (HLE/2E1) are compared with those in the mother cell line (HLE). The effects of carbon tetrachloride on the gene expression of HSP70, a potential marker of oxidative stress, were also examined. The viability of HLE/2E1 cells after exposure to carbon tetrachloride was sign",The Journal of international medical research,"S Takahashi, T Takahashi, S Mizobuchi, M Matsumi, K Morita, M Miyazaki, M Namba, R Akagi, M Hirakawa"," Department of Anaesthesiology and Resuscitology, Okayama University Medical School, Okayama City, Japan.",2002 Jan;30(4):400-5,10.1177/147323000203000406
1719056,19910801,article,mesh,"Animals,Carbon Tetrachloride,Chemical and Drug Induced Liver Injury,Chlordecone,DNA Damage,Liver,Male,Mutagens,Poly(ADP-ribose) Polymerases,Protein Biosynthesis,RNA,Rats,Rats, Inbred Strains","biosynthesis,cytology,drug effects,genetics,metabolism,toxicity","D007631 Q000633 NY,D008099 Q000187 NY,D002251 Q000633 NY,D056486 Q000378 NY,D012313 Q000096 NN,D056486 Q000235 NN,D008099 Q000378 NN,D004249 Q000187 NN,D011065 Q000378 NN,D008099 Q000166 NN,D009153 Q000633 NY","299,5943,11963529",NULL,Biochemical assessment of the genotoxicity of the in vitro interaction between chlordecone and carbon tetrachloride in rat hepatocytes.,"The genotoxic potential of the administration of carbon tetrachloride alone or carbon tetrachloride to chlordecone-pretreated rats was investigated using an in vivo-in vitro animal model and a battery of biochemical assays to measure DNA repair in rat hepatocytes. Whereas carbon tetrachloride alone was not genotoxic, chlordecone or chlordecone in combination with carbon tetrachloride was genotoxic. The need for further investigation into the mechanism underlying the interaction between chlordecone and carbo",Journal of applied toxicology : JAT,"F I Ikegwuonu, H M Mehendale"," Department of Pharmacology and Toxicology, University of Mississipi Medical Center, Jackson 39216.",1991 Aug;11(4):303-10,10.1002/jat.2550110413
10576417,19991001,article,mesh,"Animals,Biomarkers,Carbon Tetrachloride,Cell Membrane,Immunoenzyme Techniques,Liver,Liver Cirrhosis, Experimental,Macrophages,Male,Rats,Rats, Sprague-Dawley,Tumor Necrosis Factor-alpha","biosynthesis,chemically induced,immunology,pathology","D008106 Q000276 NY,D008099 Q000276 NN,D014409 Q000096 NY,D008264 Q000276 NY,D008106 Q000473 NN,D008099 Q000473 NY,D008106 Q000139 NN,D002462 Q000276 NN",5943,NULL,Expression of TNF-alpha and immunohistochemical distribution of hepatic macrophage surface markers in carbon tetrachloride-induced chronic liver injury in rats.,"In liver injury induced by carbon tetrachloride, secondary hepatic injury occurs from inflammatory processes originating from products released by activated Kupffer cells, which play a central role in hepatic inflammation. The purpose of our study was to demonstrate, in rats, the relationships between a function of the hepatic macrophages, TNF-alpha production and the state of activation of these cells, characterized by their phenotype, in the different phases of the process and development of fibrosis in a",The Histochemical journal,"C Orfila, J C Lepert, L Alric, G Carrera, M Beraud, J P Vinel, B Pipy"," UPRES EA-2405, CHU Rangueil, Toulouse, France.",1999 Oct;31(10):677-85,10.1023/a:1003851821487
11160536,20010201,article,mesh,"Alanine Transaminase,Animals,Carbon Tetrachloride,Chemical and Drug Induced Liver Injury,Dietary Supplements,Female,Gene Expression Regulation,Liver,Liver Diseases,Male,Metallothionein,Mice,Mice, Inbred C57BL,Mice, Knockout,Mice, Transgenic,Microscopy,Oxidative Stress,Time Factors,Zinc","drug effects,genetics,metabolism,pathology,pharmacology,physiology,prevention &amp; control,toxicity","D008099 Q000187 NY,D008099 Q000473 NN,D002251 Q000633 NY,D008668 Q000235 NN,D015032 Q000378 NN,D005786 Q000235 NY,D008099 Q000502 NN,D008107 Q000517 NN,D015032 Q000494 NY,D008668 Q000502 NY,D000410 Q000378 NN,D018384 Q000502 NN","5943,23994",NULL,"Metallothionein expression protects against carbon tetrachloride-induced hepatotoxicity, but overexpression and dietary zinc supplementation provide no further protection in metallothionein transgenic and knockout mice.","Metallothionein and zinc have been implicated in cellular defense against a number of cytotoxic agents. With respect to the free radical-generating hepatotoxin carbon tetrachloride, conclusions about a defensive role were reached from in vitro studies, in vivo studies using inducers of metallothionein and studies using injections of pharmacological amounts of zinc. Metallothionein knockout (null) and metallothionein transgenic mice are more direct models to examine the effects of metallothionein expression ",The Journal of nutrition,"S R Davis, D A Samuelson, R J Cousins"," Food Science and Human Nutrition Department, Center for Nutritional Sciences, University of Florida, Gainesville, Florida 32611-0370, USA.",2001 Feb;131(2):215-22,10.1093/jn/131.2.215
17022372,20050101,article,xref,"Acatalasia,Alanine Transaminase,Animals,Aspartate Aminotransferases,Carbon Tetrachloride Poisoning,Catalase,Dose-Response Relationship, Radiation,Liver,Mice,Mice, Inbred C3H,Oxidative Stress,Radiation Dosage,X-Rays","blood,chemically induced,complications,pathology,radiation effects","D008099 Q000473 NN,D020642 Q000473 NY,D001219 Q000097 NN,D002252 Q000150 NY,D020642 Q000139 NN,D002374 Q000097 NN,D000410 Q000097 NN,D008099 Q000528 NY","602,5943,5960","127638306,129046631,129548391",Effects of post low-dose X-ray irradiation on carbon tetrachloride-induced acatalasemic mice liver damage.,"The catalase activities in the blood and organs of the acatalasemic (C3H/AnLCsb-Csb) mouse of the C3H strain are lower than those of the normal (C3H/AnLCSa-Csa) mouse. We examined the effects of post low-dose (0.5 Gy) X-ray irradiation which reduced the oxidative damage under carbon tetrachloride-induced hepatopathy in acatalasemic or normal mice. As a result, the 0.5 Gy irradiation after carbon tetrachloride administration decreased the glutamic oxaloacetic and glutamic pyruvic transaminase activity in the",Physiological chemistry and physics and medical NMR,"Takahiro Kataoka, Takaharu Nomura, Da-Hong Wang, Takehito Taguchi, Kiyonori Yamaoka"," Okayama University Medical School, Japan.",2005 Jan;37(2):109-26,NULL
10891563,20000801,article,mesh,"Animals,Anorexia,Appetite Regulation,Body Weight,Carbon Tetrachloride,Chemical and Drug Induced Liver Injury,Drinking,Eating,Male,Rats,Rats, Sprague-Dawley,Transaminases","blood,chemically induced,drug effects,pharmacology,toxicity","D000637 Q000097 NN,D000855 Q000139 NY,D002251 Q000633 NY,D001835 Q000187 NN,D002251 Q000494 NN,D001069 Q000187 NN",5943,NULL,Carbon tetrachloride treatment induces anorexia independently of hepatitis in rats.,"Oxidative stress is involved in the development of anorexia. In the present study, we examined the possible involvement of anorexia in oxygen radical-induced hepatitis. A low dose of carbon tetrachloride (1 ml/kg of a 1:1 solution with olive oil) was orally administered to rats with and without food restriction. In rats with food restriction, carbon tetrachloride treatment induced hepatitis and reduced the body weight gain. In contrast, carbon tetrachloride treatment did not induce hepatitis in rats without",International journal of molecular medicine,"T Okamoto, S Okabe"," Research Laboratories, Nippon Chemiphar Co. Ltd, Misato, Saitama 341-0005, Japan.",2000 Aug;6(2):181-3,NULL
