9571991,19980401,article,mesh,"Animals,Biotransformation,Carcinogens,Cell Death,Cell Separation,Cells, Cultured,Chloroform,Cytochrome P-450 Enzyme Inhibitors,Dithiothreitol,Glutathione,Imidazoles,Liver,Male,Mice,Oxidative Stress,Rats,Rats, Inbred F344,Solvents,Sulfhydryl Reagents","analysis,drug effects,pathology,pharmacology,toxicity","D008099 Q000187 NY,D008099 Q000473 NN,D007093 Q000494 NN,D002273 Q000633 NY,D016923 Q000187 NN,D002725 Q000633 NY,D012997 Q000633 NN,D005978 Q000032 NN","6212,19001,81595,124886,439196,446094",NULL,Chloroform-induced cytolethality in freshly isolated male B6C3F1 mouse and F-344 rat hepatocytes.,Chloroform is carcinogenic in rodents but is not mutagenic or DNA reactive. Chloroform-induced hepatocarcinogenesis in rodents is believed to be secondary to events associated with cytotoxicity and cell proliferation. Understanding the mechanisms of chloroform toxicity may provide insights into the mechanisms of carcinogenicity. The goal of these studies was to characterize the cytotoxicity of chloroform in male B6C3F1 mouse and F-344 rat hepatocytes in vitro. We used an in vitro suspension-culture system t,Toxicology and applied pharmacology,"P Ammann, C L Laethem, G L Kedderis"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709-2137, USA.",1998 Apr;149(2):217-25,10.1006/taap.1997.8351
8125218,19940101,article,mesh,"Administration, Oral,Animals,Bromodeoxyuridine,Cell Death,Cell Division,Chloroform,Female,Immunohistochemistry,Intubation, Gastrointestinal,Liver Neoplasms, Experimental,Mice,Mice, Inbred Strains,Water Supply","administration &amp; dosage,chemically induced,drug effects,pathology,toxicity","D016923 Q000187 NY,D002725 Q000008 NY,D002725 Q000633 NY,D008114 Q000139 NN,D002455 Q000187 NY,D008114 Q000473 NY","6035,6212",NULL,Induced cytotoxicity and cell proliferation in the hepatocarcinogenicity of chloroform in female B6C3F1 mice: comparison of administration by gavage in corn oil vs ad libitum in drinking water.,"Chloroform increases the incidence of liver tumors in B6C3F1 mice when administered in by gavage in corn oil, but not when given in the drinking water at similar daily doses. Since cytotoxicity and regenerative cell proliferation have been implicated in the tumorigenic process for this nongenotoxic agent, these effects of chloroform in corn oil and drinking water were evaluated under conditions similar to the two bioassays. Female B6C3F1 mice were administered oral doses of 0, 3, 10, 34, 90, 238, or 477 mg/",Fundamental and applied toxicology : official journal of the Society of Toxicology,"J L Larson, D C Wolf, B E Butterworth"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709.",1994 Jan;22(1):90-102,10.1006/faat.1994.1012
8504904,19930401,article,mesh,"Animals,Body Weight,Chemical and Drug Induced Liver Injury,Chloroform,Dose-Response Relationship, Drug,Female,Kidney,Kidney Diseases,Liver,Male,Mice,Mice, Inbred Strains,Organ Size,Rats,Rats, Inbred F344,Species Specificity","chemically induced,drug effects,pathology,toxicity","D008099 Q000473 NN,D001835 Q000187 NN,D007668 Q000187 NN,D007674 Q000139 NN,D007668 Q000473 NN,D009929 Q000187 NN,D056486 Q000473 NY,D002725 Q000633 NY,D007674 Q000473 NY,D008099 Q000187 NN",6212,NULL,Acute hepatotoxic and nephrotoxic effects of chloroform in male F-344 rats and female B6C3F1 mice.,"Previous studies demonstrated that chloroform given by oral gavage in corn oil caused an increased incidence of liver tumors in male and female mice and kidney tumors in male rats, while administration in drinking water resulted in an increased tumor incidence only in the kidneys of the male rats. The tumorigenicity of this nongenotoxic agent has been postulated to be linked with cytolethality and cell proliferation. This study examined the organ-specific toxicity of acute doses of chloroform. Male F-344 ra",Fundamental and applied toxicology : official journal of the Society of Toxicology,"J L Larson, D C Wolf, B E Butterworth"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709.",1993 Apr;20(3):302-15,10.1006/faat.1993.1040
9356278,19971001,review,mesh,"Administration, Inhalation,Administration, Oral,Animals,Carcinogens,Cell Death,Cell Division,Chloroform,Dose-Response Relationship, Drug,Female,Kidney Neoplasms,Liver Neoplasms, Experimental,Male,Mice,Models, Biological,Mutagenicity Tests,Public Health,Rats,Risk Assessment,United States","adverse effects,chemically induced,drug effects,standards,toxicity","D002725 Q000009 NN,D002455 Q000187 NN,D002273 Q000009 NN,D002273 Q000633 NY,D016923 Q000187 NN,D002725 Q000633 NY,D011634 Q000592 NN,D007680 Q000139 NY,D008114 Q000139 NY",6212,NULL,Chloroform mode of action: implications for cancer risk assessment.,"Risk assessment methodology, particularly pertaining to potential human carcinogenic risks from exposures to environmental chemicals, is undergoing intense scrutiny from scientists, regulators, and legislators. The current practice of estimating human cancer risk is based almost exclusively on extrapolating the results of chronic, high-dose studies in rodents to estimate potential risk in humans. However, many scientists are questioning whether the logic used in this current risk assessment methodology is t",Regulatory toxicology and pharmacology : RTP,"R J Golden, S E Holm, D E Robinson, P H Julkunen, E A Reese"," Environmental Risk Sciences, Inc., 1000 Thomas Jefferson Street, N.W., Washington, DC 20007, USA.",1997 Oct;26(2):142-55,10.1006/rtph.1997.1161
29669987,20180101,article,mesh,"Adenine,Animals,Autophagy,Chemical and Drug Induced Liver Injury,Chloroform,Cytokines,Disease Models, Animal,Glutathione,Inflammation Mediators,Liver,Male,Malondialdehyde,Mice,Oxidative Stress,Protective Agents","adverse effects,analogs &amp; derivatives,drug effects,drug therapy,etiology,metabolism,pathology,pharmacology","D008315 Q000378 NN,D008099 Q000473 NN,D056486 Q000188 NN,D018384 Q000187 NN,D016207 Q000378 NN,D001343 Q000187 NY,D056486 Q000378 NY,D002725 Q000009 NY,D008099 Q000378 NN,D020011 Q000494 NY,D000225 Q000031 NY,D018836 Q000378 NN,D056486 Q000209 NY,D005978 Q000378 NN,D000225 Q000494 NN,D008099 Q000187 NN","190,1673,6212,10964,124886",NULL,3-methyadenine attenuates chloroform-induced hepatotoxicity via autophagy activation.,"Chloroform is a common contaminant in the drinking water. Exposure of human to chloroform leads to severe hepatotoxicity. In the present study, chloroform-induced acute liver injury was investigated in mice using 3-methyadenine (3-MA), a common autophagy inhibitor. At 24 h after intraperitoneal injection of 0.5 mL/kg chloroform, serum alanine aminotransferase (ALT) levels were increased significantly; extensive necrosis and inflammation occurred as identified by histological examinations. Moreover, chlorofo","Biomedical research (Tokyo, Japan)","Lei Wang, Xiankui Li, Cai Chen"," Department of Respinatory Medicine, First Affiliated Hospital of Zhengzhou University. Department of Biochemistry and Molecular Biology, School of Basic Medical Science, Tianjin Medical University. Teaching and Research Centre, Faculty of Medicine, Xinyang Vocational and Technical College.",2018 Jan;39(2):87-94,10.2220/biomedres.39.87
9397189,19971101,article,"xref,mesh","Animals,Base Sequence,Blotting, Northern,Carcinogens,Chemical and Drug Induced Liver Injury,Chloroform,DNA, Complementary,Female,Gene Expression,Liver,Liver Diseases,Liver Regeneration,Mice,Molecular Sequence Data,RNA, Messenger,Rats,Sequence Homology, Nucleic Acid","drug effects,genetics,metabolism,pathology,physiology,toxicity","D008099 Q000187 NY,D008099 Q000502 NY,D008107 Q000473 NN,D008107 Q000235 NN,D002273 Q000633 NY,D008115 Q000502 NY,D012333 Q000378 NY,D002725 Q000633 NY,D008099 Q000378 NN,D018076 Q000187 NN",6212,53788066,Differential display identified changes in mRNA levels in regenerating livers from chloroform-treated mice.,"The nongenotoxic-cytotoxic carcinogen chloroform induces liver necrosis, regenerative cell proliferation, and, eventually, liver tumors in female B6C3F1 mice when administered by gavage at doses of 238 or 477 mg/kg/d. Administration of 1800 ppm of chloroform in the drinking water results in similar daily doses but does not produce liver toxicity or cancer. The differential-display technique was used to compare the expression of a subset of mRNAs in normal (control) and regenerating liver after chloroform-in",Molecular carcinogenesis,"A E Kegelmeyer, C S Sprankle, G J Horesovsky, B E Butterworth"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709, USA.",1997 Nov;20(3):288-97,10.1002/(sici)1098-2744(199711)20:3&lt;288::aid-mc5&gt;3.0.co;2-h
8812250,19960301,article,mesh,"Administration, Inhalation,Animals,Bone and Bones,Carcinogenicity Tests,Chloroform,Female,Kidney,Liver,Male,Mice,Mice, Inbred C57BL,Nasal Mucosa,No-Observed-Adverse-Effect Level,Organ Size,Risk Assessment","administration &amp; dosage,drug effects,pathology,toxicity","D008099 Q000473 NN,D007668 Q000187 NN,D007668 Q000473 NN,D009929 Q000187 NN,D002725 Q000633 NY,D009297 Q000187 NN,D001842 Q000473 NN,D002725 Q000008 NN,D001842 Q000187 NN,D008099 Q000187 NN",6212,NULL,A 90-day chloroform inhalation study in female and male B6C3F1 mice: implications for cancer risk assessment.,"High doses of chloroform induced liver cancer in male and female B6C3F1 mice when administered by gavage, kidney cancer in male Osborne-Mendel rats when given by gavage or in the drinking water, and kidney cancer in male BDF1 mice when administered by inhalation. The weight of evidence indicates that chloroform is acting through a nongenotoxic-cytotoxic mode of action. The present study was designed to investigate the dose-response relationships for chloroform-induced lesions and regenerative cell prolifera",Fundamental and applied toxicology : official journal of the Society of Toxicology,"J L Larson, M V Templin, D C Wolf, K C Jamison, J R Leininger, S Méry, K T Morgan, B A Wong, R B Conolly, B E Butterworth"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709, USA.",1996 Mar;30(1):118-37,10.1006/faat.1996.0049
7151758,19821201,article,mesh,"Alkylation,Animals,Carbon Radioisotopes,Carcinogens,Chloroform,DNA Repair,Liver Regeneration,Male,Mice,Rats,Rats, Inbred Strains,Risk,Species Specificity","drug effects,toxicity","D008115 Q000187 NN,D002725 Q000633 NY,D004260 Q000187 NN",6212,NULL,Mechanistic considerations for carcinogenic risk estimation: chloroform.,"Chloroform has been reported to induce cancer in rodents after chronic administration of high doses by gavage. However, the interpretation of these findings is hampered by a lack of knowledge concerning the relative roles of genetic and nongenetic mechanisms in these bioassays. The present studies were carried out in male B6C3F1 mice in order to investigate the potential of chloroform to induce genetic damage and/or organ toxicity at the sites where tumors have been observed in the various bioassays. These ",Environmental health perspectives,"R H Reitz, T R Fox, J F Quast",NULL,1982 Dec;46(?):163-8,10.1289/ehp.8246163
8143701,19940101,article,mesh,"Administration, Oral,Animals,Cells, Cultured,Chloroform,DNA,DNA Repair,Female,Liver,Mice,Mice, Inbred Strains,Mutagens","administration &amp; dosage,biosynthesis,cytology,drug effects,metabolism,toxicity","D004247 Q000096 NN,D004247 Q000187 NY,D008099 Q000187 NY,D002725 Q000633 NY,D008099 Q000378 NN,D008099 Q000166 NN,D009153 Q000633 NY,D002725 Q000008 NN","6212,44135672",NULL,Lack of chloroform-induced DNA repair in vitro and in vivo in hepatocytes of female B6C3F1 mice.,"Chloroform has been shown to induce hepatocellular carcinomas in female B6C3F1 mice when administered by gavage, but not when given in drinking water. When administered in corn oil at the carcinogenic doses of 238 and 477 mg/kg, chloroform induced necrosis and sustained regenerative cell proliferation in the liver. To investigate the mode of action of tumor induction in the target cells, the ability of chloroform to induce unscheduled DNA synthesis (UDS) was examined in the in vitro and in vivo hepatocyte D",Environmental and molecular mutagenesis,"J L Larson, C S Sprankle, B E Butterworth"," Chemical Industry Institute of Toxicology, Research Triangle Park, NC 27709.",1994 Jan;23(2):132-6,10.1002/em.2850230210
8625290,19960319,article,"xref,mesh","Animals,Carcinogens,Cell Division,Chloroform,Female,Gene Expression,Hepatocyte Growth Factor,Kidney,Liver,Male,Mice,Proto-Oncogene Proteins c-fos,Proto-Oncogene Proteins c-met,Proto-Oncogene Proteins c-myc,RNA, Messenger,Rats,Rats, Inbred F344,Receptor Protein-Tyrosine Kinases,Sex Factors,Species Specificity,ras Proteins","analysis,chemistry,cytology,drug effects,toxicity","D008099 Q000737 NN,D007668 Q000166 NN,D008099 Q000187 NY,D002455 Q000187 NN,D015870 Q000187 NN,D016760 Q000032 NN,D020794 Q000032 NN,D007668 Q000187 NY,D002273 Q000633 NY,D018631 Q000032 NN,D002725 Q000633 NY,D007668 Q000737 NN,D008099 Q000166 NN,D016271 Q000032 NN,D017228 Q000032 NN,D012333 Q000032 NY",6212,53788066,"Levels of myc, fos, Ha-ras, met and hepatocyte growth factor mRNA during regenerative cell proliferation in female mouse liver and male rat kidney after a cytotoxic dose of chloroform.","Chloroform is a liver carcinogen in mice and a kidney carcinogen in rats. It is thought to act through a non-genotoxic-cytotoxic mode of action. Changes in expression of growth control genes accompanying chloroform-induced cytolethality and regeneration may play a part in the development of chloroform-induced tumors. In this experiment, we examined the levels of the myc, fos, Ha-ras, met and hepatocyte growth factor mRNA in livers of female B6C3F(1) mice and kidneys of male F-344 rats to detect changes in g",Cancer letters,"C S Sprankle, J L Larson, S M Goldsworthy, B E Butterworth"," Chemical Industry Institute of Toxicology, Research Triangle Park, NC 27709-2137, USA.",1996 Mar;101(1):97-106,10.1016/0304-3835(96)04123-7
8812246,19960701,article,mesh,"Administration, Inhalation,Animals,Carcinogens,Chloroform,Dose-Response Relationship, Drug,Female,Kidney,Liver,Male,Nose,Organ Size,Rats,Rats, Inbred F344,Time Factors","drug effects,toxicity","D008099 Q000187 NY,D009666 Q000187 NN,D009929 Q000187 NN,D007668 Q000187 NY,D002273 Q000633 NY,D002725 Q000633 NY",6212,NULL,A 90-day chloroform inhalation study in F-344 rats: profile of toxicity and relevance to cancer studies.,"Chloroform acts via a nongenotoxic-cytotoxic mode of action to produce cancer if given in doses and at dose rates sufficiently high to produce organ-specific toxicity. In a recent study, chloroform failed to induce cancer in male or female F-344 rats when administered by inhalation for 2 years at 90 ppm, 5 days/week. The present study was undertaken to define the concentration-response curves for chloroform-induced lesions and regenerative cell proliferation in the F-344 rat when exposed by inhalation and t",Fundamental and applied toxicology : official journal of the Society of Toxicology,"M V Templin, J L Larson, B E Butterworth, K C Jamison, J R Leininger, S Méry, K T Morgan, B A Wong, D C Wolf"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709-2137, USA.",1996 Jul;32(1):109-25,10.1006/faat.1996.0113
