25433657,20150501,article,mesh,"Aging,Animals,Astrocytes,Behavior, Animal,CA1 Region, Hippocampal,CA3 Region, Hippocampal,Calcium-Binding Proteins,Cyclohexanes,DNA-(Apurinic or Apyrimidinic Site) Lyase,Glial Fibrillary Acidic Protein,Gliosis,Hippocampus,Male,Maze Learning,Memory,Mice, Inbred BALB C,Microfilament Proteins,Microglia,Oxidative Stress","drug effects,metabolism,pathology,pharmacology","D006624 Q000378 NN,D006624 Q000187 NN,D008840 Q000378 NN,D056547 Q000378 NN,D008568 Q000187 NN,D018384 Q000187 NN,D017628 Q000378 NN,D017628 Q000473 NY,D017628 Q000187 NN,D002135 Q000378 NN,D043603 Q000378 NN,D005911 Q000473 NY,D003510 Q000494 NY,D005904 Q000378 NN,D001522 Q000187 NY,D001253 Q000187 NN,D001253 Q000473 NN,D056654 Q000378 NN,D001253 Q000378 NN,D006624 Q000473 NY,D018782 Q000187 NN,D005911 Q000378 NN",8078,NULL,Cyclohexane produces behavioral deficits associated with astrogliosis and microglial reactivity in the adult hippocampus mouse brain.,"Cyclohexane is a volatile substance that has been utilized as a safe substitute of several organic solvents in diverse industrial processes, such as adhesives, paints, paint thinners, fingernail polish, lacquers, and rubber industry. A number of these commercial products are ordinarily used as inhaled drugs. However, it is not well known whether cyclohexane has noxious effects in the central nervous system. The aim of this study was to analyze the effects of cyclohexane inhalation on motor behavior, spatial",Cellular and molecular neurobiology,"Tania Campos-Ordonez, David Zarate-Lopez, Alma Y Galvez-Contreras, Norma Moy-Lopez, Jorge Guzman-Muniz, Oscar Gonzalez-Perez"," Laboratory of Neuroscience, School of Psychology, Facultad de Psicologia, DES Ciencias de la Salud, University of Colima, Av. Universidad 333, 28040, Colima, Col, Mexico.",2015 May;35(4):503-12,10.1007/s10571-014-0146-6
30460957,20181121,article,NULL,NULL,NULL,NULL,NULL,NULL,Superelectrophilic activation of 1-nitronaphthalene in the presence of aluminum chloride. Reactions with benzene and cyclohexane.,"1-Nitronaphthalene smoothly reacts with benzene and undergoes selective reduction with cyclohexane in the presence of aluminum chloride to give 2,4,4-triphenyl-3,4-dihydronaphthalen-1(2H)-one oxime and 5,6,7,8-tetrahydro-1-naphthylamine, respectively. The mechanistic aspects of these and related reactions are discussed on the basis of DFT, providing insight into the protonation behavior of 1-nitronaphthalene coordinated to AlCl3. ",Organic & biomolecular chemistry,"Zhongwei Zhu, Alexander M Genaev, George E Salnikov, Konstantin Yu Koltunov"," Novosibirsk State University, Pirogova 2, Novosibirsk 630090, Russia. koltunov@catalysis.ru. Vorozhtsov Novosibirsk Institute of Organic Chemistry, Pr. Lavrentieva 9, Novosibirsk, 630090, Russia. Novosibirsk State University, Pirogova 2, Novosibirsk 630090, Russia. koltunov@catalysis.ru and Vorozhtsov Novosibirsk Institute of Organic Chemistry, Pr. Lavrentieva 9, Novosibirsk, 630090, Russia. Novosibirsk State University, Pirogova 2, Novosibirsk 630090, Russia. koltunov@catalysis.ru and Boreskov Institute o",2018 Nov;?(?):?,NULL
30771197,20190215,article,NULL,NULL,NULL,NULL,NULL,NULL,Cyclohexane Inhalation Produces Long-Lasting Alterations in the Hippocampal Integrity and Reward-Seeking Behavior in the Adult Mouse.,"Cyclohexane (CHX) is an organic solvent commonly used as a drug-of-abuse. This drug increases the oxidative stress and glial reactivity in the hippocampus, which suggests that this brain region is vulnerable to CHX effects. This study aimed to establish the behavioral changes and the pathological alterations that occur in the Cornu Ammonis 3 (CA3) and Dentate Gyrus (DG) after a long-lasting exposure to CHX. We exposed CD1 mice to a recreational-like dose of CHX (~ 30,000 ppm) for 30 days and explored its co",Cellular and molecular neurobiology,"Tania Campos-Ordonez, David Zarate-Lopez, Nereida Ibarra-Castaneda, Jonathan Buritica, Oscar Gonzalez-Perez"," Laboratory of Neuroscience, School of Psychology, University of Colima, Av. Universidad 333, 28040, Colima, Colonia, Mexico. Physiological Sciences PhD Program, School of Medicine, University of Colima, Av. Universidad 333, 28040, Colima, Colonia, Mexico. Laboratory of Neuroscience, School of Psychology, University of Colima, Av. Universidad 333, 28040, Colima, Colonia, Mexico. Physiological Sciences PhD Program, School of Medicine, University of Colima, Av. Universidad 333, 28040, Colima, Colonia, Mexico.",2019 Feb;?(?):?,NULL
8768719,19960801,article,mesh,"Animals,Cell Count,Dose-Response Relationship, Drug,Hippocampus,In Vitro Techniques,Male,Membrane Potentials,Piperazines,Pyridines,Raphe Nuclei,Rats,Rats, Sprague-Dawley,Serotonin Antagonists","drug effects,pharmacology","D012702 Q000494 NY,D011725 Q000494 NY,D002452 Q000187 NN,D006624 Q000187 NY,D011903 Q000187 NY,D008564 Q000187 NN,D010879 Q000494 NY","5684,104911,581866,57351886",NULL,Electrophysiological effects of N-(2-(4-(2-methoxyphenyl)-1-piperazinyl)ethyl)-N-(2-pyridinyl) cyclohexane carboxamide (WAY 100635) on dorsal raphe serotonergic neurons and CA1 hippocampal pyramidal cells in vitro.,"The aim of the present study was to examine the effects of N-(2-(4-2-methoxphenyl)-1-piperazinyl)ethyl)-N-(2-pyridnyl) cyclohexane carboxamide (WAY 100635) on 5-HT1A receptor-mediated responses in the dorsal raphe nucleus (DRN) and the CA1 hippocampal region. In DRN slices superfused with WAY 100635 (10 nM), the majority of putative 5-HT neurons increased their firing rate (13 +/- 2% of baseline rate). In addition, WAY 100635 completely prevented the decrease in firing rate produced by 5-HT (3-15 microM), 8",The Journal of pharmacology and experimental therapeutics,"R Corradetti, E Le Poul, N Laaris, M Hamon, L Lanfumey"," Neurobiologie Cellulaire et Fonctionnelle, INSERM U 288, CHU Pitié-Salpêtrière, Paris, France.",1996 Aug;278(2):679-88,NULL
12054971,20020614,article,xref,NULL,NULL,NULL,"241,1923,8078,30386","127671737,128575486,129369435,129674360","Reactions of 5-, 6-, 7-, 8-hydroxyquinolines and 5-hydroxyisoquinoline with benzene and cyclohexane in superacids.","Isomeric 5-, 6-, 7-hydroxyquinolines (11-13) and 5-hydroxyisoquinoline (14) gave N,C-diprotonated dications in CF(3)SO(3)H-SbF(5) superacid medium. Compounds 11, 13, 14, and 8-hydroxyquinoline (5) underwent selective ionic hydrogenation with cyclohexane in the presence of aluminum chloride. Compounds 11 and 14 condense with benzene in the presence of aluminum halides. The detailed mechanism of reactions, which involves superelectrophilic dicationic intermediates, is discussed. ",The Journal of organic chemistry,"Konstantin Yu Koltunov, G K Surya Prakash, Golam Rasul, George A Olah"," Loker Hydrocarbon Research Institute and Department of Chemistry, University of Southern California, University Park, Los Angeles 90089-1661, USA.",2002 Jun;67(12):4330-6,10.1021/jo020099n
17928385,20080601,article,"xref,mesh","Air Pollutants, Occupational,Cyclohexanes,Dust,European Union,Humans,Industry,Inhalation Exposure,Models, Statistical,Occupational Exposure,Reproducibility of Results,Rubber","analysis,statistics &amp; numerical data,trends","D016273 Q000706 NN,D004391 Q000032 NY,D019570 Q000706 NN,D016273 Q000032 NY,D003510 Q000032 NY,D007221 Q000639 NN,D019570 Q000032 NN,D000395 Q000032 NY","8078,57006608","129674360,135782887",Exposure to inhalable dust and its cyclohexane soluble fraction since the 1970s in the rubber manufacturing industry in the European Union.,"OBJECTIVES: As exposures to airborne particulates in the European rubber industry might still be causing genotoxic risks, it is important to assess trends in levels of inhalable dust and its cyclohexane soluble fraction (CSF) between the 1970s and 2003. METHODS: 13 380 inhalable and 816 respirable dust and 5657 CSF measurements, collected within the framework of the European Union Concerted Action EXASRUB, were analysed. Hierarchical mixed effects models were applied to assess exposure trends, taking into a",Occupational and environmental medicine,"F de Vocht, R Vermeulen, I Burstyn, W Sobala, A Dost, D Taeger, U Bergendorf, K Straif, P Swuste, H Kromhout, EU-EXASRUB consortium"," Environmental Epidemiology Division, Institute for Risk Assessment Sciences, Utrecht University, Utrecht, The Netherlands.",2008 Jun;65(6):384-91,10.1136/oem.2007.034470
23028504,20120101,article,xref,"Cyclohexanes,Ketones,Molecular Conformation,Molecular Docking Simulation,Peptidylprolyl Isomerase,Protein Binding","antagonists &amp; inhibitors,chemistry,metabolism","D003510 Q000737 NY,D019696 Q000037 NN,D007659 Q000037 NN,D019696 Q000378 NN,D007659 Q000737 NY,D019696 Q000737 NY","177,8403,31268","127370325,128180287,129192578,129325890",Cyclohexyl ketone inhibitors of Pin1 dock in a trans-diaxial cyclohexane conformation.,"Cyclohexyl ketone substrate analogue inhibitors (Ac-pSer-Ψ[C = OCH]-Pip-tryptamine) of Pin1, the cell cycle regulatory peptidyl-prolyl isomerase (PPIase), were designed and synthesized as potential electrophilic acceptors for the Pin1 active site Cys113 nucleophile to test a proposed nucleophilic addition-isomerization mechanism. Because they were weak inhibitors, models of all three stereoisomers were docked into the active site of Pin1. Each isomer consistently minimized to a trans-diaxial cyclohexane con",PloS one,"Guoyan G Xu, Carla Slebodnick, Felicia A Etzkorn"," Department of Chemistry, Virginia Tech, Blacksburg, Virginia, United States of America.",2012 Jan;7(9):e44226,10.1371/journal.pone.0044226
24748738,20140101,article,NULL,NULL,NULL,NULL,NULL,NULL,"Cyto-genotoxicity Assessment of Potential Anti-tubercular Drug Candidate Molecule-trans-cyclohexane-1, 4-diamine Derivative-9u in Human Lung Epithelial Cells A549.","Increasing incidences of multiple drug-resistance (MDR) in Mycobacterium tuberculosis are emerging as one among the serious public health threats and socio-economic burden to the third world countries including India. Last couples of decades are witnesses of the dedicated and sustained efforts made toward the development of target specific and cost-effective antimicrobial agents against MDR-M. tuberculosis. However, the drugs in use are still incapable of controlling the upsurge of MDR. Thus, in order to ad",Toxicology international,"Ekta Kapoor, Vinay Tripathi, Vivek Kumar, Vijay Juyal, Sunita Bhagat, Veerma Ram"," Atma Ram Sanatan Dharma College, New Delhi, India. Indian Institute of Toxicology Research, Lucknow, Uttar Pradesh, India. Indian Institute of Toxicology Research, Lucknow, Uttar Pradesh, India. Department of Pharmaceutical Sciences, Kumaun University, Nainital, Uttarakhand, India. Atma Ram Sanatan Dharma College, New Delhi, India. Sardar Bhagwan Singh Post Graduate Institute of Biomedical Sciences and Research, Dehradun, Uttarakhand, India.",2014 Jan;21(1):69-77,10.4103/0971-6580.128800
25253927,20140101,article,NULL,NULL,NULL,NULL,NULL,NULL,"Expression Profile of Markers of Apoptosis, Injury and Oxidative Stress in Human Lung Epithelium Cells-A5449 Receiving Chronic Exposure of Potential Anti-Tubercular Drug-trans-Cyclohexane-1, 4-Diamine Derivative-""9u"".","Earlier, we had reported the synthesis of a library of symmetrical trans-cyclohexane-1,4-diamine derivatives and evaluated them for their anti-mycobacterium activity in the H37RV strain of Mycobacterium tuberculosis. A range of efficacy was recorded in different derivatives and the compound ""9u"" having an i-propyl group substitution at the p-position was found to be the most effective. The compound ""9u"" was found to be safe for cytotoxic and genotoxic responses in human lung epithelium cells-A549, even up t",Toxicology international,"Ekta Kapoor, Vinay Tripathi, Vivek Kumar, Vijay Juyal, Sunita Bhagat, Veerma Ram"," Department of Chemistry, Atma Ram Sanatan Dharma College, New Delhi, India. Indian Institute of Toxicology Research, Lucknow, Uttar Pradesh, India. Indian Institute of Toxicology Research, Lucknow, Uttar Pradesh, India. Department of Pharmaceutical Sciences, Kumaun University, Nainital, Uttarakhand, India. Department of Chemistry, Atma Ram Sanatan Dharma College, New Delhi, India. Sardar Bhagwan Singh Post Graduate Institute of Biomedical Sciences and Research, Dehradun, Uttarakhand, India.",2014 Jan;21(2):172-8,10.4103/0971-6580.139803
30879295,20190316,article,NULL,NULL,NULL,NULL,NULL,NULL,Pt(IV) bifunctional prodrug containing 2-(2-propynyl)octanoato axial ligand: induction of immunogenic cell death on colon cancer.,"The synthesis, characterization and in vitro activity of cyclohexane-1 R, 2 R-diamine-based Pt(IV) derivative containing the histone deacetylase inhibitor rac-2-(2-propynyl)octanoato, namely ( OC-6-44)-acetatodichlorido(cyclohexane-1 R,2 R-diamine)( rac-2-(2-propynyl)octanoato)platinum(IV), is reported together its isomers containing enantiomerically-enriched axial ligands. These Pt(IV) complexes showed comparable activity, of two orders of magnitude higher than reference drug oxaliplatin on three human (HC",Journal of medicinal chemistry,"Maurizio Sabbatini, Ilaria Zanellato, Mauro Ravera, Elisabetta Gabano, Elena Perin, Beatrice Rangone, Domenico Osella",NULL,2019 Mar;?(?):?,NULL
