7957777,19940601,article,mesh,"Animals,Catalase,Cytochrome P-450 Enzyme System,Glutathione Peroxidase,Hydrazines,Male,Microsomes, Liver,Mitochondria, Liver,Oxidative Stress,Rats,Rats, Wistar,Superoxide Dismutase,Vitamin E","antagonists &amp; inhibitors,drug effects,metabolism,pharmacology,physiology,toxicity,ultrastructure","D008930 Q000187 NY,D005979 Q000378 NN,D018384 Q000187 NN,D014810 Q000378 NN,D006834 Q000633 NY,D006834 Q000037 NN,D014810 Q000494 NY,D008930 Q000378 NY,D008862 Q000378 NN,D008930 Q000648 NN,D018384 Q000502 NY,D003577 Q000378 NN,D008862 Q000648 NN,D013482 Q000378 NN,D008862 Q000187 NN,D002374 Q000378 NN","9321,14985,17548,24654,24842,166817,23443529",NULL,Suppression of the hydrazine-induced formation of megamitochondria in the rat liver by alpha-tocopherol.,"The effects of alpha-tocopherol on the hydrazine-induced changes in the structure of mitochondria and those in the enzymatic and nonenzymatic antioxidant systems of the liver were investigated using rats as experimental animals. Animals were divided into four groups: animals of the first group were placed on a powdered diet containing 1.0% hydrazine for 7 days; those of the second and third groups received a control diet and alpha-tocopherol (ip, daily, 700 mg/kg body wt). On the fourth day and thereafter f",Experimental and molecular pathology,"J Antosiewicz, Y Nishizawa, X Liu, J Usukura, T Wakabayashi"," Department of Bioenergetics, Academy of Physical Education, Gdansk-Oliwa, Poland.",1994 Jun;60(3):173-87,10.1006/exmp.1994.1016
8209382,19940601,article,mesh,"Animals,Animals, Newborn,Base Sequence,Blotting, Southern,Chromatography, High Pressure Liquid,DNA,Formaldehyde,Guanine,Hydrazines,Liver,Molecular Sequence Data,Rats,Rats, Sprague-Dawley","analogs &amp; derivatives,analysis,biosynthesis,drug effects,isolation &amp; purification,metabolism,toxicity","D006147 Q000031 NN,D004247 Q000096 NN,D004247 Q000187 NY,D008099 Q000187 NY,D006834 Q000633 NY,D008099 Q000378 NN,D005557 Q000032 NN,D006147 Q000032 NN,D004247 Q000302 NN","712,764,9321,11361,17548,24654,24828,24842,65275,166817,23443529,44135672",NULL,Hydrazine genotoxicity in the neonatal rat.,"The neonatal rat, because of its relatively rapid rate of liver DNA replication without chemical or surgical induction, was used to assess the genotoxicity of the carcinogen hydrazine. Hydrazine is a more potent acute toxicant in the neonate than in the adult rat. Administration of hydrazine sc (1.5-50 mg/kg body wt) to newborn rats during the period of rapid liver DNA synthesis, 72-96 hr after birth, resulted in the formation of 7-methylguanine and O6-methylguanine in hepatic DNA; O6-methylguanine was seen",Toxicology and applied pharmacology,"T Leakakos, R C Shank"," Department of Community and Environmental Medicine, University of California, Irvine 92717.",1994 Jun;126(2):295-300,10.1006/taap.1994.1119
9199891,19970101,article,mesh,"Allopurinol,Animals,Cyclic N-Oxides,Enzyme Inhibitors,Fatty Acid Desaturases,Free Radical Scavengers,Free Radicals,Hydrazines,In Vitro Techniques,Lipid Peroxidation,Male,Microscopy, Electron,Mitochondria, Liver,Oxidative Stress,Oxygen Consumption,Purines,Rats,Rats, Wistar,Reactive Oxygen Species,Spin Labels,Xanthine Oxidase","antagonists &amp; inhibitors,drug effects,metabolism,pharmacology,toxicity,ultrastructure","D014969 Q000037 NN,D008930 Q000187 NY,D005609 Q000378 NN,D018384 Q000187 NN,D006834 Q000633 NY,D044943 Q000378 NN,D008930 Q000378 NY,D010101 Q000187 NN,D003497 Q000494 NN,D015227 Q000187 NN,D008930 Q000648 NN,D000493 Q000494 NN,D016166 Q000494 NN,D017382 Q000378 NY,D004791 Q000494 NN,D011687 Q000378 NN","2094,9321,17548,24654,24842,137994,166817,23443529",NULL,Role of free radicals in the mechanism of the hydrazine-induced formation of megamitochondria.,"The effect of 4-hydroxy-2,2,6,6-tetramethyl-piperidine-1-oxyl(4-OH-TEMPO), a scavenger for free radicals, and 4-hydroxypyrazolo [3,4-d(pyrimidine)allopurinol], a xanthine oxidase inhibitor, on the hydrazine-induced changes of mitochondrial ultrastructure and those in the antioxidant system of the liver were investigated using rats as experimental animals. Animals were placed on a powdered diet containing 0.5% hydrazine for 7 d in the presence and absence of a combined treatment with 4-OH-TEMPO or allopurino",Free radical biology & medicine,"T Matsuhashi, X Liu, M Karbowski, M Wozniak, J Antosiewicz, T Wakabayashi"," Department of Cell Biology and Molecular Pathology, Nagoya University School of Medicine, Japan.",1997 Jan;23(2):285-93,10.1016/s0891-5849(96)00616-8
11910466,20020401,article,"xref,mesh","Animals,Carcinogens,Hydrazines,Male,Oxidative Stress,Rats,Rats, Wistar,Tissue Distribution,Vitamin E","adverse effects,pharmacokinetics","D006834 Q000009 NY,D014810 Q000493 NY,D002273 Q000009 NY","9321,14985,17548,24654,24842,166817,23443529",128011809,Content and redistribution of vitamin E in tissues of Wistar rats under oxidative stress induced by hydrazine.,Hydrazine toxicity is associated with generation of several kinds of free radicals and oxidative stress in cell. Experiments in vivo have demonstrated that oxidative stress could either diminish or increase concentration of vitamin E in some tissues. Thus in the present study we performed experiments to determine whether hydrazine-induced oxidative stress would change the tissue levels of the vitamin. Seven days of hydrazine intoxication led to accumulation of different amounts of vitamin E: 215% in the liv,Archives of environmental contamination and toxicology,"J Antosiewicz, A Matuszkiewicz, R A Olek, J J Kaczor, W Ziółkowski, T Wakabayashi, J Popinigis"," Department of Bioenergetics, Jedrzej Sniedecki University, School of Physical Education, Wiejska 1, 80-336 Gdansk-Oliwa, Poland. jant@awf.gda.pl",2002 Apr;42(3):363-8,10.1007/s00244-001-0033-2
15370871,20040101,article,"xref,mesh","Animals,Biomarkers,Chemical and Drug Induced Liver Injury,Electrophoresis, Gel, Two-Dimensional,Gene Expression Profiling,Genomics,Glucose,Hydrazines,Lipid Metabolism,Liver,Liver Diseases,Male,Metabolism,Oxidative Stress,Proteins,RNA, Messenger,Rats,Rats, Sprague-Dawley,Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization","adverse effects,analysis,chemistry,genetics,metabolism","D012333 Q000032 NN,D008099 Q000737 NN,D006834 Q000009 NY,D008107 Q000235 NN,D008660 Q000235 NN,D005947 Q000378 NN,D008107 Q000378 NN,D011506 Q000032 NN","5793,9321,17548,24654,24749,24842,107526,166817,10954115,23443529,87517085","53787886,129621433",Combination of 'omics' data to investigate the mechanism(s) of hydrazine-induced hepatotoxicity in rats and to identify potential biomarkers.,"To gain novel insight into the molecular mechanisms underlying hydrazine-induced hepatotoxicity, mRNAs, proteins and endogenous metabolites were identified that were altered in rats treated with hydrazine compared with untreated controls. These changes were resolved in a combined genomics, proteomics and metabonomics study. Sprague-Dawley rats were assigned to three treatment groups with 10 animals per group and given a single oral dose of vehicle, 30 or 90 mg kg(-1) hydrazine, respectively. RNA was extract","Biomarkers : biochemical indicators of exposure, response, and susceptibility to chemicals","T G Klenø, B Kiehr, D Baunsgaard, U G Sidelmann"," Department of Applied Trinomics, Novo Nordisk A/S, Måløv, Denmark. tgkl@novonordisk.com",2004 Jan;9(2):116-38,10.1080/13547500410001728408
23819928,20130601,article,mesh,"Acetylcysteine,Animals,Cytoprotection,Hepatocytes,Hydrazines,In Vitro Techniques,Isoniazid,Lipid Peroxidation,Male,Oxidative Stress,Rats,Rats, Sprague-Dawley,Reactive Oxygen Species,Taurine","drug effects,metabolism,pharmacology,physiology,toxicity","D019610 Q000502 NY,D007538 Q000633 NY,D018384 Q000187 NN,D006834 Q000633 NY,D017382 Q000378 NN,D013654 Q000494 NY,D000111 Q000378 NN,D015227 Q000187 NN,D022781 Q000187 NY","1123,3767,9321,12035,17548,24654,24842,166817,5355297,5359363,5479610,12114682,23443529,23678798,23698856",NULL,Cytoprotective effects of taurine against toxicity induced by isoniazid and hydrazine in isolated rat hepatocytes.,"Isoniazid is one of the most commonly used drugs to treat tuberculosis. Its administration is associated with a high incidence of hepatotoxicity. The aim of this study was to establish the protective effects of taurine against cytotoxicity induced by isoniazid and its suspected toxic metabolite hydrazine in isolated rat hepatocytes by measuring reactive oxygen species (ROS) formation, lipid peroxidation, mitochondrial depolarisation, reduced glutathione (GSH), and oxidised glutathione (GSSG). Isoniazid caus",Arhiv za higijenu rada i toksikologiju,"Reza Heidari, Hossein Babaei, Mohammad Ali Eghbal"," Drug Applied Research Center, Tabriz University of Medical Sciences, Tabriz, Iran.",2013 Jun;64(2):15-24,10.2478/10004-1254-64-2013-2297
27208624,20160715,article,mesh,"Chromatography, Reverse-Phase,Drug Contamination,Hydrazines,Limit of Detection,Mutagens,Pharmaceutical Preparations,Sensitivity and Specificity,Spectrophotometry, Ultraviolet","analysis,methods","D056148 Q000379 NY,D013056 Q000379 NY,D006834 Q000032 NY,D009153 Q000032 NY,D004364 Q000032 NN","9321,17548,24654,24842,166817,23443529",NULL,A simple and sensitive method to analyze genotoxic impurity hydrazine in pharmaceutical materials.,"Hydrazine (N2H4) is a known genotoxic impurity that typically needs to be controlled down to low ppm level in pharmaceutical development. Hydrazine, however, is a challenging molecule to analyze using conventional analytical techniques due to its physical and chemical properties (e.g. lack of chromophore, absence of any carbon atom, low molecular weight, high polarity and volatility). Additionally, analysis in pharmaceutical samples commonly encounters significant interference from matrix components that gr",Journal of pharmaceutical and biomedical analysis,"Jenny Wang, Samuel Yang, Kelly Zhang"," Small Molecule Pharmaceutical Sciences, Genentech, 1 DNA Way, South San Francisco, CA 94080, United States. Small Molecule Pharmaceutical Sciences, Genentech, 1 DNA Way, South San Francisco, CA 94080, United States. Small Molecule Pharmaceutical Sciences, Genentech, 1 DNA Way, South San Francisco, CA 94080, United States. Electronic address: zhang.kelly@gene.com.",2016 Jul;126(?):141-7,10.1016/j.jpba.2016.04.038
3130355,19880201,article,mesh,"Animals,Cells, Cultured,DNA Repair,Hydrazines,Liver,Mice,Mice, Inbred C3H,Mutagenicity Tests,Mutagens,Rats,Rats, Inbred ACI,Species Specificity","drug effects,toxicity","D006834 Q000633 NY,D008099 Q000187 NN",NULL,NULL,Genotoxicity of a variety of hydrazine derivatives in the hepatocyte primary culture/DNA repair test using rat and mouse hepatocytes.,"The genotoxicity of a variety of hydrazine derivatives was examined in the DNA-repair test on rat or mouse hepatocytes. Out of 32 hydrazine derivatives, 6 chemicals, i.e., N'-acetyl-4-(hydroxymethyl)phenylhydrazine, 1,2-dimethylhydrazine.2HCl, 1-hydrazinophthalazine.HCl, methylhydrazine.sulfate, p,p'-oxybisbenzene disulfonylhydrazide and phenylhydrazine.HCl, elicited positive DNA repair responses in the test on rat hepatocytes. In the test on mouse hepatocytes, 4 more hydrazine derivatives, i.e., 1,1-dimeth",Japanese journal of cancer research : Gann,"H Mori, S Sugie, N Yoshimi, H Iwata, A Nishikawa, K Matsukubo, H Shimizu, I Hirono"," Department of Pathology, Gifu University School of Medicine.",1988 Feb;79(2):204-11,10.1111/j.1349-7006.1988.tb01578.x
18295292,20080515,article,"xref,mesh","Animals,Antitubercular Agents,Chemical and Drug Induced Liver Injury,Hepatocytes,Hydrazines,Hydrogen Peroxide,In Vitro Techniques,Inflammation,Isoniazid,Lysosomes,Male,Membrane Potential, Mitochondrial,Oxidative Stress,Protein Carbonylation,Rats,Rats, Sprague-Dawley,Reactive Oxygen Species","chemically induced,drug effects,metabolism,pathology,toxicity","D007538 Q000633 NY,D018384 Q000187 NN,D006834 Q000633 NY,D017382 Q000378 NN,D008247 Q000378 NN,D000995 Q000378 NN,D007249 Q000139 NN,D007538 Q000378 NN,D006861 Q000378 NN,D006834 Q000378 NN,D022781 Q000187 NY,D000995 Q000633 NY,D022781 Q000473 NN,D050050 Q000187 NN,D053078 Q000187 NN","255,784,1367,3767,9321,14039,17548,24654,24842,166817,5355297,5359363,5479610,23443529","128256963,128597429,128801479,129066678",Role of hydrazine in isoniazid-induced hepatotoxicity in a hepatocyte inflammation model.,"Isoniazid is an anti-tuberculosis drug that can cause hepatotoxicity in 20% of patients that is usually associated with an inflammatory response. Hepatocytes when exposed to non-toxic levels of H2O2, to simulate H2O2 formation by inflammatory cells, became twice as sensitive to isoniazid toxicity. Isoniazid cytotoxicity was prevented by 1-aminobenzotriazole, a non-selective P450 inhibitor or by bis-p-nitrophenyl phosphate (BNPP), an esterase inhibitor. Moreover, the cytotoxicity of hydrazine, the metabolite",Toxicology and applied pharmacology,"Shahrzad Tafazoli, Mariam Mashregi, Peter J O'Brien"," Faculty of Pharmacy, University of Toronto, Toronto, Ontario, Canada.",2008 May;229(1):94-101,10.1016/j.taap.2008.01.002
21172346,20110301,article,"xref,mesh","1,2-Dimethylhydrazine,Animals,Anticarcinogenic Agents,Antineoplastic Agents, Phytogenic,Antioxidants,Camptothecin,Colorectal Neoplasms,Disease Models, Animal,Dose-Response Relationship, Drug,Humans,Kaempferols,Lipid Peroxidation,Male,Rats,Rats, Wistar,Species Specificity","administration &amp; dosage,analogs &amp; derivatives,drug effects,metabolism,pharmacology,prevention &amp; control,toxicity","D019813 Q000633 NN,D016588 Q000008 NN,D000975 Q000378 NY,D002166 Q000494 NN,D044949 Q000494 NY,D044949 Q000008 NN,D015227 Q000187 NY,D000972 Q000494 NN,D015179 Q000517 NY,D002166 Q000031 NN,D016588 Q000494 NN","1322,5962,11349,24360,60837,60838,74990,104842,124886,1268265,5280863","127739038,128119686,128239561,128368395,129192846,129287822,129430288,129520161","Effect of kaempferol on lipid peroxidation and antioxidant status in 1,2-dimethyl hydrazine induced colorectal carcinoma in rats.","Colorectal cancer, a common cause of cancer related deaths in both sexes in western population is often due to persistent oxidative stress leading to DNA damage. Antioxidants scavenge free radicals and inhibit neoplastic process. Kaempferol, a flavonol widely distributed in tea, broccoli, grape fruit, brussels sprouts and apple, is claimed to have chemopreventive action in colon cancer. The aim of our study was to evaluate the effect of kaempferol on tissue lipid peroxidation and antioxidant status in 1,2-d",European journal of pharmacology,"Parthasarathy Nirmala, Manickam Ramanathan"," Division of Pharmacology, Rajah Muthiah Medical College, Annamalai University, Cuddalore, Tamil Nadu, South India. drnirmalaashok@gmail.com",2011 Mar;654(1):75-9,10.1016/j.ejphar.2010.11.034
