17966065,20071101,article,"xref,mesh","Acetylcysteine,Alanine Transaminase,Animals,Antioxidants,Cells, Cultured,Chloroform,Cyclosporine,Female,Glutathione,Hepatocytes,Membrane Potential, Mitochondrial,Mice,Mice, Inbred Strains,Mitochondria, Liver,Nitric Oxide Synthase,Oxidative Stress,Peroxynitrous Acid,Reactive Oxygen Species,Tyrosine","analogs &amp; derivatives,antagonists &amp; inhibitors,drug effects,metabolism,pharmacology,physiology,toxicity","D008930 Q000187 NY,D022781 Q000378 NN,D017382 Q000378 NN,D000111 Q000494 NN,D008930 Q000502 NN,D000975 Q000494 NN,D002725 Q000633 NY,D000410 Q000378 NN,D014443 Q000031 NN,D022781 Q000187 NY,D016572 Q000494 NN,D030421 Q000378 NN,D005978 Q000378 NN,D053078 Q000187 NN,D018384 Q000187 YN,D019001 Q000037 NN,D014443 Q000378 NN","602,1893,2909,4939,6057,6212,12035,62280,64944,65079,65124,123349,124886,235719,5280754,5284373,5458585,6435893,9834478,9855081,12114682,23678798,24883466,25246316,49867938,71306795,71463825,73896891,122172945,123134263,123134270,132274082","127823549,128047904,128865459,128977994,129046631,129192846,129467723,129888650,136096498,136242151",Mechanisms of chloroform-induced hepatotoxicity: oxidative stress and mitochondrial permeability transition in freshly isolated mouse hepatocytes.,"The role of mitochondrial permeability transition (MPT) and oxidative stress in chloroform toxicity was determined in freshly isolated female B6C3F1 mouse hepatocytes. Incubation of chloroform (12 mM) with hepatocytes resulted in cell death (alanine aminotransferase release and propidium iodide fluorescence). Chloroform had volatilized from the incubation and glutathione was depleted by 1 h; however, toxicity was not significantly different between control and chloroform-incubated cells. Hepatocytes were wa",Journal of toxicology and environmental health. Part A,"Angela S Burke, Kelly Redeker, Richard C Kurten, Laura P James, Jack A Hinson"," Department of Pharmacology and Toxicology, University of Arkansas for Medical Sciences, Little Rock, Arkansas 72205, USA.",2007 Nov;70(22):1936-45,10.1080/15287390701551399
25982420,20150101,article,mesh,"Animals,Apoptosis,Cell Cycle,Cell Line,Cell Line, Tumor,Chloroform,Cytokines,Drug Evaluation, Preclinical,Fusarium,Humans,Inflammation Mediators,Macrophages,Methanol,Mice,NG-Nitroarginine Methyl Ester,Nitric Oxide,Solvents,Toxicity Tests","biosynthesis,chemistry,drug effects,metabolism,pharmacology","D017209 Q000187 NN,D016207 Q000096 NY,D008264 Q000378 NN,D018836 Q000378 NY,D008264 Q000187 NN,D002453 Q000187 NN,D019331 Q000494 NN,D009569 Q000096 NY,D005670 Q000737 NY","887,6212,39836,145068,10942334",NULL,Cytotoxic activity and induction of inflammatory mediators of the methanol:chloroform extract of Fusarium moniliforme.,"BACKGROUND: Fusarium moniliforme is a phytopathogenic facultative fungus with a cosmopolitan distribution in all types of climates, and has a wide host range, including, among others, bean, rice, wheat and sorghum crops. There is a current lack of knowledge regarding the potential of these fungi, so it is considered to be of great importance to obtain information related to the biological activity of extracts and secondary metabolites. AIMS: An evaluation of the role of methanol:chloroform extract of F. mon",Revista iberoamericana de micologia,"María de la Soledad Lagunes-Castro, Ángel Trigos, Aracely López-Monteon, Guillermo Mendoza, Angel Ramos-Ligonio"," Centro de Investigaciones Biomédicas, Universidad Veracruzana, Xalapa, Veracruz, Mexico. Centro de Investigaciones Biomédicas, Universidad Veracruzana, Xalapa, Veracruz, Mexico; Laboratorio de Alta Tecnología de Xalapa, Universidad Veracruzana, Xalapa, Veracruz, Mexico. LADISER Inmunología y Biología Molecular, Facultad de Ciencias Químicas, Universidad Veracruzana, Orizaba, Veracruz, Mexico; Centro de Investigaciones Biomédicas, Universidad Veracruzana, Xalapa, Veracruz, Mexico. Laboratorio de Alta Tecnol",2015 Jan;32(4):235-41,10.1016/j.riam.2014.11.005
24363168,20150301,article,NULL,NULL,NULL,NULL,NULL,NULL,Genotoxicity of drinking water disinfection by-products (bromoform and chloroform) by using both Allium anaphase-telophase and comet tests.,"Genotoxic effects of bromoform and chloroform, disinfection by-products of the chlorination of drinking water, were examined by using mitotic index (MI), mitotic phase, chromosome aberrations (CAs) and comet assay on root meristematic cells of Allium cepa. Different concentrations of bromoform (25, 50, 75 and 100 μg/mL) and chloroform (25, 50, 100 and 200 μg/mL) were introduced to onion tuber roots. Distilled water was used as a negative control and methyl methansulfonate (MMS-10 μg/mL) as positive control.",Cytotechnology,"Messaouda Khallef, Recep Liman, Muhsin Konuk, İbrahim Hakkı Ciğerci, Djameleddine Benouareth, Mouna Tabet, Ahlem Abda"," Biochemistry Department, Faculty of Sciences, Badji Mokhtar University, 23000, Annaba, Algeria.",2015 Mar;67(2):207-13,10.1007/s10616-013-9675-y
17320426,20070501,article,"xref,mesh","Animals,CHO Cells,Cell Survival,Chloroform,Coloring Agents,Comet Assay,Cricetinae,Cricetulus,Cyclohexanols,DNA Damage,Gutta-Percha,Materials Testing,Monoterpenes,Retreatment,Solvents,Statistics, Nonparametric,Trypan Blue","chemistry,drug effects,toxicity","D003511 Q000633 NY,D002470 Q000187 NN,D006171 Q000737 NN,D012997 Q000633 NY,D002725 Q000633 NY,D016466 Q000187 NN,D039821 Q000633 NY","2758,6212,7966,446073,5359264,5904246,9562061,9811490,25162924,124203200,131752638",128047904,Biocompatibility of gutta-percha solvents using in vitro mammalian test-system.,"OBJECTIVES: Taking into consideration that DNA damage and cellular death play important roles during carcinogenesis, the purpose of the present study was to evaluate in vitro genotoxic or cytotoxic effects of chloroform and eucalyptol by single cell gel (comet) assay and trypan blue exclusion test, respectively. STUDY DESIGN: Chloroform and eucalyptol were exposed to Chinese hamster ovary cells in culture directly for 3 hours at 37 degrees C at final concentrations ranging from 1.25 to 10 microL/mL. The neg","Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics","Daniel A Ribeiro, Mariza A Matsumoto, Mariângela E A Marques, Daisy M F Salvadori"," Department of Health Sciences, Federal University of São Paulo, Botucatu, Brazil. daribeiro@unifesp.br",2007 May;103(5):e106-9,10.1016/j.tripleo.2006.11.024
6457684,19810801,article,mesh,"Carbon Tetrachloride,Carcinogens,Cells, Cultured,Chloroform,DNA,DNA Repair,Ethylene Dibromide,Ethylene Dichlorides,Humans,Hydrocarbons,In Vitro Techniques,Lymphocytes,Methyl Ethers,Methylene Chloride,Trichloroethylene","antagonists &amp; inhibitors,drug effects,pharmacology","D008738 Q000494 NN,D014241 Q000494 NN,D004247 Q000037 NY,D002251 Q000494 NN,D005025 Q000494 NN,D002725 Q000494 NN,D008214 Q000187 NY,D004260 Q000187 NN,D006838 Q000494 NY,D008752 Q000494 NN,D015946 Q000494 NN","5943,6212,6344,6575,7839,44135672",NULL,DNA damage by haloalkanes in human lymphocytes cultured in vitro.,"The DNA damaging activity of 7 haloalkanes was studied in a short-term in vitro system which utilized human lymphocytes. The parameters studied were the inhibition of scheduled (duplicative) and unscheduled (reparative) DNA syntheses seen as tritiated thymidine uptake. The results obtained suggested that chloromethyl methyl ether (CMME), 1,2-dibromoethane (DBE), trichloroethylene (TCE) and 1,2-dichloroethane (DCE) gave positive results such as DNA damaging agents, while carbon tetrachloride (CTC), chlorofor",Cancer letters,"P Perocco, G Prodi",NULL,1981 Aug;13(3):213-8,10.1016/0304-3835(81)90020-3
11305508,20010301,article,"xref,mesh","Analysis of Variance,Animals,Apoptosis,Cells, Cultured,Chloroform,Disease Models, Animal,Epithelial Cells,Gastric Mucosa,Humans,Male,NG-Nitroarginine Methyl Ester,Nitric Oxide,Nitric Oxide Synthase,Nitroprusside,Probability,Rats,Rats, Sprague-Dawley,Reference Values,Sensitivity and Specificity,Smoking","adverse effects,analysis,antagonists &amp; inhibitors,cytology,drug effects,enzymology,metabolism,pathology,pharmacology","D012907 Q000009 NY,D017209 Q000187 YN,D009569 Q000032 NN,D002725 Q000494 NN,D009599 Q000494 NN,D019001 Q000378 NN,D019331 Q000494 NN,D009569 Q000378 NY,D005753 Q000166 NN,D005753 Q000201 NY,D019001 Q000037 NN,D005753 Q000473 NY","6212,39836,145068,6917867,11963622,124081848",128047904,The role of nitric oxide on cigarette smoke-induced programmed cell death in the gastric mucosa.,"BACKGROUND: This study was designed to investigate the effect of cigarette smoking on apoptosis in the gastric mucosa and the role of nitric oxide (NO) in the gas phase and extracts in the tar phase in this pathological process. METHODS: Male Sprague-Dawley rats and human gastric epithelial cell line AGS were used in the study. RESULTS: Cigarette smoking significantly increased apoptotic bodies in the rat gastric mucosa. However, neither filtered cigarette smoke, in which most of the substances in the tar p",Scandinavian journal of gastroenterology,"H Y Wang, L Ma, Y Li, C H Cho"," Dept. of Pharmacology, Faculty of Medicine, The University of Hong Kong, HKSAR, China.",2001 Mar;36(3):235-40,10.1080/003655201750074438
13680817,20030901,article,"xref,mesh","Animals,Asarum,Brain Diseases,Cerebral Cortex,Male,Neuroglia,Neuroprotective Agents,PC12 Cells,Phytotherapy,Plant Extracts,Rats,Rats, Sprague-Dawley,alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid","administration &amp; dosage,chemically induced,cytology,drug effects,pharmacology,prevention &amp; control,therapeutic use","D002540 Q000166 NN,D002540 Q000187 NN,D018696 Q000008 NN,D010936 Q000627 NN,D001927 Q000517 NY,D001927 Q000139 NN,D018696 Q000494 NY,D018696 Q000627 NN,D010936 Q000494 NY,D010936 Q000008 NN,D009457 Q000187 NN,D016716 Q000187 NN","1221,8259","128417629,129420984",Protection of brain cells against AMPA-induced damage by Asiasari Radix extracts.,"We determined whether Asiasari Radix (AR) extracts have protective actions in brain cells. Methanol extracts of Asiasari Radix (fraction 1) have significant inhibitory effects on the AMPA-induced rat cortical depolarization in the grease gap assay. In differentiated PC12 cells, it almost completely protected against AMPA-induced cell death. In addition, it had some protective actions in C6 glial cells death induced by AMPA. The methanol extracts (fraction 1) of AR were subsequently fractionated into chlorof",Phytotherapy research : PTR,"Yong Han, Eun Hee Kwon, Sung-Jin Kim"," Department of Pharmacology, School of Dentistry, Kyung Hee University, Seoul, KOREA.",2003 Sep;17(8):882-6,10.1002/ptr.1176
436117,19790401,article,mesh,"Animals,Azo Compounds,Benzopyrenes,Carcinogens,Chlorobenzenes,DNA,DNA Repair,Drug Evaluation, Preclinical,In Vitro Techniques,Liver,Male,Methyl Methanesulfonate,Rats","biosynthesis,drug effects,metabolism,methods,pharmacology","D008741 Q000494 NN,D008099 Q000187 NY,D004353 Q000379 NN,D004260 Q000187 NY,D008099 Q000378 NN,D001391 Q000494 NY,D001580 Q000494 NN,D002722 Q000494 NY,D004247 Q000096 NY","4156,44135672",NULL,"Induction of unscheduled DNA synthesis in suspensions of rat hepatocytes by an environmental toxicant, 3,3'4,4'-tetrachloroazobenzene.","Unscheduled DNA synthesis was induced by 3,3'4,4'-tetrachloroazobenzene (TCAB)) in freshly isolated suspensions of rat hepatocytes. A dose-dependent response was demonstrated. Hepatocellular DNA was obtained after the chloroform-isoamyl alchohol-phenol extraction of the isolated nuclei. The induction of unscheduled DNA synthesis was measured by the incorporation of [3H]-thymidine in the presence of hydroxyurea as determined by the scintillation counting assay. DNA repair data obtained in this study on benzo",Cancer letters,"M T Hsia, B L Kreamer",NULL,1979 Apr;6(?):207-12,10.1016/s0304-3835(79)80035-x
20040371,20100401,article,"xref,mesh","Antineoplastic Agents, Phytogenic,Apoptosis,Blotting, Western,Cell Cycle Proteins,Cell Line, Tumor,Cell Proliferation,Chalcone,Dose-Response Relationship, Drug,Enzyme Inhibitors,Flow Cytometry,Gene Expression Regulation, Neoplastic,Genes, p53,Heme Oxygenase-1,Humans,Mitogen-Activated Protein Kinases,Mouth Neoplasms,NF-kappa B,Oxidative Stress,Phosphorylation,p21-Activated Kinases","analogs &amp; derivatives,antagonists &amp; inhibitors,drug effects,drug therapy,genetics,metabolism,pathology,pharmacology,ultrastructure","D051547 Q000378 NY,D009062 Q000473 NN,D018797 Q000378 NN,D017209 Q000187 NY,D015972 Q000187 NN,D051547 Q000037 NN,D018384 Q000187 NN,D000972 Q000494 NY,D016328 Q000378 NN,D020928 Q000378 NN,D054462 Q000187 NN,D049109 Q000187 NN,D054462 Q000235 NN,D009062 Q000648 NN,D016158 Q000187 NN,D002599 Q000031 NY,D002599 Q000494 NN,D009062 Q000188 NY,D004791 Q000494 NN","425,4939,6212,7189,637760","127771276,127799878,128047904,129888650,144087447",Isoliquiritigenin 2'-methyl ether induces growth inhibition and apoptosis in oral cancer cells via heme oxygenase-1.,"We previously reported that a chloroform extract of Caesalpinia sappan L. induces apoptosis in oral cancer cells but not in normal epithelial cell lines. In the present study, we explored the effects of a single compound isolated from C. sappan heartwood, isoliquiritigenin 2'-methyl ether (ILME), on cultured primary and metastatic oral cancer cell lines using MTT assays, fluorescence microscopy, flow cytometry, and Western blotting. ILME inhibited the growth of the oral cancer cells in a time- and dose-depe",Toxicology in vitro : an international journal published in association with BIBRA,"Young-Man Lee, Gil-Saeng Jeong, Hyun-Dae Lim, Ren-Bo An, Youn-Chul Kim, Eun-Cheol Kim"," Department of Oral and Maxillofacial Pathology, Wonkwang University, Iksan, South Korea.",2010 Apr;24(3):776-82,10.1016/j.tiv.2009.12.024
3917197,19850601,article,mesh,"Animals,DNA Repair,Hydrocarbons, Chlorinated,Liver,Mutagenicity Tests,Rats,Salmonella typhimurium,Tetrachloroethylene,Trichloroethanes,Trichloroethylene","adverse effects,cytology,drug effects,genetics,methods","D009152 Q000379 NY,D008099 Q000187 NY,D014240 Q000009 NY,D012486 Q000235 NN,D004260 Q000187 NY,D014241 Q000009 NY,D008099 Q000166 NN,D006843 Q000009 NY,D013750 Q000009 NY","6278,6575,31373",NULL,Activities of chlorinated ethane and ethylene compounds in the Salmonella/rat microsome mutagenesis and rat hepatocyte/DNA repair assays under vapor phase exposure conditions.,"Three chlorinated ethane and ethylene solvent products were examined for their genotoxicity in the Salmonella/microsome mutagenesis and hepatocyte primary culture DNA repair assays using vapor phase exposures. The positive control in this study, monochloroethylene (vinyl chloride), induced reversion mutation of Salmonella tester strains TA100 and TA1535 with enhancement by an exogenous activation system and elicited unscheduled DNA synthesis in rat hepatocytes in culture. Exposures to 1,1,1-trichloroethane ",Cell biology and toxicology,"T Shimada, A F Swanson, P Leber, G M Williams"," Naylor Dana Institute for Disease Prevention, American Health Foundation, Valhalla, NY 10595.",1985 Jun;1(3):159-79,10.1007/bf00120162
