15705495,20050328,review,xref,"Animals,Ethers,Female,Male,Mice,Propylene Glycols,Public Health,Rats,Risk Assessment,Solvents,Toxicity Tests","pharmacokinetics,toxicity","D011409 Q000633 NY,D004987 Q000493 NN,D012997 Q000633 NY,D004987 Q000633 NY,D011409 Q000493 NN,D012997 Q000493 NN","8114,8252,8254,8909","127789678,128468424,128945327,129060975",New toxicity data for the propylene glycol ethers - a commitment to public health and safety.,"Propylene glycol ethers are a class of solvents used in a wide array of industrial, commercial and consumer applications, such as in paints, cleaners and inks. A robust toxicity database exists for the propylene glycol ethers that provide strong product safety support. Standard toxicity studies conducted under good laboratory practices indicate a lack of genotoxic, developmental and reproductive hazards. Recent testing efforts have primarily focused in two areas: (1) examination of the chronic toxicity/onco",Toxicology letters,P J Spencer," Toxicology and Environmental Research and Consulting, The Dow Chemical Company, 1803 Building, Midland, MI 48674, USA. pjspencer@dow.com",2005 Mar;156(1):181-8,10.1016/j.toxlet.2003.09.023
18158714,20070101,article,"xref,mesh","Administration, Inhalation,Animals,Cyclosporine,Dogs,Drug Evaluation, Preclinical,Female,Immunosuppressive Agents,Male,Propylene Glycol,Rats,Rats, Sprague-Dawley","administration &amp; dosage,pharmacokinetics,toxicity","D007166 Q000008 NN,D019946 Q000633 NY,D016572 Q000008 NN,D016572 Q000493 NN,D007166 Q000493 NN,D019946 Q000008 NN,D016572 Q000633 NY,D019946 Q000493 NN,D007166 Q000633 NY","1030,2909,8252,62280,5280754,5284373,5458585,6435893,9855081,24883466,25246316,49867938,71306795,71463825,73896891,122172945,123134263,123134270,132274082",129060975,Preclinical safety evaluation of inhaled cyclosporine in propylene glycol.,"Cyclosporine inhalation solution has the potential to improve outcomes following lung transplantation by delivering high concentrations of an immunosuppressant directly to the allograft while minimizing systemic drug exposure and associated toxicity. The objective of these studies was to evaluate the potential toxicity of aerosolized cyclosporine formulated in propylene glycol when given by inhalation route to rats and dogs for 28 days. Sprague-Dawley rats received total inhaled doses of 0 (air), 0 (vehicle",Journal of aerosol medicine : the official journal of the International Society for Aerosols in Medicine,"Tao Wang, Sarah Noonberg, Ronald Steigerwalt, Maryellen Lynch, Rosemary A Kovelesky, Carlos A Rodríguez, Katherine Sprugel, Nancy Turner"," Novartis Pharmaceuticals, Safety Profiling and Assessment, Emeryville, California 94608, USA. tao.wang@novartis.com",2007 Jan;20(4):417-28,10.1089/jam.2007.0626
20131984,20100201,article,"xref,mesh","Administration, Inhalation,Aerosols,Animals,Chemistry, Pharmaceutical,Ethanol,Hexoses,Inflammation,Lung,Propylene Glycol,Rats,Rats, Sprague-Dawley,Solvents","chemically induced,drug effects,pathology,pharmacology","D008168 Q000187 NN,D000431 Q000494 NY,D008168 Q000473 NN,D000336 Q000494 NY,D007249 Q000139 NN,D019946 Q000494 NY,D006601 Q000494 NY","702,1030,8252,347521,5385498,6433271,9920342,13798887,23725020,70693544","128482492,129060975,135808686","Evaluation of lung tolerance of ethanol, propylene glycol, and sorbitan monooleate as solvents in medical aerosols.","BACKGROUND: Aerosol therapy is an expanding technique allowing administration of drugs acting locally in the bronchial tree and lungs or acting systemically after absorption through the respiratory tract. However, the choice of solvents and adjuvants is a critical step in the formulation process of new drugs. Pulmonary tolerance of ethanol, propylene glycol and sorbitan ester was evaluated in a rat model of intratracheal administration using a Microsprayer in a 4-day toxicity study. METHODS: Four groups of ",Journal of aerosol medicine and pulmonary drug delivery,"Jérôme Montharu, Sandrine Le Guellec, Birgit Kittel, Yvon Rabemampianina, Joël Guillemain, Francis Gauthier, Patrice Diot, Michèle de Monte"," INSERM U618, IFR135, Faculté de Médecine, CHRU Bretonneau, Tours, France.",2010 Feb;23(1):41-6,10.1089/jamp.2008.0740
2883293,19870301,article,mesh,"Cytotoxicity, Immunologic,Drug Compounding,Humans,Killer Cells, Natural,Luminescent Measurements,Neutrophils,Propylene Glycol,Propylene Glycols","drug effects,immunology,pharmacology","D003602 Q000187 NN,D007694 Q000187 NY,D009504 Q000187 NY,D011409 Q000494 NY,D007694 Q000276 NN",1030,NULL,Detrimental effect of propylene glycol on natural killer cell and neutrophil function.,Propylene glycol (PG) in a concentration of 0.5-1.0% inhibits natural cytotoxicity and neutrophil chemiluminescence. This is the first reported effect of PG on defence mechanisms in man. PG is frequently used as a vehicle in high concentrations by the pharmaceutical industry and it would be wise to consider its potential immunosuppressive effects in the evaluation of drug formulations. ,The Journal of pharmacy and pharmacology,"D W Denning, A D Webster",NULL,1987 Mar;39(3):236-8,10.1111/j.2042-7158.1987.tb06258.x
15996585,20050801,article,"xref,mesh","Administration, Cutaneous,Aminolevulinic Acid,Animals,Chemistry, Pharmaceutical,Glycerides,In Vitro Techniques,Male,Mice,Mice, Hairless,Propylene Glycol,Protoporphyrins,Rats,Skin,Skin Absorption","administration &amp; dosage,biosynthesis,chemistry,drug effects,metabolism,pharmacokinetics,pharmacology","D012867 Q000378 NY,D000622 Q000493 NY,D005989 Q000494 NY,D005989 Q000737 NN,D000622 Q000008 NN,D005989 Q000008 NN,D000622 Q000494 NN,D011524 Q000096 NY,D000622 Q000737 NN,D012869 Q000187 NY,D019946 Q000737 NY","137,1030,4971,8252,33022,71484,123608,5283468,5364833,9548816,12178130,20056951","129060975,129204988,129901017",Topical glycerol monooleate/propylene glycol formulations enhance 5-aminolevulinic acid in vitro skin delivery and in vivo protophorphyrin IX accumulation in hairless mouse skin.,"Photodynamic therapy (PDT), a potential therapy for cancer treatment, utilizes exogenously applied or endogenously formed photosensitizers, further activated by light in an appropriate wavelength and dose to induce cell death through free radical formation. 5-Aminolevulinic acid (5-ALA) is a pro-drug which can be converted to the effective photosensitizer, protoporphyrin IX (PpIX). However, the use of 5-ALA in PDT is limited by the low penetration capacity of this highly hydrophilic molecule into appropriat",European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,"Regilene Steluti, Fernanda Scarmato De Rosa, John Collett, Antônio Cláudio Tedesco, Maria Vitória Lopes Badra Bentley"," Department of Pharmaceutical Sciences, Faculty of Pharmaceutical Sciences of Ribeirão Preto, University of São Paulo, Ribeirão Preto, SP, Brazil.",2005 Aug;60(3):439-44,10.1016/j.ejpb.2005.01.011
18700847,20091201,article,"xref,mesh","Animal Feed,Animal Nutritional Physiological Phenomena,Animals,Antioxidants,Calendula,DNA Damage,Diet,Lipid Peroxidation,Plant Extracts,Propylene Glycol,Swine,Vitamin E","analysis,chemistry,drug effects,growth &amp; development,pharmacology,veterinary","D010936 Q000737 NN,D000821 Q000032 NN,D004032 Q000662 NN,D014810 Q000494 NY,D015227 Q000187 NN,D004249 Q000187 NN,D010936 Q000494 NY,D013552 Q000254 NY,D000975 Q000737 NN,D014810 Q000737 NN,D020838 Q000737 NY,D000975 Q000494 NY,D019946 Q000737 NY","1030,8252,10964,14985,124886,9882223,135433642","129060975,129192846,129627858,135790204",The comparison of in vivo antigenotoxic and antioxidative capacity of two propylene glycol extracts of Calendula officinalis (marigold) and vitamin E in young growing pigs.,The objective of the study was to evaluate the protective effect of Calendula officinalis propylene glycol extracts against oxidative DNA damage and lipid peroxidation induced by high polyunsaturated fatty acid (PUFA) intake in young growing pigs. Forty young growing pigs were assigned to five treatment groups: control; oil (linseed oil supplementation); C. officinalis 1 and 2 groups (linseed oil plus 3 ml/day of C. officinalis propylene glycol extracts); and vitamin E group (linseed oil plus 100 mg/kg of v,Journal of animal physiology and animal nutrition,"T Frankic, K Salobir, J Salobir"," Biotechnical Faculty, Department of Animal Science, University of Ljubljana, Domzale, Slovenia.",2009 Dec;93(6):688-94,10.1111/j.1439-0396.2008.00855.x
18656538,20081101,article,"xref,mesh","Cell Line, Tumor,Chemistry, Pharmaceutical,Cyclosporine,Dialysis,Diffusion,Drug Compounding,Electric Impedance,Humans,Immunosuppressive Agents,Kinetics,Liposomes,Lung,Permeability,Pharmaceutical Solutions,Phosphatidylcholines,Propylene Glycol","blood,chemistry,metabolism","D007166 Q000097 NN,D010713 Q000737 NY,D008168 Q000378 NY,D016572 Q000737 NN,D016572 Q000378 NY,D007166 Q000378 NY,D007166 Q000737 NN,D016572 Q000097 NN,D019946 Q000737 NY","1030,2909,8252,62280,453626,5280754,5284373,5458585,6435893,9855081,24883466,25246316,49867938,71306795,71463825,73896891,122172945,123134263,123134270,132274082",129060975,Comparative permeability and diffusion kinetics of cyclosporine A liposomes and propylene glycol solution from human lung tissue into human blood ex vivo.,"Aerolized cyclosporine A (CsA) has been successfully used for prevention of organ rejection in lung transplant recipients. Various formulations of CsA are available and so far no direct comparison of their pharmacokinetics has been performed. Since clinical studies are elaborate, we sought a way to predict the kinetic behaviour of a propylene glycol solution of CsA (CsA-PG) and a liposomal formulation (L-CsA). The permeability across the human bronchial cell line Calu-3 revealed low permeability for CsA wit",European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,"Beatrice Trammer, Annette Amann, Eleonore Haltner-Ukomadu, Sascha Tillmanns, Manfred Keller, Petra Högger"," Universität Würzburg, Würzburg, Germany.",2008 Nov;70(3):758-64,10.1016/j.ejpb.2008.07.001
20433889,20100701,article,"xref,mesh","Animals,CHO Cells,Cell Survival,Cells, Cultured,Comet Assay,Cricetinae,Cricetulus,Cryopreservation,Cryoprotective Agents,DNA,DNA Damage,Dimethyl Sulfoxide,Ethylene Glycols,Female,Humans,Indicators and Reagents,Micronucleus Tests,Mutagenicity Tests,Mutagens,Oocyte Donation,Preservation, Biological,Propylene Glycol,Rats,Rats, Sprague-Dawley","drug effects,genetics,toxicity","D004121 Q000633 NY,D002470 Q000187 NN,D019946 Q000633 NY,D005026 Q000633 NY,D004247 Q000235 NN,D003451 Q000633 NY","679,1030,8252,44135672","128141778,129060975","Assessment of the genotoxicity of three cryoprotectants used for human oocyte vitrification: dimethyl sulfoxide, ethylene glycol and propylene glycol.","Vitrification requires high concentrations of cryoprotectants that may induce long-term toxic effects on cells. The aim of this study was to evaluate the possible genotoxicity of three cryoprotectants extensively used for oocyte vitrification: dimethyl sulfoxide (DMSO), ethylene glycol (EG) and propylene glycol (PROH). For this purpose, a Chinese Hamster Ovary cell line (CHO), commonly used in genetic toxicology, was selected as an in vitro biological model to assess both the induction of DNA strand-breaks ",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,"M Aye, C Di Giorgio, M De Mo, A Botta, J Perrin, B Courbiere"," Laboratoire de Biogénotoxicologie et Mutagenèse Environnementale, Fédération de Recherche CNRS 3098 ECCOREV, Université de la Méditerranée, Facultés de Médecine et Pharmacie, 27 Bd Jean Moulin, 13005 Marseille, France.",2010 Jul;48(7):1905-12,10.1016/j.fct.2010.04.032
30965726,20170906,article,NULL,NULL,NULL,NULL,NULL,NULL,"Acid-Labile Surfactants Based on Poly(ethylene glycol), Carbon Dioxide and Propylene Oxide: Miniemulsion Polymerization and Degradation Studies.","Partially degradable, nonionic AB and ABA type di- and triblock copolymers based on poly(propylene carbonate) and poly(ethylene glycol) blocks were synthesized via immortal copolymerization of carbon dioxide and propylene oxide, using mPEG or PEG as a macroinitiator, and (R,R)-(salcy)-CoOBzF₅ as a catalyst in a solvent-free one-pot procedure. The amphiphilic surfactants were prepared with molecular weights (M(n)) between 2800 and 10,000 g·mol(-)¹ with narrow molecular weight distributions (1.03⁻1.09). The c",Polymers,"Markus Scharfenberg, Sarah Wald, Frederik R Wurm, Holger Frey"," Institute of Organic Chemistry, Duesbergweg 10-14, Johannes Gutenberg University Mainz, 55128 Mainz, Germany. mscharfe@uni-mainz.de. Max Planck Institute for Polymer Research, Ackermannweg 10, 55128 Mainz, Germany. wald@mpip-mainz.mpg.de. Max Planck Institute for Polymer Research, Ackermannweg 10, 55128 Mainz, Germany. wurm@mpip-mainz.mpg.de. Institute of Organic Chemistry, Duesbergweg 10-14, Johannes Gutenberg University Mainz, 55128 Mainz, Germany. hfrey@uni-mainz.de.",2017 Sep;9(9):?,NULL
10506120,19991001,article,mesh,"Adenine,Animals,Carbon Radioisotopes,Cell Line,Cytosine,DNA Adducts,DNA Repair,Epoxy Compounds,Humans,Lung,Lymphocytes,Male,Nasal Mucosa,Phosphorus Radioisotopes,Rats,Rats, Inbred F344,Uracil","chemistry,drug effects,metabolism,pharmacology","D008168 Q000187 NN,D004852 Q000494 NY,D008214 Q000378 NN,D003596 Q000378 NY,D000225 Q000378 NY,D004852 Q000737 NN,D009297 Q000378 NN,D009297 Q000187 NN,D008214 Q000187 NN,D014498 Q000378 NY,D008168 Q000378 NN","190,597,1174,6378,56841445",NULL,32P-postlabelling of propylene oxide 1- and N(6)-substituted adenine and 3-substituted cytosine/uracil: formation and persistence in vitro and in vivo.,"Propylene oxide, a widely used monofunctional alkylating agent, has been shown to be genotoxic in in vitro test systems and induces tumors in the nasal tissues of experimental animals. Propylene oxide, like related alkylating agents, forms several different adducts with DNA bases, but predominantly at the 7-position of guanine. We have previously described the in vitro and in vivo formation and stability of this major adduct. The aim of the present study was to perform a similar investigation of other adduc",Carcinogenesis,"K Plna, R Nilsson, M Koskinen, D Segerbäck"," Center for Nutrition and Toxicology, Department of Biosciences, Karolinska Institute, Novum, S-141 57 Huddinge, Sweden. kamila.plna@cnt.ki.se",1999 Oct;20(10):2025-32,10.1093/carcin/20.10.2025
