16121833,20050101,review,"xref,mesh","Carcinoma, Renal Cell,Denmark,Dose-Response Relationship, Drug,Humans,Kidney,Kidney Neoplasms,Occupational Exposure,Solvents,Trichloroethylene","adverse effects,chemically induced,drug effects,epidemiology,pathology,standards","D002292 Q000473 NN,D016273 Q000009 NY,D003718 Q000453 NN,D002292 Q000139 NY,D007668 Q000473 NN,D007668 Q000187 NY,D012997 Q000009 NY,D007680 Q000453 NN,D007680 Q000473 NN,D014241 Q000009 NY,D016273 Q000592 NY,D007680 Q000139 NY","702,6575","128482492,129735795","Renal carcinogenicity of trichloroethylene: update, mode of action, and fundamentals for occupational standard setting.","Mechanistic data must be incorporated into the assessment of the human risks of chemical carcinogens, for trichloroethylene in particular. The total weight of evidence compiled from data on the genotoxicity of trichloroethylene indicates that systemic mutagenic activity is not expressed in vivo. New epidemiologic data on trichloroethylene generated in Denmark showed a steady decline of occupational exposure to trichloroethylene since 1947, but with occasions of high exposures before 1980. Earlier exposures ",Reviews on environmental health,"Volker Harth, Thomas Brüning, Hermann M Bolt"," Institut für Arbeitsphysiologie, Universität Dortmund (IfADo), Ardeystr. 67, D-44139 Dortmund, Germany.",2005 Jan;20(2):103-18,NULL
19922440,20100201,article,"xref,mesh","Animals,CD11b Antigen,Caspase 3,Choline O-Acetyltransferase,Chromatography, High Pressure Liquid,Disease Models, Animal,Dopamine,Dopamine and cAMP-Regulated Phosphoprotein 32,Dose-Response Relationship, Drug,Electrochemistry,Encephalitis,Gene Expression Regulation,Male,Mitochondria,Neurodegenerative Diseases,Oxidative Stress,Rats,Rats, Inbred F344,Rotarod Performance Test,Solvents,Substantia Nigra,Trichloroethylene,Tyrosine,Tyrosine 3-Monooxygenase,alpha-Synuclein","analogs &amp; derivatives,chemically induced,drug effects,metabolism,methods,pathology,physiopathology,toxicity","D014241 Q000633 NY,D019636 Q000473 NY,D008928 Q000187 NN,D013378 Q000473 NN,D018384 Q000187 NN,D004298 Q000378 NY,D019636 Q000503 NN,D012997 Q000633 NY,D002851 Q000379 NN,D004660 Q000139 NN,D004563 Q000379 NN,D051937 Q000378 NN,D014443 Q000031 NN,D002795 Q000378 NN,D014446 Q000378 NN,D053148 Q000378 NN,D005786 Q000187 NN,D013378 Q000378 NY,D051844 Q000378 NN,D039481 Q000378 NN,D019636 Q000139 NY,D014443 Q000378 NN","681,6057,6575,65124,65340,235719,3713609,9834478","127823549,128865459,129544235,129735795",Trichloroethylene induces dopaminergic neurodegeneration in Fisher 344 rats.,"Trichloroethylene, a chlorinated solvent widely used as a degreasing agent, is a common environmental contaminant. Emerging evidence suggests that chronic exposure to trichloroethylene may contribute to the development of Parkinson's disease. The purpose of this study was to determine if selective loss of nigrostriatal dopaminergic neurons could be reproduced by systemic exposure of adult Fisher 344 rats to trichloroethylene. In our experiments, oral administration of trichloroethylene induced a significant",Journal of neurochemistry,"Mei Liu, Dong-Young Choi, Randy L Hunter, Jignesh D Pandya, Wayne A Cass, Patrick G Sullivan, Hyoung-Chun Kim, Don M Gash, Guoying Bing"," Department of Anatomy and Neurobiology, College of Medicine, University of Kentucky, Lexington, KY 40536, USA.",2010 Feb;112(3):773-83,10.1111/j.1471-4159.2009.06497.x
3410552,19880101,article,mesh,"Adult,Chromosome Aberrations,Environmental Exposure,Humans,Lymphocytes,Male,Metallurgy,Middle Aged,Sperm Count,Spermatozoa,Trichloroethylene,Y Chromosome","adverse effects,drug effects","D008214 Q000187 NY,D014241 Q000009 NY,D013076 Q000187 NN,D014998 Q000187 NY,D013094 Q000187 NY",6575,NULL,A genotoxic study of metal workers exposed to trichloroethylene. Sperm parameters and chromosome aberrations in lymphocytes.,"Metal workers exposed to trichloroethylene for the degreasing of metals were studied to evaluate the genotoxicity of this exposure. For 15 workers presently exposed to high doses of trichloroethylene there was no difference from unexposed persons with respect to sperm count and morphology, and a small increase of two fluorescent bodies (YFF%) in spermatozoa. In contrast, there was a highly significant increase in frequency of structural aberrations (breaks, gaps, translocation, deletions, inversions) and hy",International archives of occupational and environmental health,"K Rasmussen, S Sabroe, M Wohlert, H J Ingerslev, B Kappel, J Nielsen"," Institute of Social Medicine, University of Aarhus, Denmark.",1988 Jan;60(6):419-23,10.1007/bf00381389
10807553,20000501,review,mesh,"Animals,Carcinogens, Environmental,Dose-Response Relationship, Drug,Genes,Humans,Mutagens,Neoplasms,Risk Assessment,Trichloroethylene,United States,United States Environmental Protection Agency","adverse effects,chemically induced,drug effects,genetics,metabolism","D009369 Q000139 NY,D002274 Q000009 NY,D014241 Q000378 NN,D009153 Q000009 NY,D002274 Q000378 NN,D005796 Q000187 NN,D014241 Q000009 NY,D009369 Q000235 NN,D009153 Q000378 NN",6575,NULL,Mutagenicity of trichloroethylene and its metabolites: implications for the risk assessment of trichloroethylene.,"This article addresses the evidence that trichloroethylene (TCE) or its metabolites might mediate tumor formation via a mutagenic mode of action. We review and draw conclusions from the published mutagenicity and genotoxicity information for TCE and its metabolites, chloral hydrate (CH), dichloroacetic acid (DCA), trichloroacetic acid (TCA), trichloroethanol, S-(1, 2-dichlorovinyl)-l-cysteine (DCVC), and S-(1, 2-dichlorovinyl) glutathione (DCVG). The new U.S. Environmental Protection Agency proposed Cancer ",Environmental health perspectives,"M M Moore, K Harrington-Brock"," U.S. Environmental Protection Agency, Research Triangle Park, NC 27711, USA. moore.martha@epa.gov",2000 May;?(?):215-23,10.1289/ehp.00108s2215
2749732,19890701,article,mesh,"Animals,Cell Communication,Cells, Cultured,Chloral Hydrate,Liver,Male,Mice,Mice, Inbred Strains,Pyridines,Rats,Rats, Inbred F344,Species Specificity,Trichloroacetic Acid,Trichloroethylene","drug effects,metabolism,pharmacology,toxicity","D014241 Q000633 NY,D014241 Q000378 NN,D008099 Q000187 NY,D002450 Q000187 NY,D002697 Q000633 NY,D011725 Q000494 NN,D014238 Q000633 NY","2707,6421,6575,104980,581866,23681045,23719075",NULL,Effects of trichloroethylene and its metabolites on rodent hepatocyte intercellular communication.,"Chronic exposure to trichloroethylene (TCE) results in hepatocellular cancer in mice but not rats. The induction of hepatic tumors by TCE appears to be mediated through nongenotoxic or tumor promotion mechanisms. One cellular effect exhibited by a number of nongenotoxic carcinogens and tumor promoters is the inhibition of gap junction mediated intercellular communication. In the present study, the effects of trichloroethylene (TCE) and its metabolites, trichloracetic acid (TCA), trichloroethanol (TCEth), an",Toxicology and applied pharmacology,"J E Klaunig, R J Ruch, E L Lin"," Department of Pathology, Medical College of Ohio, Toledo 43699.",1989 Jul;99(3):454-65,10.1016/0041-008x(89)90153-1
8275017,19931001,article,mesh,"Animals,Chemical and Drug Induced Liver Injury,Clofibrate,Liver,Male,Malondialdehyde,Mice,Microsomes, Liver,NADP,Oxidation-Reduction,Oxygen Consumption,Trichloroacetic Acid,Trichloroethylene","drug effects,metabolism,pharmacology,toxicity","D009249 Q000378 NN,D002994 Q000494 NN,D008315 Q000378 NN,D008099 Q000187 NY,D014241 Q000494 NY,D014238 Q000494 NN,D010101 Q000187 NN,D008862 Q000378 NN,D008099 Q000378 NN,D008862 Q000187 NN,D014241 Q000633 NN","2796,5884,5885,5886,6421,6575,10964,2734411,15938972,15983949,16219760,23681045,23719075,42609791,52945042,129893609",NULL,Increased oxidative stress in the liver of mice treated with trichloroethylene.,"In this study the trichloroethylene treatment-associated production of oxidative stress in mouse liver by measurements of changes in oxygen consumption, the disappearance of beta-nicotinamide adenine dinucleotide reduced form (NADPH), and the rate of malondialdehyde formation have been investigated. The treatment of mice with trichloroethylene (TCE), trichloroacetic acid (TCA), a metabolite of TCE, or clofibrate, a peroxisome proliferator, resulted in an increase in the oxygen consumption of liver microsome",Biochemistry and molecular biology international,"A Atkinson, R G Meeks, D Roy"," Department of Environmental Health Sciences, University of Alabama, Birmingham 35294.",1993 Oct;31(2):297-304,NULL
10459495,19990101,review,mesh,"Animals,Carcinogens, Environmental,Humans,Structure-Activity Relationship,Trichloroethylene","analogs &amp; derivatives,toxicity","D014241 Q000633 NY,D002274 Q000633 NY,D014241 Q000031 NY",6575,NULL,Trichloroethylene. III. Prediction of carcinogenicity of investigated compounds including trichloroethylene.,"The mutagenicity and carcinogenic properties of trichloroethylene (TCE) derivatives, and their correlation with its molecular properties were analyzed. The observed cancer incidence was compared to the predicted, calculated incidence. The predictions were based on the rodent bioassay results and were consistent with human data. The electrophilic data of molecules of the Ke system provided evidence for 205 rodent carcinogens, where Ke correlated with energy of the lowest unoccupied molecular orbital. The maj","In vivo (Athens, Greece)","N Motohashi, H Nagashima, J Molnár"," Department of Medicinal Chemistry, Meiji Pharmaceutical University, Tokyo, Japan.",1999 Jan;13(3):221-4,NULL
11304134,20010401,article,"xref,mesh","Amino Acid Sequence,Animals,Chromatography, High Pressure Liquid,Cytochrome P-450 Enzyme Inhibitors,Cytochrome P-450 Enzyme System,Epoxy Compounds,Humans,Mass Spectrometry,Molecular Sequence Data,Rats,Trichloroethylene","chemistry,methods","D013058 Q000379 NN,D014241 Q000737 NY,D003577 Q000737 NY,D004852 Q000737 NY","6575,6576,28167,160438","127523511,127646817,129090111,129735795",Reaction of trichloroethylene and trichloroethylene oxide with cytochrome P450 enzymes: inactivation and sites of modification.,"Trichloroethylene (TCE) has been shown to be toxic to experimental animals and humans. TCE oxide is a reactive electrophile formed during TCE oxidation and rearranges to acylating intermediates [Cai, H., and Guengerich, F. P. (1999) J. Am. Chem. Soc. 121, 11656-11663], which may be related to the toxicity. Mice treated with TCE have been reported to contain N(6)-dichloroacetylLys residues in P450 2E1, as detected by immunochemical methods. TCE can be oxidized by both P450 2E1 and (rat) 2B1. In this work, di",Chemical research in toxicology,"H Cai, F P Guengerich"," Department of Biochemistry and Center in Molecular Toxicology, Vanderbilt University School of Medicine, Nashville, TN 37232-0146, USA.",2001 Apr;14(4):451-8,10.1021/tx0002280
21920816,20120401,article,"xref,mesh","Chromatography, Gas,India,Mutagenicity Tests,Onions,Trichloroethylene,Water,Water Pollutants, Chemical","chemistry,drug effects,genetics,toxicity","D014874 Q000633 NY,D014241 Q000633 NY,D019697 Q000187 NY,D014867 Q000737 NN,D019697 Q000235 NN","962,6575",129735795,Genotoxicity of trichloroethylene in the natural milieu.,"Trichloroethylene (TCE) is a suspected genotoxic and carcinogenic compound which is usually present in the air, soil and water as pollutant. To estimate the genotoxic potential of TCE in a pure chemical form as well as an ingredient of the complex sample, Ames fluctuation test using TA98 and TA100 strains and Allium cepa genotoxicity assay were performed. For the genotoxicity analysis of TCE in natural milieu, the above mentioned tests were performed on the waste waters collected from two different stations",International journal of hygiene and environmental health,"Shams Tabrez, Masood Ahmad"," King Fahd Medical Research Center, King Abdulaziz University, Jeddah 21589, Saudi Arabia.",2012 Apr;215(3):333-8,10.1016/j.ijheh.2011.08.004
23514551,20130101,article,mesh,"Animals,Antioxidants,Female,Irritants,Lipid Peroxidation,Mice,Mice, Inbred BALB C,Oxidative Stress,Skin Diseases,Spirulina,Trichloroethylene","chemically induced,metabolism,pathology,pharmacology,therapy,toxicity","D014241 Q000633 NY,D012871 Q000378 NN,D012871 Q000628 NY,D012871 Q000473 NN,D007509 Q000633 NY,D000975 Q000494 NY,D012871 Q000139 NN",6575,NULL,Antioxidative and therapeutic effects of spirulina on trichloroethylene induced cutaneous irritation balb/c mice.,"OBJECTIVES: To evaluate the antioxidative and therapeutic effects of spirulina on the trichloroethylene induced cutaneous irritation balb/c mice. BACKGROUND: During recent years, an attention has been focused on the antioxidant potential of Spirulina species. METHODS: Balb/c mice were randomized into the four groups. At the end of the each application, the rats were sacrificed and dorsal skin was taken. Histopathologic and immunohistochemical evaluations were conducted, oxidative stress was assessed by the ",Bratislavske lekarske listy,"N Gurbuz, Z K Coskun, S Omeroglu, A C Bayraktar, Z Ciraci"," Laboratory Animal Breeding and Experimental Research Centre, Faculty of Medicine, Gazi University, Ankara, Turkey. neslihan.gurbuz@gazi.edu.tr",2013 Jan;114(4):192-8,NULL
