16327978,20060101,article,"xref,mesh","Choriocarcinoma,DNA-Binding Proteins,Enzyme Activation,Estradiol,Female,Humans,Polychlorinated Dibenzodioxins,Pregnancy,Promoter Regions, Genetic,Proto-Oncogene Proteins c-myc,Receptors, Aryl Hydrocarbon,Telomerase,Teratogens,Tumor Cells, Cultured,Uterine Neoplasms","chemically induced,drug effects,genetics,metabolism,pathology,physiology,toxicity","D002822 Q000235 NY,D019098 Q000378 NY,D016271 Q000502 NN,D014594 Q000473 NN,D004958 Q000502 NY,D014594 Q000235 NY,D004268 Q000378 NN,D002822 Q000139 NY,D013723 Q000633 NY,D002822 Q000473 NN,D014594 Q000139 NY,D018336 Q000187 NN,D000072317 Q000633 NY,D018336 Q000502 NN","5757,15625,35454,37207,154274,49800045","53787986,53788254,127742875,128058739,129506098","Activation of telomerase in BeWo cells by estrogen and 2,3,7,8-tetrachlorodibenzo-p-dioxin in co-operation with c-Myc.","Telomerase activation, known to be stimulated by estrogen, is essential for cellular immortalization and trans-formation, both of which play a role in tumorigenesis. Dioxin and dioxin-like compounds have been shown to induce endometriosis and promote estrogen-dependent tumors. In this study, we show that either 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) or a combination of TCDD and 17-beta estradiol (E2) increase telomerase activity and the expression of the human telomerase catalytic subunit (hTERT) in hum",International journal of oncology,"Poonam Sarkar, Kazuhiro Shiizaki, Junzo Yonemoto, Hideko Sone"," Endocrine Disruptors and Dioxin Research Project, National Institute for Environmental Studies, Tsukuba 305-8506, Japan.",2006 Jan;28(1):43-51,NULL
27663891,20170401,article,"xref,mesh","17-Hydroxysteroid Dehydrogenases,Adult,Animals,Cells, Cultured,Dioxins and Dioxin-like Compounds,Dose-Response Relationship, Drug,Endometriosis,Endometrium,Estradiol,Female,Humans,Inflammation,Mice,Mice, Inbred BALB C,Middle Aged,Polychlorinated Biphenyls,Receptors, Aryl Hydrocarbon","administration &amp; dosage,biosynthesis,chemically induced,cytology,drug effects,metabolism,pathology,toxicity","D004958 Q000096 NN,D000072316 Q000008 NN,D015067 Q000378 NN,D007249 Q000139 NN,D004717 Q000187 NY,D004715 Q000473 NN,D011078 Q000008 NN,D004717 Q000166 NN,D004715 Q000139 NY,D000072316 Q000633 NY,D011078 Q000633 NY,D018336 Q000378 NN,D007249 Q000473 NN","5757,37034,63090,154274,688674,5280914,49800045","53786993,53788187,53789063,53789760,76715551",Dioxin-like rather than non-dioxin-like PCBs promote the development of endometriosis through stimulation of endocrine-inflammation interactions.,"Polychlorinated biphenyls (PCBs) contain 209 congeners with various structure-activities. Exposure to PCBs was related to disorders of female reproduction. Endometriosis (EM) is an estrogen- and inflammation-dependent disease with high prevalence and severe health outcomes. Epidemiological studies have shown the effects of PCBs exposure on EM in regard to various structures of PCBs. However, little evidence is available from the toxicology considering the structure of PCBs. In the study, environmentally rel",Archives of toxicology,"Qiansheng Huang, Yajie Chen, Qionghua Chen, Huanteng Zhang, Yi Lin, Maobi Zhu, Sijun Dong"," Key Lab of Urban Environment and Health, Institute of Urban Environment, Chinese Academy of Sciences, Xiamen, 361021, People's Republic of China. qshuang@iue.ac.cn. Key Lab of Urban Environment and Health, Institute of Urban Environment, Chinese Academy of Sciences, Xiamen, 361021, People's Republic of China. The First Affiliated Hospital of Xiamen University, Xiamen, 361003, People's Republic of China. Key Lab of Urban Environment and Health, Institute of Urban Environment, Chinese Academy of Sciences, Xi",2017 Apr;91(4):1915-1924,10.1007/s00204-016-1854-0
30658268,20190115,article,NULL,NULL,NULL,NULL,NULL,NULL,Long-term airborne dioxin exposure and breast cancer risk in a case-control study nested within the French E3N prospective cohort.,"BACKGROUND: Dioxins, Group 1 carcinogens, are emitted by industrial chlorinated combustion processes and suspected to increase breast cancer risk through receptor-mediated pathways. OBJECTIVES: We estimated breast cancer risk associated with airborne dioxin exposure, using geographic information system (GIS) methods and historical exposure data. METHODS: We designed a case-control study (429 breast cancer cases diagnosed between 1990 and 2008, matched to 716 controls) nested within the E3N (Etude Epidémiolo",Environment international,"Aurélie Marcelle Nicole Danjou, Thomas Coudon, Delphine Praud, Emilie Lévêque, Elodie Faure, Pietro Salizzoni, Muriel Le Romancer, Gianluca Severi, Francesca Romana Mancini, Karen Leffondré, Laure Dossus, Béatrice Fervers"," Département Cancer Environnement, Centre Léon Bérard, 28 rue Laënnec, 69373 Lyon Cedex 08, France; Université de Lyon, Université Claude Bernard Lyon 1, 43 Boulevard du 11 Novembre 1918, 69100 Villeurbanne, France. Electronic address: Aurelie.DANJOU@lyon.unicancer.fr. Département Cancer Environnement, Centre Léon Bérard, 28 rue Laënnec, 69373 Lyon Cedex 08, France; Université de Lyon, Université Claude Bernard Lyon 1, 43 Boulevard du 11 Novembre 1918, 69100 Villeurbanne, France. Electronic address: Thomas.",2019 Jan;124(?):236-248,NULL
18388244,20080701,article,"xref,mesh","Arachidonic Acid,Arachidonic Acids,Boron Compounds,Breast,Calcium Channel Blockers,Cell Line, Transformed,Egtazic Acid,Enzyme Activation,Enzyme Inhibitors,Epithelial Cells,Female,Humans,Nifedipine,Organophosphonates,Phospholipases A2, Cytosolic,Polychlorinated Dibenzodioxins,RNA, Messenger,RNA, Small Interfering,Receptors, Aryl Hydrocarbon,Time Factors,Transfection,src-Family Kinases","analogs &amp; derivatives,analysis,antagonists &amp; inhibitors,cytology,drug effects,metabolism,pharmacology,physiology,secretion","D012333 Q000032 NN,D001940 Q000166 NN,D004533 Q000031 NN,D004533 Q000494 NN,D001896 Q000494 NN,D054510 Q000037 NN,D004789 Q000187 NN,D054510 Q000378 NY,D034741 Q000494 NN,D016718 Q000557 NN,D012333 Q000378 NN,D000072317 Q000494 NY,D009543 Q000494 NN,D016718 Q000032 NN,D004791 Q000494 NN,D002121 Q000494 NN,D018336 Q000378 NN,D019061 Q000378 NY,D004847 Q000502 NN,D001095 Q000494 NN,D063065 Q000494 NN","231,1598,4485,4878,6207,15625,35454,37207,121907,444899,5353761,10017512,23651436,23675453,53442591,53850992,54167661","53787734,53787885,53787986,53788166,53788622,53790042,81065594,99437683,127722233,127742875,127988707,128058739,128087562,128441254,128856633,129872283","Roles of cytosolic phospholipase A2 and Src kinase in the early action of 2,3,7,8-tetrachlorodibenzo-p-dioxin through a nongenomic pathway in MCF10A cells.","2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD, or dioxin) is known to induce rapid inflammatory cellular responses through the mechanism that has not yet been fully elucidated. In this report, we show that in MCF10A cells, an immortalized, normal mammary epithelial cell line, TCDD rapidly activates the enzymatic activity of cytosolic phospholipase A2 (cPLA2) as at-tested to by arachidonic acid release within 15 min, followed by activation of Src kinase and induction of several inflammation markers. Such an acti",Molecular pharmacology,"Bin Dong, Fumio Matsumura"," Department of Environmental Toxicology, University of California, Davis, One Shields Avenue, Davis, CA 95616, USA.",2008 Jul;74(1):255-63,10.1124/mol.107.044669
30703721,20190420,article,NULL,NULL,NULL,NULL,NULL,NULL,Type 3 innate lymphoid cells are altered in colons of C57BL/6 mice with dioxin exposure.,"Type 3 innate lymphoid cells (ILC3s) are distributed in the gut and regulate inflammation by secreting cytokines, including interferon (IFN)-γ and interleukin (IL)-17. The maintenance and function of ILC3s involve the activity of aryl hydrocarbon receptor (AhR), a potent ligand of which is 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD), one of the most toxic dioxin congeners. Thus, TCDD exposure might affect ILC3s. To obtain in vivo evidence supporting this notion, we exposed female C57BL/6 mice orally to TCDD ",The Science of the total environment,"Yunping Li, Heidi Qunhui Xie, Wanglong Zhang, Yunbo Wei, Rui Sha, Li Xu, Jianqing Zhang, Yousheng Jiang, Tai L Guo, Bin Zhao"," State Key Laboratory of Environmental Chemistry and Ecotoxicology, Research Center of Eco-Environment Sciences, Chinese Academy of Sciences, Beijing 100085, China; University of Chinese Academy of Sciences, Beijing 100049, China. State Key Laboratory of Environmental Chemistry and Ecotoxicology, Research Center of Eco-Environment Sciences, Chinese Academy of Sciences, Beijing 100085, China; University of Chinese Academy of Sciences, Beijing 100049, China. State Key Laboratory of Environmental Chemistry and",2019 Apr;662(?):639-645,NULL
25226220,20140101,review,mesh,"Animals,Body Burden,Gas Chromatography-Mass Spectrometry,Halogens,Male,Naphthalenes,Rats,Rats, Wistar,Receptors, Aryl Hydrocarbon","chemistry,drug effects,pharmacokinetics,toxicity","D018336 Q000187 NY,D009281 Q000633 NY,D009281 Q000737 NN,D009281 Q000493 NN,D006219 Q000737 NY",NULL,NULL,The toxicological effects of halogenated naphthalenes: a review of aryl hydrocarbon receptor-mediated (dioxin-like) relative potency factors.,"There is no doubt that chloronaphthalenes (PCNs) and their brominated counterparts (PBNs) are dioxin-like compounds, but there is less evidence for mixed bromo/chloronaphthalenes (PXNs). In this article we review information relating to the dioxin-like potency of PCNs and PBNs obtained in vivo, in vitro, and in silico. The aim was to help and improve the quality of data when assessing the contribution of these compounds in the risk analysis of dioxin-like contaminants in foods and other sample types. In viv","Journal of environmental science and health. Part C, Environmental carcinogenesis & ecotoxicology reviews","Jerzy Falandysz, Alwyn Fernandes, Ewa Gregoraszczuk, Martin Rose"," a University of Gdańsk , Gdańsk , Poland.",2014 Jan;32(3):239-72,10.1080/10590501.2014.938945
8383868,19930201,article,mesh,"Animals,Dose-Response Relationship, Drug,Female,Gene Expression Regulation,Liver Neoplasms, Experimental,Models, Biological,Polychlorinated Dibenzodioxins,Protein Binding,Rats,Rats, Wistar,Receptors, Aryl Hydrocarbon,Receptors, Drug,Risk Factors,Tissue Distribution,Transcriptional Activation,United States,United States Environmental Protection Agency","administration &amp; dosage,chemically induced,drug effects,metabolism,pharmacokinetics,toxicity","D008114 Q000139 NN,D011955 Q000378 NY,D005786 Q000187 NN,D000072317 Q000493 NY,D000072317 Q000633 NY,D000072317 Q000008 NN","15625,37207",NULL,Modeling receptor-mediated processes with dioxin: implications for pharmacokinetics and risk assessment.,"Dioxin (2,3,7,8-tetrachlorodibenzo-p-dioxin; TCDD), a widespread polychlorinated aromatic hydrocarbon, caused tumors in the liver and other sites when administered chronically to rats at doses as low as 0.01 microgram/kg/day. It functions in combination with a cellular protein, the Ah receptor, to alter gene regulation, and this resulting modulation of gene expression is believed to be obligatory for both dioxin toxicity and carcinogenicity. The U.S. EPA is reevaluating its dioxin risk assessment and, as pa",Risk analysis : an official publication of the Society for Risk Analysis,"M E Andersen, J J Mills, M L Gargas, L Kedderis, L S Birnbaum, D Neubert, W F Greenlee"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709.",1993 Feb;13(1):25-36,10.1111/j.1539-6924.1993.tb00726.x
11781075,20020101,article,"xref,mesh","Aconitate Hydratase,Adenosine Triphosphate,Animals,Dioxins,Energy Metabolism,Female,Glutathione,Glutathione Peroxidase,Glutathione Reductase,Hydrogen Peroxide,Indicators and Reagents,Luminol,Mice,Mice, Inbred C57BL,Mitochondria, Liver,Oxidation-Reduction,Oxidative Stress,Proteins,Reactive Oxygen Species,Superoxide Dismutase","drug effects,enzymology,metabolism,pharmacology","D005979 Q000378 NN,D000255 Q000378 NN,D018384 Q000187 NN,D004734 Q000187 NN,D008930 Q000378 NY,D008930 Q000201 NN,D005980 Q000378 NN,D000154 Q000378 NN,D011506 Q000378 NN,D006861 Q000378 NN,D005978 Q000378 NN,D017382 Q000378 NY,D004147 Q000494 NY,D013482 Q000378 NN,D008930 Q000187 NN","784,5957,10638,15126,15625,65359,124341,124886,5461108,18666496,71366967,129660564","53787986,128058739,128125047,129192846,129831439,129915080",Dioxin increases reactive oxygen production in mouse liver mitochondria.,"Dioxin (2,3,7,8-tetrachlorodibenzo-p-dioxin; TCDD) causes an oxidative stress response in liver and several extrahepatic tissues. The subcellular sources and underlying mechanisms of dioxin-induced reactive oxygen, however, are not well understood. In this study, we examined whether mitochondria, organelles that consume the majority of cellular oxygen, might be a source of dioxin-induced reactive oxygen. Female C57BL/6 mice were treated with dioxin (15 microg/kg body wt ip) on 3 consecutive days, and liver ",Toxicology and applied pharmacology,"Albert P Senft, Timothy P Dalton, Daniel W Nebert, Mary Beth Genter, Richard J Hutchinson, Howard G Shertzer"," Department of Environmental Health and Center for Environmental Genetics, University of Cincinnati Medical Center, Cincinnati, Ohio 45267-0056, USA.",2002 Jan;178(1):15-21,10.1006/taap.2001.9314
12906918,20030815,review,"xref,mesh","Animals,Apoptosis,Humans,Lipopolysaccharides,MAP Kinase Signaling System,Oxidative Stress,Polychlorinated Dibenzodioxins,Receptors, Aryl Hydrocarbon,Signal Transduction","drug effects,physiology,toxicity","D018336 Q000502 NY,D008070 Q000633 NN,D020935 Q000502 NY,D018384 Q000187 NY,D000072317 Q000633 NY,D015398 Q000502 NN","15625,35454,37207","127742875,128058739",On the significance of the role of cellular stress response reactions in the toxic actions of dioxin.,"Dioxin is known to cause many toxic effects that vary greatly in different tissues, ages, genders, and species. In this review, an attempt has been made to sort out major signaling pathways involved in the expression of the toxicities of dioxin. The major strategy adopted in analyzing its major signaling pathways is to view the toxic actions of dioxin as the result of the Ah receptor-mediated expression of a major cellular emergency stress response signal. Evidence pointing to the similarities between the s",Biochemical pharmacology,Fumio Matsumura," Department of Environmental Toxicology, University of California, One Shields Avenue, Davis, CA, USA. fmatsumura@ucdavis.edu",2003 Aug;66(4):527-40,10.1016/s0006-2952(03)00157-6
23370907,20130601,review,mesh,"Disease,Gene Expression Regulation,Humans,Polychlorinated Dibenzodioxins,Receptors, Aryl Hydrocarbon,Signal Transduction","drug effects,genetics,metabolism,toxicity","D005786 Q000187 NY,D018336 Q000378 NY,D015398 Q000235 NN,D004194 Q000235 NN,D015398 Q000187 NN,D000072317 Q000633 NY","15625,37207",NULL,The human Ah receptor: hints from dioxin toxicities to deregulated target genes and physiological functions.,"Marked species differences of dioxin toxicity prompted the review of three well-studied human dioxin toxicities (chloracne, inflammation and cancer) and deregulated Ah receptor (AhR) target genes to obtain hints as to the physiological functions of this receptor. Dioxin here stands for 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD). Microarray analysis of dermal cysts from a dioxin-poisoned patient revealed, in addition to induced CYP1A1, increased expression of gremlin, an antagonist of bone morphogenetic prot",Biological chemistry,Karl Walter Bock," Institute of Experimental and Clinical Pharmacology and Toxicology, Department of Toxicology, University of Tübingen, Wilhelmstrasse 56, D-72074 Tübingen, Germany. bock@uni-tuebingen.de",2013 Jun;394(6):729-39,10.1515/hsz-2012-0340
