11055837,20000901,review,mesh,"Administration, Inhalation,Animals,Carcinogens,DNA Adducts,Ethylene Oxide,Glutathione Transferase,Humans,Mice,Mutagenicity Tests,Mutagens,Occupational Exposure,Rats","administration &amp; dosage,drug effects,metabolism,toxicity","D005982 Q000187 NN,D005027 Q000633 YN,D018736 Q000187 NN,D009153 Q000008 YN,D005027 Q000378 YN,D009153 Q000378 YN,D005027 Q000008 YN,D002273 Q000633 YN,D005982 Q000378 NN,D002273 Q000378 YN,D009153 Q000633 YN,D002273 Q000008 YN",6354,NULL,Carcinogenicity and genotoxicity of ethylene oxide: new aspects and recent advances.,"Long-term inhalation studies in rodents have presented unequivocal evidence of experimental carcinogenicity of ethylene oxide, based on the formation of malignant tumors at multiple sites. However, despite a considerable body of epidemiological data only limited evidence has been obtained of its carcinogenicity in humans. Ethylene oxide is not only an important exogenous toxicant, but it is also formed from ethylene as a biological precursor. Ethylene is a normal body constituent; its endogenous formation i",Critical reviews in toxicology,"R Thier, H M Bolt"," Institut für Arbeitsphysiologie an der Universität Dortmund, Germany.",2000 Sep;30(5):595-608,10.1080/10408440008951121
15970455,20050801,article,"xref,mesh","Breast,Cells, Cultured,Comet Assay,DNA Damage,Dose-Response Relationship, Drug,Epithelial Cells,Ethylene Oxide,Female,HeLa Cells,Humans,Keratinocytes,Lymphocytes,Mutagens,Organ Specificity","cytology,drug effects,methods,physiology,toxicity","D004847 Q000187 NY,D001940 Q000166 NN,D015603 Q000187 NN,D001940 Q000187 NY,D005027 Q000633 NY,D008214 Q000502 NN,D006367 Q000187 NN,D015603 Q000502 NN,D020552 Q000379 NN,D004847 Q000502 NN,D008214 Q000187 NN,D009153 Q000633 NN",6354,128141679,Increased genotoxic susceptibility of breast epithelial cells to ethylene oxide.,"This study was carried out with the aim of elucidating the organ-specific effects of ethylene oxide in comparison with the sensitivity of cells from different tissues. An increased incidence of leukemia and lymphoma has been observed in workers exposed to ethylene oxide. However, contradictory findings exist regarding its ability to induce other tumor types, such as breast cancer. We characterized the genotoxicity of ethylene oxide by means of the alkaline version of comet assay in in vitro systems, in orde",Mutation research,"Balázs Adám, Helga Bárdos, Róza Adány"," Department of Preventive Medicine, School of Public Health, Medical and Health Science Center, University of Debrecen, P.O. Box 9, H-4012, Debrecen, Hungary.",2005 Aug;585(?):120-6,10.1016/j.mrgentox.2005.04.009
7623871,19950801,review,mesh,"Animals,Dose-Response Relationship, Drug,Ethylene Oxide,Female,Genes, Dominant,Germ Cells,Germ-Line Mutation,Humans,Hypoxanthine Phosphoribosyltransferase,Male,Mice,Models, Genetic,Mutagenicity Tests,Mutagens,Occupational Exposure,Rats,Risk Assessment,Sister Chromatid Exchange,Species Specificity,Translocation, Genetic","adverse effects,drug effects,genetics,methods,standards,toxicity","D009152 Q000379 YN,D016273 Q000009 NN,D005027 Q000633 NY,D007041 Q000235 NN,D009152 Q000592 YN,D005854 Q000187 NN,D009153 Q000633 NY",6354,NULL,Ethylene oxide: evaluation of genotoxicity data and an exploratory assessment of genetic risk.,"A risk estimate of the heritable effects of ethylene oxide exposure, using the parallelogram approach, as suggested by Frits Sobels, is described. The approach is based on available data on the ethylene oxide-induced responses for the same genetic endpoint in somatic cells of both laboratory animals and humans, and for germ cell mutations in the same laboratory animal. Human germ cell effects are estimated. The available data sets for this approach were evaluated. We consider this as complementary to the ge",Mutation research,"A T Natarajan, R J Preston, V Dellarco, L Ehrenberg, W Generoso, S Lewis, A D Tates"," Department of Radiation Genetics and Chemical Mutagenesis, State University of Leiden, The Netherlands.",1995 Aug;330(?):55-70,10.1016/0027-5107(95)00036-i
8092925,19940101,article,mesh,"Air Pollutants, Occupational,Animals,Cell Line,Cricetinae,Cricetulus,DNA,DNA Damage,Ethylene Oxide,Female,Humans,Leukocytes, Mononuclear,Male","adverse effects,drug effects","D004247 Q000187 NY,D005027 Q000009 NY,D000395 Q000009 NY,D007963 Q000187 NN","6354,44135672",NULL,Genotoxic risk for humans due to work place exposure to ethylene oxide: remarkable individual differences in susceptibility.,Single strand breaks of DNA of peripheral mononuclear blood cells from 97 male and female workers occupationally exposed to ethylene oxide were analysed by the alkaline elution method. These individuals were occupied with the sterilization of medical devices in hospitals and in commercial plants. Ethylene oxide in the air of the working areas was detected up to a maximal concentration of 16.5 mg/m3 calculated as 4-h time-weighted average (4h TWA). Mean value was 1.47 +/- 0.52 mg/m3 (1 mg/m3 = 0.55 ppm). Com,Archives of toxicology,"J Fuchs, U Wullenweber, J G Hengstler, H G Bienfait, G Hiltl, F Oesch"," Institute of Toxicology, University of Mainz, Germany.",1994 Jan;68(6):343-8,10.1007/s002040050080
8678892,19960712,review,mesh,"Animals,Carcinogens,DNA,Ethylene Oxide,Guanine,Hemoglobins,Humans,Valine","analogs &amp; derivatives,analysis,chemistry,toxicity","D006147 Q000031 NN,D006454 Q000737 NN,D002273 Q000633 NN,D005027 Q000633 NY,D014633 Q000032 NN,D014633 Q000031 NN,D002273 Q000032 NY,D006147 Q000032 NN,D004247 Q000737 NN","764,6287,6354,105076,107912,44135672",NULL,Quantification of endogenous carcinogens. The ethylene oxide paradox.,"Although ethylene oxide is a proven genotoxic carcinogen in experimental animals, its human carcinogenicity is still being debated. Alkylations (hydroxyethylation) of DNA and proteins by ethylene oxide are well established. Ethylene oxide is metabolically formed from ethylene, which is a natural body constituent. Thus, endogenous sources of ethylene/ethylene oxide contribute to background alkylations of physiological macromolecules. There are now experimentally well established data sets on the background h",Biochemical pharmacology,H M Bolt," Institut für Arbeitsphysiologie, Universität Dortmund, Germany. bolt@arbphys.uni-dortmund.de",1996 Jul;52(1):1-5,10.1016/0006-2952(96)00085-8
2698440,19890101,review,mesh,"Air Pollutants, Occupational,Animals,Brain Neoplasms,Chromosome Aberrations,Ethylene Oxide,Gastrointestinal Neoplasms,Humans,Leukemia,Mice,Occupational Diseases,Poland,Rats","adverse effects,chemically induced,genetics","D005027 Q000009 NY,D005770 Q000139 NY,D001932 Q000139 NY,D000395 Q000009 NY,D009784 Q000235 NN,D009784 Q000139 NY,D007938 Q000139 NY",6354,NULL,[Results of the exposure to ethylene oxide with special reference to its carcinogenic and hematotoxic effects].,"The aim of the present paper is to present a review of the effects of exposure to ethylene oxide. Carcinogenic and genotoxic effects of this gas are particularly dangerous for medical staff employed at nonthermal sterilizing of medical equipment. In these workers ethylene oxide induces various chromosomal aberrations, an increased sister chromatid exchange frequency and leukemias, alimentary tract tumors and urogenital malignancies incidence. Moreover, in patients dialysed using ethylene oxide sterilized eq",Medycyna pracy,"M Rucińska, J Lisiewicz"," Krakowskiego Specjalistycznego Szpitala B w budowie, Krakowie.",1989 Jan;40(6):381-9,NULL
7506366,19940116,article,mesh,"Acetaldehyde,Cross-Linking Reagents,DNA,DNA Damage,DNA-Binding Proteins,Endopeptidase K,Ethylene Oxide,Humans,Leukocytes, Mononuclear,Mutagens,Serine Endopeptidases,Ultrafiltration","analogs &amp; derivatives,chemistry,drug effects,methods,toxicity","D012697 Q000737 NN,D004247 Q000187 NY,D000079 Q000633 NN,D014462 Q000379 NN,D005027 Q000633 NY,D003432 Q000633 NN,D004268 Q000187 NN,D000079 Q000031 NY,D004268 Q000737 NN,D007963 Q000187 NN,D009153 Q000633 NY,D004247 Q000737 NN","177,756,6354,44135672",NULL,Glycolaldehyde causes DNA-protein crosslinks: a new aspect of ethylene oxide genotoxicity.,"After in vitro incubation of human peripheral mononuclear blood cells with glycolaldehyde (a putative metabolite of ethylene oxide) for 2 h at 37 degrees C, a dose-dependent increase in DNA crosslinks was observed in a dose range between 1 and 10 mM using the alkaline filter elution technique. The elution rate of mononuclear blood cells after treatment with ionizing radiation (600 cGy) was reduced more than 5-fold if cells were incubated with 10 mM glycolaldehyde for 2 h. After treatment with proteinase K D",Mutation research,"J G Hengstler, J Fuchs, S Gebhard, F Oesch"," Institute of Toxicology, University of Mainz, Germany.",1994 Jan;304(2):229-34,10.1016/0027-5107(94)90215-1
9435884,19970101,article,mesh,"Animals,Cell Line,Cricetinae,Cricetulus,DNA Damage,Epoxide Hydrolases,Epoxy Compounds,Ethylene Oxide,Humans,Lung,Microscopy, Fluorescence,Microsomes","cytology,drug effects,enzymology,metabolism,toxicity","D008861 Q000201 NN,D004852 Q000633 NY,D005027 Q000633 NY,D004851 Q000378 NY,D005027 Q000378 NN,D008168 Q000166 NN,D004852 Q000378 NN,D002460 Q000187 NN","6354,7276",NULL,Recombinant expression of human microsomal epoxide hydrolase protects V79 Chinese hamster cells from styrene oxide- but not from ethylene oxide-induced DNA strand breaks.,"Styrene 7,8-oxide and ethylene oxide are widely used genotoxic bulk chemicals, which have been associated with potential carcinogenic hazard for occupationally exposed workers. Both epoxides alkylate DNA preferentially at the N-7 position of guanine and consequently produce single-strand breaks and alkali labile sites in the DNA of exposed cells. In order to study the role of human microsomal epoxide hydrolase (hmEH) in protecting cells against genotoxicity of styrene 7,8-oxide and ethylene oxide, we expres",Environmental and molecular mutagenesis,"M E Herrero, M Arand, J G Hengstler, F Oesch"," Institute of Toxicology, University of Mainz, Germany.",1997 Jan;30(4):429-39,10.1002/(sici)1098-2280(1997)30:4&lt;429::aid-em8&gt;3.0.co;2-d
7688081,19930801,article,mesh,"Animals,Bone Marrow,Chromosome Aberrations,Epoxy Compounds,Ethylene Oxide,Female,Mice,Micronuclei, Chromosome-Defective,Radiation Dosage,Sister Chromatid Exchange","drug effects,radiation effects,toxicity,ultrastructure","D001853 Q000648 NN,D048629 Q000187 NY,D004852 Q000633 NY,D005027 Q000633 NY,D001853 Q000528 NN,D012854 Q000187 NY,D001853 Q000187 NY","6354,6378",NULL,Genotoxic effects of ethylene oxide and propylene oxide in mouse bone marrow cells.,"Ethylene oxide and propylene oxide are high-volume reactive alkylating agents used primarily as intermediates in the chemical industry. Studies were undertaken to investigate the ability of these alkylating agents to induce chromosomal aberrations, micronuclei and sister-chromatid exchanges in mouse bone marrow cells. The mice were exposed to these chemicals by intraperitoneal injection. The data show that both compounds are effective in inducing chromosomal alterations. Our studies confirm the findings rep",Mutation research,"Z Farooqi, M Törnqvist, L Ehrenberg, A T Natarajan"," Department of Radiation Genetics and Chemical Mutagenesis, State University of Leiden, The Netherlands.",1993 Aug;288(2):223-8,10.1016/0027-5107(93)90088-w
9618046,19980101,article,mesh,"Biomarkers, Tumor,Breast Neoplasms,Breast Neoplasms, Male,Ethylene Oxide,Female,Gene Expression Regulation, Neoplastic,Genes, Tumor Suppressor,Genes, p53,Genes, ras,Humans,Male,Oncogenes","adverse effects,blood,chemically induced,drug effects,genetics","D018567 Q000139 NN,D001943 Q000139 NN,D005027 Q000009 NY,D011905 Q000187 NN,D018567 Q000235 NN,D016158 Q000187 NN,D009857 Q000187 NY,D015972 Q000187 NY,D014408 Q000097 NY,D001943 Q000235 NN,D016147 Q000187 NY",6354,NULL,Oncogene and suppressor gene expression as a biomarker for ethylene oxide exposure.,"Ethylene oxide is a proven genotoxic chemical, and there is lots of evidence suggesting its carcinogenic effects in humans. The unexpected massive appearance of a certain tumorous cluster in personnel exposed to ethylene oxide in a Hungarian county hospital focused attention on the effects of this toxic gas. Since we had developed an animal model for the investigation of alterations in onco/suppressor gene expression due to external carcinogenic agents, and this model had already been used to evaluate the c",Cancer detection and prevention,"I Ember, I Kiss, G Gombköto, E Müller, M Szeremi"," Department of Preventive Medicine, University Medical School of Pécs, Hungary.",1998 Jan;22(3):241-5,10.1046/j.1525-1500.1998.0oa24.x
