10592316,19991129,article,mesh,"Aniline Compounds,Carcinogens,Chromosomes,DNA, Fungal,Dose-Response Relationship, Drug,Free Radicals,Mutagenicity Tests,Recombination, Genetic,Saccharomyces cerevisiae,Salmonella,Toluidines","drug effects,genetics,metabolism,toxicity","D005609 Q000378 NN,D012475 Q000235 NN,D002875 Q000187 NY,D002875 Q000378 NN,D004271 Q000187 NN,D012441 Q000187 NN,D004271 Q000235 NN,D002273 Q000633 NY,D012441 Q000378 NY,D011995 Q000187 NY,D012441 Q000235 NY,D014052 Q000633 NY,D000814 Q000633 NY","7000,7242,8638,12484",NULL,The aromatic amine carcinogens o-toluidine and o-anisidine induce free radicals and intrachromosomal recombination in Saccharomyces cerevisiae.,"Aniline-based aromatic amine carcinogens are poorly detected in short-term mutagenicity assays such as the Salmonella reverse mutation (Ames) assay. More information on the mechanism of toxicity of such Salmonella-negative carcinogens is needed. Aniline and o-toluidine are negative in the Ames assay, but induce deletions (DEL) due to intrachromosomal recombination in Saccharomyces cerevisiae with an apparent threshold. We show here that the DEL assay also detects the genotoxic activity of another aromatic a",Mutation research,"R J Brennan, R H Schiestl"," Department of Cancer Cell Biology, Division of Toxicology, Harvard School of Public Health, 665 Huntington Ave., Boston, MA 02115-6021, USA. rbrennan@osip.com",1999 Nov;430(1):37-45,10.1016/s0027-5107(99)00118-9
8830805,19960801,article,mesh,"Animals,Cell Line,Chlorphenamidine,Chromosome Aberrations,Coloring Agents,Cricetinae,Humans,Insecticides,Lymphocytes,Salmonella typhimurium,Sister Chromatid Exchange,Toluidines","drug effects,genetics,toxicity","D007306 Q000633 NN,D004396 Q000633 NN,D008214 Q000187 NY,D012486 Q000235 NN,D012486 Q000187 NY,D002742 Q000633 NN,D012854 Q000187 NY,D014052 Q000633 NY","7251,18487,22544",NULL,"Genotoxicity of 4-chloro-o-toluidine in Salmonella typhimurium, human lymphocytes and V79 cells.","In the absence of a metabolizing system (S9 mix) 4-chloro-o-toluidine (4-COT) was found to be ineffective in a combination of assays for gene mutations in Salmonella typhimurium, for chromosome aberrations and sister chromatide exchanges in human lymphocytes, and for the induction of spindle disturbances in V79 Chinese hamster cells. In the presence of S9, 4-COT was also ineffective in producing structural or numerical changes in mammalian cells, but the yields of 4-COT induced revertants in S. typhimurium ",Mutation research,"W Göggelmann, M Bauchinger, U Kulka, E Schmid"," Institut für Toxikologie and Institut für Strahlenbiologie, GSF-Forschungszentrum für Umwelt und Gesundheit, Oberschleissheim, Germany.",1996 Aug;370(1):39-47,NULL
2583129,19890101,article,mesh,"Animals,Bone Marrow,Carcinogens,Chromosome Aberrations,Erythrocytes,Male,Mice,Micronuclei, Chromosome-Defective,Micronucleus Tests,Phenylenediamines,Pyridines,Sister Chromatid Exchange,Structure-Activity Relationship,Toluidines,ortho-Aminobenzoates","analysis,drug effects,toxicity,ultrastructure","D001853 Q000648 NN,D002273 Q000032 NN,D062367 Q000633 NN,D010655 Q000633 NN,D014052 Q000633 NN,D002273 Q000633 NY,D011725 Q000633 NN,D001853 Q000187 NY,D004912 Q000187 NN","7242,7263,12484,18358,23394,581866,5111791",NULL,"Assays of three carcinogen/non-carcinogen chemical pairs for in vivo induction of chromosome aberrations, sister chromatid exchanges and micronuclei.","Three pairs of structurally similar carcinogenic/non-carcinogenic chemicals were tested for in vivo genotoxic activity in B6C3F1 mice. The carcinogenic/non-carcinogenic pairs, respectively, were o-toluidine hydrochloride/o-anthranilic acid, 4-chloro-o-phenylenediamine/4-nitro-o-phenylenediamine, and 3-(chloromethyl)pyridine hydrochloride/2-(chloromethyl)pyridine hydrochloride. Bone marrow cells from mice given intraperitoneal injections of up to the maximum tolerated dose were evaluated for chromosomal aber",Environmental and molecular mutagenesis,"A F McFee, P P Jauhar, K W Lowe, J T MacGregor, C M Wehr"," Medical Sciences Division, Oak Ridge Associated Universities, Tennessee 37831-0117.",1989 Jan;14(4):207-20,10.1002/em.2850140402
6371114,19840201,article,mesh,"Amidines,Animals,Chlorphenamidine,DNA Repair,Escherichia coli,Guinea Pigs,Mice,Mutagenicity Tests,Mutagens,Rats,Salmonella typhimurium","drug effects,genetics,toxicity","D002742 Q000633 NY,D004260 Q000187 NY,D012486 Q000235 NY,D000578 Q000633 NY,D004926 Q000235 NY",22544,NULL,Evaluation of chlordimeform and degradation products for mutagenic and DNA-damaging activity in Salmonella typhimurium and Escherichia coli.,"The mutagenic activity of chlordimeform and two of its breakdown products, 4-chloro-o-toludine and 4-chloro-N-formyl-o-toluidine were determined with five histidine dependent strains of Salmonella typhimurium (TA1535, TA1537, TA1538, TA98, TA100) and five tryptophan dependent strains of E. coli WP2 (WP2, WP2uvrA, WP67, CM611, CM571) with and without rat liver microsomal enzymes. 4-chloro-o-toluidine increased the number of the reversions of the S. typhimurium strain TA1535 more than two fold over spontaneou","Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes","K A Rashid, C D Ercegovich, R O Mumma",NULL,1984 Feb;19(1):95-110,10.1080/03601238409372417
17067997,20061101,article,"xref,mesh","Aniline Compounds,Arylamine N-Acetyltransferase,Cytochrome P-450 CYP1A2,DNA Damage,Humans,Indoles,Isoenzymes,Microsomes, Liver,Mutagenicity Tests,Mutagens,Phthalazines,Pyridines,Salmonella typhimurium,Toluidines,beta-Galactosidase","drug effects,enzymology,genetics,metabolism,toxicity","D011725 Q000633 NY,D001191 Q000235 NN,D010793 Q000633 NY,D007527 Q000235 NN,D012486 Q000201 NN,D014052 Q000633 NN,D000814 Q000633 NN,D012486 Q000235 NN,D019388 Q000235 NN,D019388 Q000378 NY,D001616 Q000378 NN,D004249 Q000187 NN,D001191 Q000378 NY,D008862 Q000201 NN,D012486 Q000187 NY,D007211 Q000633 NY,D007527 Q000378 NY,D008862 Q000187 NN,D009153 Q000633 NN","6115,7242,8870,12484,64961,68330,95014,154224,459150,581866,5281404,6452955,13000444,54289232,69911550,90743350,90901259","53790838,127410496,128113812,128889888,128960751,129156184,129191182,243084100,244148600,245360961","Activation of aminophenylnorharman, aminomethylphenylnorharman and aminophenylharman to genotoxic metabolites by human N-acetyltransferases and cytochrome P450 enzymes expressed in Salmonella typhimurium umu tester strains.","Norharman (9H-pyrido[3,4-b]indole) and harman (1-methyl-9H-pyrido[3,4-b]indole) contained in cigarette smoke and cooked foodstuffs, are non-mutagenic to Salmonella strains, but show co-mutagenicity with S9 mixture in the presence of aniline or o-toluidine. The resulting 9-(4'-aminophenyl)-9H-pyrido[3,4-b]indole (aminophenylnorharman, APNH), 9-(4'-amino-3'-methylphenyl)-9H-pyrido[3,4-b]indole (aminomethylphenylnorharman, AMPNH) and 9-(4'-aminophenyl)-1-methyl-9H-pyrido[3,4-b]indole (aminophenylharman, APH) a",Mutagenesis,"Yoshimitsu Oda, Yukari Totsuka, Keiji Wakabayashi, F Peter Guengerich, Tsutomu Shimada"," Osaka Prefectural Institute of Public Health, 3-69 Nanakichi 1-chome, Higashinari-ku, Osaka 537-0025, Japan. ysoda@iph.pref.osaka.jp",2006 Nov;21(6):411-6,10.1093/mutage/gel047
7925328,19940101,article,mesh,"Animals,Carcinogens,Drosophila melanogaster,Eye Color,Female,Male,Mosaicism,Mutagenicity Tests","drug effects,genetics,toxicity","D004331 Q000235 NN,D002273 Q000633 NY,D005127 Q000235 NN,D004331 Q000187 NY",NULL,NULL,Further studies with the somatic white-ivory system of Drosophila melanogaster: genotoxicity testing of ten carcinogens.,"To provide further background data for the white-ivory somatic mutation Drosophila assay, ten selected carcinogens (acetamide, acrylamide, benzo(alpha)pyrene, cyclophosphamide, diethylstilbestrol, 4-nitroquinoline N-oxide, propyleneimine, safrole, thiourea, and o-toluidine) have been tested in this system. Seventy-two hours after egg laying, larvae were fed with different concentrations of each carcinogen during the rest of their development until pupation, and the genotoxic effects were measured as signifi",Environmental and molecular mutagenesis,"M Batiste-Alentorn, N Xamena, A Creus, R Marcos"," Departament de Genètica i de Microbiologia, Facultat de Ciències, Universitat Autònoma de Barcelona, Bellaterra, Cerdanyola del Vallès, Spain.",1994 Jan;24(2):143-7,10.1002/em.2850240210
10521689,19990915,article,mesh,"Amines,Benzene,Bleomycin,Cell Line,Cell Survival,Chlorides,Chromates,Chromium Compounds,Cisplatin,Cytarabine,DNA,DNA Damage,DNA Repair,Diethylstilbestrol,Dose-Response Relationship, Drug,Electrophoresis, Agar Gel,Heterocyclic Compounds,Humans,Hydroxyurea,Lindane,Methylnitronitrosoguanidine,Mutagenicity Tests,Nitro Compounds,Nucleic Acid Synthesis Inhibitors,Polycyclic Aromatic Hydrocarbons,Radiation, Ionizing,Reproducibility of Results,Sensitivity and Specificity,Sodium Compounds,Sucrose","drug effects,genetics,methods,pharmacology,radiation effects,toxicity","D002840 Q000633 NN,D001761 Q000633 NN,D002470 Q000187 NN,D004247 Q000187 NN,D001554 Q000633 NN,D000588 Q000633 NN,D017608 Q000633 NN,D011084 Q000633 NN,D004260 Q000187 NY,D006918 Q000494 NY,D013395 Q000494 NN,D006571 Q000633 NN,D004247 Q000528 NN,D004247 Q000235 NN,D001556 Q000633 NN,D017670 Q000633 NN,D002712 Q000633 NN,D004054 Q000633 NN,D019384 Q000494 NY,D008769 Q000633 NN,D004587 Q000379 NY,D003561 Q000494 NY,D009574 Q000633 NN,D002945 Q000633 NN","241,312,596,3657,5988,6252,6253,24488,24871,72466,84068,84691,114682,441203,448537,456190,3080662,5351180,5360373,5460769,5496540,9562060,12358851,12900288,20331539,21864427,44135672,46930981,54608728,57336513,57417070,69621045,71587153,102601374,122172957,124080914,133562634,133562635",NULL,The DNA repair inhibitors hydroxyurea and cytosine arabinoside enhance the sensitivity of the alkaline single-cell gel electrophoresis ('comet') assay in metabolically-competent MCL-5 cells.,"We have found previously that the metabolically-competent human MCL-5 cell line did not appear to be usefully sensitive to the DNA-damaging effects of several carcinogens, as measured by the alkaline single-cell gel electrophoresis ('comet') assay. We therefore sought to increase its sensitivity by inhibiting DNA repair during exposure to test compounds, using 10 mM hydroxyurea (HU) and 1.8 mM cytosine arabinoside (ara-C), which inhibit DNA resynthesis during nucleotide excision repair. The following compou",Mutation research,"F L Martin, K J Cole, M H Orme, P L Grover, D H Phillips, S Venitt"," Institute of Cancer Research, Haddow Laboratories, Cotswold Rd., Sutton, UK. flmartin@icr.ac.uk",1999 Sep;445(1):21-43,10.1016/s1383-5718(99)00116-3
6738568,19840601,article,mesh,"Animals,Azo Compounds,Cells, Cultured,Coloring Agents,Cricetinae,DNA Repair,In Vitro Techniques,Liver,Male,Mesocricetus,Mutagenicity Tests,Mutagens,Oxidation-Reduction,Rats,Rats, Inbred Strains,Species Specificity,Structure-Activity Relationship","drug effects,metabolism,toxicity","D008099 Q000187 NY,D001391 Q000633 NY,D008099 Q000378 NN,D004396 Q000633 NY",NULL,NULL,Comparison of 7 azo dyes and their azo reduction products in the rat and hamster hepatocyte primary culture/DNA-repair assays.,"Pursuant to the characterization of species differences in the effects of chemical carcinogens, several studies have demonstrated that hamster hepatocytes are more effective than rat hepatocytes in mediating the metabolic activation of certain chemicals to their genotoxic (i.e., mutagenic) derivatives. In the present investigation, a comparison of the amount of DNA repair induced in rat and hamster hepatocytes by 7 azo dyes and 7 aromatic amine azo reduction products of the dyes was performed using the prim",Mutation research,"D J Kornbrust, T R Barfknecht",NULL,1984 Jun;136(3):255-66,10.1016/0165-1218(84)90059-4
2654548,19890101,article,mesh,"Animals,Carcinogenicity Tests,Carcinogens, Environmental,Environmental Monitoring,Erythrocytes,Larva,Micronucleus Tests,Mutagens,Mutation,Pleurodeles,Salamandridae,Water Pollutants,Water Pollutants, Chemical","analysis,blood,drug effects,physiology,toxicity","D014874 Q000633 NY,D014873 Q000633 NY,D002274 Q000633 NY,D012455 Q000097 NN,D012455 Q000502 NY,D007814 Q000187 NN,D004912 Q000032 NN,D009153 Q000633 NY",NULL,NULL,Use of newt larvae for in vivo genotoxicity testing of water: results on 19 compounds evaluated by the micronucleus test.,"The micronucleus test using erythrocytes of Pleurodeles waltl larvae (Amphibian, Salamandridae) was used to detect the genotoxic activity of various substances. Most of them were known (or suspected) to be mutagenic or carcinogenic in mammals. Larvae were reared in water containing either a test chemical (experimental group) or in control water and the levels of micronucleated red blood cells (RBCs) compared between the two groups. Aroclor 1254, butylated hydroxyanisole, phenobarbital and 12-O-tetradecanoyl",Mutagenesis,"M Fernandez, L Gauthier, A Jaylet"," Centre de Biologie du Développement, UA No. 675 (CNRS), Université Paul Sabatier, Toulouse, France.",1989 Jan;4(1):17-26,10.1093/mutage/4.1.17
3317033,19871201,article,mesh,"Biotransformation,Carcinogens,DNA Repair,Genes, Bacterial,Mutagenicity Tests,Mutagens,SOS Response (Genetics),Salmonella typhimurium,Structure-Activity Relationship","drug effects,genetics,pharmacokinetics","D002273 Q000493 YN,D004260 Q000187 NY,D012486 Q000235 NY,D013014 Q000187 NY,D009153 Q000493 YN",NULL,NULL,SOS-inducing activity of chemical carcinogens and mutagens in Salmonella typhimurium TA1535/pSK1002: examination with 151 chemicals.,"The umu test system is a newly developed method to evaluate genotoxic activities of a wide variety of environmental carcinogens and mutagens (Oda et al., 1985). In the present study, we further examined the abilities of 151 chemicals to induce umu gene expression in Salmonella typhimurium TA1535/pSK1002. Among the chemicals examined, 72 compounds induced umu gene expression, which could be defined on a basis of increased beta-galactosidase activity by 2-fold over the background level. The potent genotoxic c",Mutation research,"S I Nakamura, Y Oda, T Shimada, I Oki, K Sugimoto"," Osaka Prefectural Institute of Public Health, Japan.",1987 Dec;192(4):239-46,10.1016/0165-7992(87)90063-7
