9863065,19971101,article,mesh,"Air Pollutants,DNA Damage,Electrophoresis, Agar Gel,Formaldehyde,HL-60 Cells,Humans,Hydroxybutyrates,Methyl Ethers,Mutagenicity Tests,tert-Butyl Alcohol","drug effects,metabolism,methods,toxicity","D018922 Q000378 NN,D006885 Q000633 NN,D005557 Q000633 NN,D018922 Q000187 NY,D000393 Q000633 NY,D020002 Q000633 NY,D008738 Q000633 NY,D004587 Q000379 NN","712,6386,15413",NULL,[Cytotoxicity and genotoxicity of methyl tert-butyl ether and its metabolite to human leukemia cells].,"DNA damage of human leukemia (HL-60) cells caused by methyl tert-butyl ether (MTBE), a new gasoline additive, and its metabolites tert-butyl alcohol (TBA), a-hydroxyisobutyric acid (HIBA) and formaldehyde was determined by single cell gel electrophoresis (SCGE), with release of lactate dehydrogenase as an indicator for evaluating its cytotoxicity. Results showed that MTBE, TBA and HUBA at levels of 1 to 30 mmol/L could cause DNA damage in a dose-dependent pattern. Formaldehyde at level of 5 mumol/L could ca",Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],"G Tang, J Wang, Z Zhuang"," Faculty of Public Health, Xi'an Medical University.",1997 Nov;31(6):334-7,NULL
15450719,20041001,article,"xref,mesh","Acetates,Animals,California,Carcinogenicity Tests,Carcinogens,DNA Damage,Female,Inhalation Exposure,Kidney Neoplasms,Male,Mice,Mutagenicity Tests,No-Observed-Adverse-Effect Level,Rats,Rats, Sprague-Dawley,Risk Assessment,Sex Factors,Species Specificity,State Government,Thyroid Neoplasms,Toxicity Tests, Acute,tert-Butyl Alcohol","administration &amp; dosage,adverse effects,chemically induced,classification,metabolism,methods,standards,toxicity","D000085 Q000633 NY,D013964 Q000139 NN,D023382 Q000379 NY,D002273 Q000633 NY,D019570 Q000592 NN,D009152 Q000379 NN,D018570 Q000379 NY,D020002 Q000633 NN,D000085 Q000378 NN,D000085 Q000008 NN,D015197 Q000379 NN,D019570 Q000009 NN,D007680 Q000139 NN,D020002 Q000008 NN,D020002 Q000378 NN,D009152 Q000145 NN","176,6386,10908","127746861,129071275,129603235",Acute toxicity and cancer risk assessment values for tert-butyl acetate.,"tert-Butyl acetate (TBAc) is an industrial chemical with potential uses as a degreaser and in architectural coatings. Limited chronic toxicity data exist for TBAc. However, acute inhalation exposure data are available for TBAc. Additionally, TBAc has been demonstrated to be substantially metabolized to tert-butanol (TBA) in rats, and a positive TBA genotoxicity study suggests that TBA may cause oxidative DNA damage. TBA has been shown to induce tumors in both rats and mice, and the Office of Environmental H",Regulatory toxicology and pharmacology : RTP,"John D Budroe, Joseph P Brown, Andrew G Salmon, Melanie A Marty"," Air Toxicology and Epidemiology Section, Office of Environmental Health Hazard Assessment, California Environmental Protection Agency, 1515 Clay Street, 16th Floor, Oakland, CA 94612, USA. jbudroe@oehha.ca.gov",2004 Oct;40(2):168-76,10.1016/j.yrtph.2004.07.001
29134718,20180201,article,"xref,mesh","Animals,Antioxidants,Cell Line, Tumor,Cell Survival,Glutathione,Glutathione Reductase,Malondialdehyde,Mice,Microscopy, Fluorescence,Oxidative Stress,RNA Interference,RNA, Small Interfering,Reactive Oxygen Species,Sirtuin 1,Superoxide Dismutase,tert-Butyl Alcohol","antagonists &amp; inhibitors,drug effects,genetics,metabolism,pharmacology","D008315 Q000378 NN,D056564 Q000235 NN,D056564 Q000378 NY,D002470 Q000187 NN,D017382 Q000378 NN,D005980 Q000378 NN,D018384 Q000187 NY,D020002 Q000494 NY,D005978 Q000378 NN,D000975 Q000494 NY,D056564 Q000037 NN,D013482 Q000378 NN,D034741 Q000378 NN","6386,10964,124886,25232708","53787197,53787229,57309692,134222475",SIRT1 exhibits antioxidative effects in HT22 cells induced by tert-butyl alcohol.,"Tertiary butyl alcohol (TBA) is a principal metabolite of methyl tertiary-butyl ether (MTBE), a common pollutant worldwide in the ground or underground water, which is found to produce nervous system damage. Nevertheless, few data regarding the effects of TBA has been reported. Studies indicated that oxidative stress plays a pivotal role in MTBE neurotoxic mechanism. Sirtuin 1 (SIRT1) has been reported to exert a neuroprotective effect on various neurologic diseases via resistance to oxidative stress by dea",Environmental toxicology,"Junxiang Ma, Dongmei Song, Yuanyuan Zhang, Li Chen, Shixuan Zhang, Jiaxin Jia, Tian Chen, Caixia Guo, Lin Tian, Ai Gao, Piye Niu"," School of Public Health, Capital Medical University, Xitoutiao Road 10, You'anmenwai Street, Beijing, 100069, China. Beijing Key Laboratory of Environmental Toxicology, School of Public Health, Capital Medical University, Xitoutiao Road 10, You'anmenwai Street, Beijing, 100069, China. School of Public Health, Capital Medical University, Xitoutiao Road 10, You'anmenwai Street, Beijing, 100069, China. Beijing Key Laboratory of Environmental Toxicology, School of Public Health, Capital Medical University, Xit",2018 Feb;33(2):142-148,10.1002/tox.22499
17305404,20070201,article,"xref,mesh","Alcohol Oxidoreductases,Aldehyde Reductase,Aldo-Keto Reductases,Alkylation,Animals,Antioxidants,Chromatography, Liquid,Dose-Response Relationship, Drug,Electrophoresis, Gel, Two-Dimensional,Indolequinones,Inflammation,Injections, Intraperitoneal,Lung Neoplasms,Male,Mass Spectrometry,Mice,Mice, Inbred BALB C,Molecular Structure,Peroxidases,Peroxiredoxin VI,Peroxiredoxins,Phenols,Reactive Oxygen Species,Selenium-Binding Proteins,Sensitivity and Specificity,Superoxide Dismutase","administration &amp; dosage,antagonists &amp; inhibitors,chemically induced,chemistry,metabolism,methods,pharmacology,toxicity","D010636 Q000378 NY,D013058 Q000379 NN,D051137 Q000378 NN,D010544 Q000737 NY,D000975 Q000378 NN,D002853 Q000379 NN,D017382 Q000378 NN,D045563 Q000494 NN,D000429 Q000737 NY,D007249 Q000139 NN,D045563 Q000378 NN,D000429 Q000378 NN,D051137 Q000037 NN,D015180 Q000379 NN,D010544 Q000037 NN,D010636 Q000008 NN,D008175 Q000139 NY,D013482 Q000037 NN,D000429 Q000037 NN,D013482 Q000737 NY,D000975 Q000737 NY,D051137 Q000737 NN,D045563 Q000737 NN,D013482 Q000378 NN,D010636 Q000633 NN,D010544 Q000378 NN","702,1674,5884,31404,20832823","128482492,128721756,128950209,136210299","Mechanistic basis for inflammation and tumor promotion in lungs of 2,6-di-tert-butyl-4-methylphenol-treated mice: electrophilic metabolites alkylate and inactivate antioxidant enzymes.","An established model for mechanistic analysis of lung carcinogenesis involves administration of 3-methylcholanthrene to mice followed by several weekly injections of the tumor promoter 2,6-di-tert-butyl-4-methylphenol (BHT). BHT is metabolized to quinone methides (QMs) responsible for promoting tumor formation. QMs are strongly electrophilic and readily form adducts with proteins. The goal of the present study was to identify adducted proteins in the lungs of mice injected with BHT and to assess the potenti",Chemical research in toxicology,"Brent W Meier, Jose D Gomez, Oleg V Kirichenko, John A Thompson"," Department of Pharmaceutical Sciences, University of Colorado Health Sciences Center, Box C238, Denver, Colorado 80262, USA.",2007 Feb;20(2):199-207,10.1021/tx060214f
18485557,20080701,article,"xref,mesh","Animals,Anticarcinogenic Agents,Caffeic Acids,Cell Line, Tumor,Comet Assay,DNA Damage,Dose-Response Relationship, Drug,Humans,Immunohistochemistry,Lipid Peroxidation,Liver,Liver Neoplasms,Liver Neoplasms, Experimental,Male,Oxidative Stress,Phenylethyl Alcohol,Protective Agents,Random Allocation,Rats,Rats, Sprague-Dawley,Reactive Oxygen Species,tert-Butylhydroperoxide","analogs &amp; derivatives,antagonists &amp; inhibitors,drug effects,drug therapy,enzymology,metabolism,pathology,pharmacology,prevention &amp; control,toxicity","D008114 Q000517 NN,D008099 Q000187 NY,D008099 Q000473 NN,D008099 Q000201 NN,D008113 Q000188 NN,D017382 Q000378 NN,D010626 Q000031 NN,D002109 Q000494 NY,D004249 Q000187 NY,D015227 Q000187 NN,D020122 Q000037 NY,D020011 Q000494 NY,D018384 Q000187 NY,D020122 Q000633 NN,D016588 Q000494 NN","602,2518,5960,6054,6360,6410,8758,108042,395486,5281787,5460005,5910817,13651101","127452483,127629371,127638306,128174456,128471732,128591219,128994255,129046631,129300011",Protective effect of caffeic acid phenethyl ester on tert-butyl hydroperoxide-induced oxidative hepatotoxicity and DNA damage.,"Increased oxidative stress and associated high levels of free radical generation have been described to occur during the pathogeneses of various diseases in animal models. In the present work, we investigated the protective effects of the phenethyl ester of caffeic acid (CAPE), an active component of honeybee propolis, on tert-butyl hydroperoxide (t-BHP)-induced hepatotoxicity in a cultured HepG2 cell line and in rat liver. CAPE was found to significantly reduce t-BHP-induced oxidative injury in HepG2 cells",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,"Kyung Jin Lee, Jae Ho Choi, Yong Pil Hwang, Young Chul Chung, Hye Gwang Jeong"," BK21 Project Team, Department of Pharmacy, College of Pharmacy, Research Center for Proteineous Materials, Chosun University, 375 Seosuk-dong, Kwangju 501-759, South Korea.",2008 Jul;46(7):2445-50,10.1016/j.fct.2008.03.032
18439017,20080528,article,"xref,mesh","Animals,Benzyl Alcohols,Capsaicin,Cell Death,Cercopithecus aethiops,Cholesterol,Fatty Acids, Unsaturated,Fibroblasts,Lipid Peroxidation,Malondialdehyde,Oxidative Stress,Vero Cells,tert-Butylhydroperoxide","analogs &amp; derivatives,analysis,drug effects,pharmacology","D002211 Q000032 NN,D005231 Q000032 NN,D002784 Q000032 NN,D016923 Q000187 NN,D015227 Q000187 NN,D018384 Q000187 NY,D005347 Q000187 NN,D002211 Q000494 NN,D002211 Q000031 NY,D001592 Q000032 NN,D020122 Q000494 NY,D008315 Q000032 NN,D001592 Q000494 NY","304,1140,2548,5997,6360,6410,10964,62348,91474,1548943,5283629,9839519,9873754,13651101","127629371,128121087,128174456,129254395,129627858,129800303,129809280,129891226",Protective effect of vanilloids against tert-butyl hydroperoxide-induced oxidative stress in vero cells culture.,"This study investigated the effect of synthetic capsiate, a simplified analogue of capsiate, and vanillyl alcohol on the oxidative stress induced by tert-butyl hydroperoxide (TBH) in a line of fibroblasts derived from monkey kidney (Vero cells). In response to the TBH-mediated oxidative stress, a reduction of the levels of total unsaturated fatty acids and cholesterol was observed, and a rise in the concentrations of conjugated dienes fatty acids hydroperoxides and 7-ketocholesterol. Pretreatment with both ",Journal of agricultural and food chemistry,"Antonella Rosa, Angela Atzeri, Monica Deiana, M Paola Melis, Alessandra Incani, Giulia Corona, Debora Loru, Giovanni Appendino, M Assunta Dessì"," Dip. Biologia Sperimentale, Sez. Patologia Sperimentale, Università degli Studi di Cagliari, Cittadella Universitaria, SS 554, Km 4.5, 09042 Monserrato, Cagliari, Italy. anrosa@unica.it",2008 May;56(10):3546-53,10.1021/jf073448t
23810710,20130915,article,"xref,mesh","Acetaldehyde,Administration, Inhalation,Aldehyde Dehydrogenase,Aldehyde Dehydrogenase, Mitochondrial,Animals,Comet Assay,DNA Damage,Ethyl Ethers,Female,Male,Mice,Mice, Inbred C57BL,Mice, Knockout,Micronucleus Tests,Propylene Glycols,Sex Factors,Toxicity Tests, Subchronic,tert-Butyl Alcohol","blood,genetics,metabolism,pharmacokinetics,toxicity","D000444 Q000378 NY,D005019 Q000493 NN,D005019 Q000633 NY,D000444 Q000235 NN,D020002 Q000097 NN,D005019 Q000097 NN,D011409 Q000097 NN,D000079 Q000097 NN","177,6386,12512",57309686,Subchronic exposure to ethyl tertiary butyl ether resulting in genetic damage in Aldh2 knockout mice.,"Ethyl tertiary butyl ether (ETBE) is biofuel additive recently used in Japan and some other countries. Limited evidence shows that ETBE has low toxicity. Acetaldehyde (AA), however, as one primary metabolite of ETBE, is clearly genotoxic and has been considered to be a potential carcinogen. The aim of this study was to evaluate the effects of ALDH2 gene on ETBE-induced genotoxicity and metabolism of its metabolites after inhalation exposure to ETBE. A group of wild-type (WT) and Aldh2 knockout (KO) C57BL/6 ",Toxicology,"Zuquan Weng, Megumi Suda, Katsumi Ohtani, Nan Mei, Toshihiro Kawamoto, Tamie Nakajima, Rui-Sheng Wang"," Japan National Institute of Occupational Safety and Health, Kawasaki, Japan.",2013 Sep;311(3):107-14,10.1016/j.tox.2013.06.005
15661616,20050103,article,"xref,mesh","Acetates,Animals,Carcinogens,Dimethyl Sulfoxide,Dose-Response Relationship, Drug,Humans,Male,Methyl Ethers,Mutagenicity Tests,Rats,Salmonella typhimurium,Solvents,tert-Butyl Alcohol","drug effects,genetics,metabolism,methods,toxicity","D009152 Q000379 NY,D000085 Q000633 NY,D002273 Q000378 NN,D002273 Q000633 NY,D012486 Q000235 NN,D004121 Q000378 NN,D008738 Q000378 NN,D000085 Q000378 NN,D020002 Q000633 NY,D012486 Q000187 NY,D008738 Q000633 NY,D012486 Q000378 NN,D012997 Q000378 NN,D012997 Q000633 NN,D020002 Q000378 NN","679,702,6386,10908,15413","127590400,127746861,128141778,128482492,129603235","The mutagenicity testing of tertiary-butyl alcohol, tertiary-butyl acetate and methyl tertiary-butyl ether in Salmonella typhimurium.","Tertiary-Butyl alcohol (TBA), tertiary-butyl acetate (TBAc) and methyl tertiary-butyl ether (MTBE) are chemicals to which the general public may be exposed either directly or as a result of their metabolism. There is little evidence that they are genotoxic; however, an earlier publication reported that significant results were obtained in Salmonella typhimurium TA102 mutagenicity tests with both TBA and MTBE. We now present results of testing these chemicals and TBAc against S. typhimurium strains in two la",Mutation research,"D B McGregor, G Cruzan, R D Callander, K May, M Banton"," Toxicity Evaluation Consultants, 38 Shore Road, Aberdour KY3 0TU, UK. mcgregortec@btinternet.com",2005 Jan;565(2):181-9,10.1016/j.mrgentox.2004.10.002
2605670,19890101,article,mesh,"1-Propanol,Animals,Cell Survival,Cells, Cultured,Disulfiram,Hydrogen Peroxide,Intracellular Membranes,Lipid Peroxidation,Liver,Male,Maleates,Microsomes, Liver,Peroxides,Propanols,Rats,Rats, Inbred Strains,tert-Butylhydroperoxide","cytology,drug effects,metabolism,pharmacology","D007425 Q000187 NN,D000433 Q000494 NN,D008862 Q000378 NY,D008298 Q000494 NY,D002470 Q000187 NN,D007425 Q000378 NN,D006861 Q000494 NY,D015227 Q000187 NY,D004221 Q000494 NY,D010545 Q000494 NY,D008862 Q000187 NN,D008099 Q000187 NN,D008099 Q000166 NY","784,1031,3117,6410,7858,12201,41331,5271566,5354457,13651101",NULL,"The inhibition of lipid peroxidation by disulfiram prevents the killing of cultured hepatocytes by allyl alcohol, tert-butyl hydroperoxide, hydrogen peroxide and diethyl maleate.","Disulfiram is a potent antioxidant that prevented the peroxidation of microsomal phospholipids induced by ADP/Fe3+ at concentrations as low as 1 microM. However, disulfiram had a biphasic action when used to assess the role of lipid peroxidation in the killing of cultured hepatocytes by an acute oxidative stress. At a relatively low concentration (10 microM), the antioxidant activity of disulfiram predominated, and there was protection against the killing of the hepatocytes by allyl alcohol, tert-butyl hydr",Chemico-biological interactions,"M E Kyle, A Serroni, J L Farber"," Department of Pathology, Thomas Jefferson University, Philadelphia, PA 19107.",1989 Jan;72(3):269-75,10.1016/0009-2797(89)90003-3
2840217,19880101,article,mesh,"1-Propanol,Animals,Bromisovalum,Carbon Tetrachloride,Cell Survival,Disulfiram,Ditiocarb,Female,Lipid Peroxides,Liver,Maleates,Peroxides,Propanols,Rats,Rats, Inbred Strains,Vitamin E,tert-Butylhydroperoxide","drug effects,metabolism,pharmacology","D000433 Q000494 NN,D008054 Q000378 NY,D004050 Q000494 NY,D002470 Q000187 NN,D010545 Q000494 NN,D002251 Q000494 NN,D001968 Q000494 NN,D014810 Q000494 NN,D008298 Q000494 NN,D008099 Q000378 NY,D004221 Q000494 NY,D008099 Q000187 NN","1031,2447,3117,5943,6410,7858,8987,12201,14985,26633,28343,41331,517546,533728,5271566,5354457,13651101,21192315",NULL,"Inhibition of lipid peroxidation by disulfiram and diethyldithiocarbamate does not prevent hepatotoxin-induced cell death in isolated rat hepatocytes. A study with allyl alcohol, tert-butyl hydroperoxide, diethyl maleate, bromoisovalerylurea and carbon tetrachloride.","The relationship between lipid peroxidation and cell death, induced by a number of hepatotoxins, was studied in isolated rat hepatocytes. Disulfiram (DSF) and diethyldithiocarbamate (DDC) completely prevented lipid peroxidation, induced by allyl alcohol, tert-butyl hydroperoxide (t-BHP), diethyl maleate (DEM), bromoisovalerylurea (BIU) and carbon tetrachloride (CCl4). Lipid peroxidation was measured by the formation of both thiobarbituric acid positive material and conjugated dienes. However, DSF and DDC di",Chemico-biological interactions,"P Dogterom, J F Nagelkerke, J van Steveninck, G J Mulder"," Division of Toxicology, University of Leiden, The Netherlands.",1988 Jan;66(?):251-65,10.1016/0009-2797(88)90075-0
